l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,174347010,173670736,220000,3,line,,,,19121.0,,,,,
2,177004931,173534563,220000,3,line,,,,36987.0,,,,,
3,177004931,177004925,220000,3,line,,,,49840.0,,,,,
4,295277014,174419698,220000,3,line,,,,47438.0,,,,,
5,295277014,176684982,220000,3,line,,,,47325.0,,,,,
6,218114438,217976993,220000,3,line,,,,22230.0,,,,,
7,218114438,364421786,220000,3,line,,,,83624.0,,,,,
8,93235592,143736898,220000,6,line,,,,46261.0,,,,,Yes
9,93235592,380986745,220000,6,line,,,,14960.0,,,,,Yes
10,177011339,176932212,220000,3,line,,,,94079.0,,,,,
11,365883660,175343993,220000,3,line,,,,65228.0,,,,,
12,371240205,173677993,220000,6,line,,,,16648.0,,,,,Yes
13,227962923,226918874,220000,3,line,,,,17115.0,,,,,
14,217933343,217926709,220000,3,line,,,,82709.0,,,,,
15,217970970,217976993,220000,6,line,,,,164178.0,,,,,Yes
16,217970970,217941443,220000,6,line,,,,158734.0,,,,,Yes
17,107649691,107619155,220000,6,line,,,,83531.0,,,,,Yes
18,375972637,221085150,220000,6,line,,,,60803.0,,,,,Yes
19,375972637,254853839,220000,6,line,,,,98706.0,,,,,Yes
20,375972637,173670736,220000,6,line,,,,66159.0,,,,,Yes
21,174512286,175343993,220000,3,line,,,,35108.0,,,,,
22,174512286,175176155,220000,3,line,,,,32355.0,,,,,
23,174512286,174419698,220000,3,line,,,,80702.0,,,,,
24,174512286,175299043,220000,3,line,,,,29574.0,,,,,
25,107574175,107644723,220000,6,line,,,,36238.0,,,,,
26,217976993,217926709,220000,3,line,,,,237267.0,,,,,
27,217933346,217926709,220000,6,line,,,,14731.0,,,,,Yes
28,174512806,174419698,220000,3,line,,,,76958.0,,,,,
29,173682343,294431650,220000,3,line,,,,81998.0,,,,,
30,173682343,174338940,220000,3,line,,,,81639.0,,,,,
31,292487199,217926709,220000,3,line,,,,65994.0,,,,,
32,292487199,217926710,220000,3,line,,,,64468.0,,,,,
33,173677993,173985839,220000,6,line,,,,29036.0,,,,,
34,226922540,292110924,220000,3,line,,,,36258.0,,,,,
35,226912498,312609390,220000,3,line,,,,5491.0,,,,,
36,387693359,175176544,220000,3,line,,,,19822.0,,,,,
37,217926708,217926709,220000,3,line,,,,71432.0,,,,,
38,217926711,217926709,220000,3,line,,,,10983.0,,,,,
39,383755661,217930453,220000,3,line,,,,5081.0,,,,,
40,383755661,217930454,220000,3,line,,,,5788.0,,,,,
41,143736898,173808767,220000,6,line,,,,62880.0,,,,,Yes
42,143736898,380986745,220000,6,line,,,,123755.0,,,,,Yes
43,217941443,364421786,220000,3,line,,,,61005.0,,,,,
44,176684982,226914785,220000,3,line,,,,8368.0,,,,,
45,176684982,175343993,220000,3,line,,,,20741.0,,,,,
46,292110924,226918874,220000,3,line,,,,3519.0,,,,,
47,254853839,221085150,220000,6,line,,,,42153.0,,,,,Yes
48,43843800,226985195,220000,6,line,,,,39343.0,,,,,Yes
49,175176155,175343993,220000,3,line,,,,30243.0,,,,,
50,294431650,226917743,220000,3,line,,,,41245.0,,,,,
51,173534563,177004925,220000,6,line,,,,30963.0,,,,,Yes
52,173534563,176932212,220000,3,line,,,,77806.0,,,,,
53,387845900,312609390,220000,3,line,,,,42389.0,,,,,
54,312609390,175343993,220000,3,line,,,,81060.0,,,,,
55,177004931,255597927,400000,3,line,,,,29798.0,,,,,
56,177004931,176932212,400000,3,line,,,,44965.0,,,,,
57,173682343,173677993,400000,6,line,,,,121307.0,,,,,Yes
58,173677993,173670759,400000,6,line,,,,72442.0,,,,,Yes
59,173670759,173680073,400000,3,line,,,,52937.0,,,,,
60,173670759,221085150,400000,3,line,,,,102895.0,,,,,
61,173670759,226673305,400000,3,line,,,,100561.0,,,,,
62,226392269,174512286,400000,3,line,,,,29049.0,,,,,
63,226392269,221085150,400000,3,line,,,,36754.0,,,,,
64,226912498,174512286,400000,3,line,,,,36846.0,,,,,
65,176932212,174512286,400000,3,line,,,,66.0,,,,,
66,176932212,176932210,400000,6,line,,,,19424.0,,,,,
67,221085150,226673305,400000,3,line,,,,76602.0,,,,,
