n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
194187712,27.4159555146,-11.648855777,substation,220000,,,,
267464818,27.4712076592,-11.67704828,substation,220000,,,,
282407163,15.3393713708,-4.4679309656,substation,0,,,,
286734681,15.5330159321,-4.09151013738,substation,0,,,,
194146928,26.7525089204,-11.0256391657,substation,220000,,,,
304973265,27.8622408563,-12.3682541365,substation,220000,,,,
194187705,26.7489466646,-11.0112588238,substation,0,,,,
194187708,27.4677162612,-11.6811283159,generator,0,,,,
169205088,25.4524236147,-10.6576744867,substation,0,,Kolwezi Inverter Station,,
383097964,22.4479566761,-5.9908184238,substation,0,,,,
460419488,18.7852962231,-5.110870607,substation,0,,,,
