l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,426998273,130435119,220000,6,line,,,,65093.0,,,,
2,426998273,112984529,220000,3-6,line,,,,13198.0,,,,
3,426998273,263290997,220000,3-6,line,,,,27607.0,,,,
4,218972674,128182735,220000,6,line,,,,42247.0,,,,
5,98390022,93650324,220000,3-6,line,,,,63689.0,,,,
6,128123911,128182735,220000,6,line,,,,46096.0,,,,
7,128123911,127255915,220000,6,line,,,,43157.0,,,,
8,103998472,126503845,220000,6,line,,,,85405.0,,,,
9,213211662,263290997,220000,6,line,,,,46780.0,,,,
10,130229777,216227836,220000,6,line,,,,27506.0,,,,
11,130229777,118310545,220000,6,line,,,,7477.0,,,,
12,97702932,219687981,220000,6,line,,,,99837.0,,,,
13,97702932,118310545,220000,3-6,line,,,,112539.0,,,,
14,97702932,92907650,220000,6,line,,,,4656.0,,,,
15,97702932,130572646,220000,6,line,,,,3363.0,,,,
16,214809518,216093003,220000,3-6,line,,,,73372.0,,,,
17,214809518,276511906,220000,3-6,line,,,,19023.0,,,,
18,216214039,343022340,220000,3-6,line,,,,39594.0,,,,
19,216214039,216093003,220000,3-6,line,,,,87518.0,,,,
20,219020313,219032903,220000,6,line,,,,41374.0,,,,
21,219020313,95838096,220000,3-6,line,,,,1351.0,,,,
22,119907869,427608567,220000,6,line,,,,23685.0,,,,
23,119907869,119907603,220000,6,line,,,,7122.0,,,,
24,92878367,105191630,220000,6,line,,,,8019.0,,,,
25,92878367,119909663,220000,6,line,,,,55693.0,,,,
26,92878367,119907603,220000,6,line,,,,66407.0,,,,
27,92878367,90608610,220000,6,line,,,,11809.0,,,,
28,98663458,98663507,220000,3-6,line,,,,117088.0,,,,
29,98663458,118301256,220000,6,line,,,,41072.0,,,,
30,128125479,128129616,220000,6,line,,,,41239.0,,,,
31,128125479,127255915,220000,6,line,,,,36025.0,,,,
32,219687981,119907603,220000,6,line,,,,65461.0,,,,
33,130435119,219583071,220000,6,line,,,,77406.0,,,,
34,130435119,219295621,220000,6,line,,,,91195.0,,,,
35,426596409,115491527,220000,3-6,line,,,,65194.0,,,,
36,426596409,117342821,220000,6,line,,,,66859.0,,,,
37,219583071,426825830,220000,6,line,,,,130814.0,,,,
38,120521277,120516781,220000,3,cable,,,,631.0,,,,
39,120521277,123223445,220000,3-6,line,,,,74915.0,,,,
40,120521277,122132699,220000,3-6,line,,,,82348.0,,,,
41,117528642,93583051,220000,6,line,,,,17302.0,,,,
42,218898508,93650324,220000,6,line,,,,85921.0,,,,
43,128129616,128182735,220000,6,line,,,,41742.0,,,,
44,128129616,128205604,220000,3-6,line,,,,21181.0,,,,
45,126280786,131236227,220000,6,line,,,,25435.0,,,,
46,126280786,265751903,220000,6,line,,,,33842.0,,,,
47,126280786,126200917,220000,6,line,,,,33326.0,,,,
48,98663507,117671808,220000,3-6,line,,,,76197.0,,,,
49,218975834,218976990,220000,6,line,,,,74214.0,,,,
50,216224349,130572645,220000,6,line,,,,3293.0,,,,
51,216224349,427596550,220000,6,line,,,,147935.0,,,,
52,103010149,103015033,220000,6,line,,,,43396.0,,,,
53,117342821,117381489,220000,3-6,line,,,,49882.0,,,,
54,426825830,213203948,220000,6,line,,,,46849.0,,,,
55,97721447,97721460,220000,3-6,line,,,,88852.0,,,,
56,97721447,176719989,220000-66000,3-12-6,line,,,,146285.0,,,,
57,93714538,105694639,220000,6,line,,,,73379.0,,,,
58,176719989,276511906,220000,3-6,line,,,,19476.0,,,,
59,103015033,123466581,220000,6,line,,,,19234.0,,,,
60,127243911,95838096,220000,6,line,,,,86410.0,,,,
61,127243911,127255915,220000,6,line,,,,34973.0,,,,
62,127243911,127212017,220000,6,line,,,,75657.0,,,,
63,97852047,118345956,220000,3-6,line,,,,25063.0,,,,
64,97852047,419686238,220000,6,line,,,,14083.0,,,,
65,102988954,102988963,220000,6,cable,,,,671.0,,,,
66,122238112,122132699,220000,6,line,,,,32841.0,,,,
67,122238112,127212017,220000,6,line,,,,32608.0,,,,
68,122238112,123223445,220000,6,line,,,,110124.0,,,,
69,102988963,105191630,220000,6,line,,,,86564.0,,,,
70,120516782,93699965,220000,6,line,,,,31475.0,,,,
71,426156916,94566888,220000,3-6,line,,,,120472.0,,,,
72,426156916,118301256,220000,3,line,,,,102.0,,,,
73,218980895,218976990,220000,6,line,,,,5482.0,,,,
74,218980895,218983235,220000,6,line,,,,510.0,,,,
75,263290997,263365083,220000,6,line,,,,58748.0,,,,
76,115491527,115498840,220000,3-6,line,,,,2520.0,,,,
77,115491527,213203948,220000,3-6,line,,,,50186.0,,,,
78,115491527,130524402,220000,3-6,line,,,,31331.0,,,,
79,99494604,94566888,220000,6,line,,,,26318.0,,,,
80,105191630,427790093,220000,6,line,,,,5345.0,,,,
81,105191630,90608610,220000,6,line,,,,5126.0,,,,
82,127261542,127255915,220000,6,line,,,,47891.0,,,,
