id,lon,lat,name,osm_id,voltage,type,poly
1,32.8604600773,24.0277060798,None,426998273,None,substation,0103000020E6100000010000000E000000B61C6831EA6D404054CB1649B20638406244C128F36D4040CD15CD70F80638407ED37BB0106E4040C100A0BB0607384002B250970B6E4040C348EB592F073840AFDD2A3B236E4040F0A9A3453A073840765DDD79196E4040953ABF4E7F073840943EC65C376E404094CBA8C98C0738407582864C4E6E4040991A0D2EE50638402F877840356E4040DCE06B7DD8063840BF23985C2F6E40400FA34B8BDB063840BB97F4C3136E40406A4CBBAFED063840BA6581DF156E4040FAD6140AE00638406F69D26BF36D4040EAEDE27EB5063840B61C6831EA6D404054CB1649B2063840
2,33.0668888618,24.4595921268,None,130435119,220000;66000,substation,0103000020E61000000100000005000000B2444F146988404085E49A36D475384043BF19DA92884040E86B38F9FA753840E0658A8CB6884040A4864E707B7538404FEBBFC68C884040322748B054753840B2444F146988404085E49A36D4753840
3,32.8832401657,23.9718870497,None,112984529,None,plant,0103000020E6100000010000001C0000001AD81E669F704040BC5800D3ABF837407F8F6C82A1704040B9E3204CB5F83740FD49D18DA5704040088EEE02BDF83740185FA0EAA2704040124F716AC8F83740E38DC535A270404038941A84CEF83740A21E5BC2A470404073FFC104D3F8374004C4F070AB704040741B1DE2DAF83740E09F49EBB7704040DFBB9A5CE4F83740880A0683C47040400C4B6C0BEEF83740474D083DC870404077D2C31DDEF83740DF23C4E0C9704040156509CEDEF8374036848DD5CD704040750B1E05CCF83740402CECDD35714040146F8F4520F937405484116D3D7140405275953507F9374097492BE849714040B325DFE20FF93740247BDCFF4771404098ABEEF118F93740260BF4D678714040A82094E93EF93740CD4E604E89714040C216E4F0F4F837404BD3904907714040BBC648EA8EF83740C8F34EB3E87040409DA5E7F177F837408FDAC7FFDF7040404E473AD871F8374084B4490DBC704040A769CE355FF8374061255BCDB87040403585D7E086F8374089F8745FB5704040B59155EA85F83740E67CAE2FB070404056CEB0AA83F8374069C24924AC70404006B365C285F8374056BC52F0A4704040A79CBF4992F837401AD81E669F704040BC5800D3ABF83740
4,31.4705915021,22.811612647,None,263290997,220000;66000,substation,0103000020E610000001000000070000008F6236F11A783F40E5A16BBFBCCF3640CEA435B83F783F4025FC95F20DD0364087A04510D2783F40E12E5A95D3CF3640B448A8B1B6783F40F4669E0499CF3640BE4AEA80C9783F40DFEB97F691CF364058CF91A5BD783F40D48286917ACF36408F6236F11A783F40E5A16BBFBCCF3640
5,30.6648180909,30.6990694087,None,218972674,None,substation,0103000020E6100000010000000A000000E62609A0E7A93E40D9A8124D87B23E4076BC9312E8A93E4069F2978B7BB33E40DD5E3C0EF0A93E40B4F1718381B33E403B35F1265EAA3E40CB472A3A82B33E403BDC3A905DAA3E4021AF159679B33E40FE98425174AA3E40C6EE7E1479B33E409CFEC2F875AA3E40A1CA2E5F55B23E40DDA0A6362FAA3E405C30E6B955B23E409D63AFA72FAA3E40F627E00A89B23E40E62609A0E7A93E40D9A8124D87B23E40
6,30.9136243734,30.4651681989,None,128182735,220000,substation,0103000020E61000000100000005000000E0ADE5C3A0E93E40839C61935E773E4058CBC24117EA3E40CD92024666773E407D973ABC20EA3E400072CFC3C6763E4056DD0678B3E93E40E2C48CEDC4763E40E0ADE5C3A0E93E40839C61935E773E40
7,33.6831297194,31.0994336683,None,98390022,220000;66000,substation,0103000020E610000001000000070000002835CC8E2AD74040DBD2622F4F193F407F36D1CE4AD74040C655B60EB6193F4035780BD758D74040ED7B69A5E4193F40CCAE054D5BD740400CF1963BEC193F40FC6CFB63B6D7404013A6742D99193F4040C2D25A87D740405535BFA7FD183F402835CC8E2AD74040DBD2622F4F193F40
8,33.0494632604,31.0180144713,None,93650324,220000,substation,0103000020E6100000010000000700000090EA3FC923864040C88DEADD6E043F4041BD8A2027864040ED133F95A1043F4059ABEF8035864040124989EB9D043F4091F9D6CB3A864040945D2F6CE0043F40AF468EF47E864040126A61A6D1043F4008B5813C76864040715F12955C043F4090EA3FC923864040C88DEADD6E043F40
9,30.7102582133,30.6054398347,None,128123911,220000,substation,0103000020E61000000100000005000000CB6A444055B53E407CD1AF68E19A3E40FBD7382C5AB53E40086C254F279B3E4077C49D8848B63E40167A8A6B1C9B3E40C8A7400B55B63E40E951B5FAD49A3E40CB6A444055B53E407CD1AF68E19A3E40
10,31.0196801183,30.783914926,None,127255915,220000;66000,substation,0103000020E6100000010000000E0000002C55FD978F043F40D7A35159D6C83E40E2E55E6CAC043F4030AFE9CFD1C83E40DCE83EB1B1043F4012C01586F1C83E400D7E57363C053F40118167E6DDC83E407415EADB3B053F40E5659515DCC83E40F7D470FB57053F401CEF8C27D8C83E40FA06E4DF55053F400BBD1FB568C83E409379A085CE043F40A746E3E876C83E40EC96ECFDDB043F4037BC228CBEC83E40FD5BD94ACE043F401FC5B786C8C83E409F01F729C1043F40F805BFA8C9C83E4005CBFCB3BE043F4097CD5C64BFC83E40F9F50BB591043F4052D11A51C3C83E402C55FD978F043F40D7A35159D6C83E40
