l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,180619168,180619166,132000,3,line,,,,5201.0,,,,,
2,342271873,180461636,132000,6,line,,,,61833.0,,,,,Yes
3,342271873,180604941,132000,3,line,,,,67168.0,,,,,
4,180609832,180619166,132000,3,line,,,,31092.0,,,,,
5,180604941,291446587,132000,3,line,,,,15854.0,,,,,
6,180623536,180619166,132000,3,line,,,,20139.0,,,,,
7,218273352,218273347,132000,6,line,,,,5493.0,,,,,Yes
8,342271873,180604941,230000,6,line,50,,,66213.0,,,,,
9,184801675,407077378,230000,6,line,,,,758.0,,,,,
10,180604941,342259397,230000,3,line,50,,,14333.0,,,,,
11,180604941,180728918,230000,3,line,50,,,35666.0,,,,,
12,197794836,237536556,230000,6,line,,,,98195.0,,,,,Yes
13,180619166,253120891,230000,6,line,,,,97056.0,,,,,
14,180619166,180727873,230000,3,line,,,,14908.0,,,,,
15,220232487,342259397,230000,6,line,50,,,14952.0,,,,,
16,220472749,220408423,230000,6,line,50,,,19425.0,,,,,Yes
17,260312386,219894106,230000,3,line,,,,135786.0,,,,,
18,342259397,180396751,230000,3,line,,,,10605.0,,,,,
19,218273352,218369267,230000,6,line,,-Djibouti - Adagalla - Dire Dawa-Djibouti,,9810.0,,,,,Yes
20,224093408,253120891,230000,6,line,,,,62929.0,,,,,Yes
