l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,169733763,171416196,132000,6,line,,,,24406.0,,,,,Yes
2,169733763,171528627,132000,6,line,,,,80607.0,,,,,
3,171416196,224243440,132000,6,line,,,,84984.0,,,,,Yes
4,171416196,151306638,132000,6,line,,,,20330.0,,,,,Yes
5,171416196,171417653,132000,6,line,,,,33261.0,,,,,Yes
6,171528627,169725350,132000,6,line,,,,21666.0,,,,,
7,151306638,171367521,132000,6,line,,,,30930.0,,,,,
8,172334367,172539510,132000,6,line,,,,18246.0,,,,,Yes
9,172334367,172341413,132000,6,line,,,,14355.0,,,,,Yes
10,172341412,172341413,132000,6,line,,,,3307.0,,,,,Yes
11,172341412,172470451,132000,6,line,,,,27158.0,,,,,Yes
12,172341413,223146054,132000,6,line,,,,20646.0,,,,,Yes
13,169725350,169848807,132000,6,line,,,,60240.0,,,,,
14,194416935,172295139,132000,6,line,,,,64794.0,,,,,
15,172470451,172839368,132000,6,line,,,,28519.0,,,,,Yes
16,177038903,177109317,132000,6,line,,,,24783.0,,,,,Yes
17,223146054,177209321,132000,6,line,,,,18913.0,,,,,
18,171541461,171536873,132000,6,line,,,,22961.0,,,,,
19,169722202,169848807,132000,6,line,,,,49217.0,,,,,
20,169722202,169848809,132000,6,line,,,,51168.0,,,,,
21,171536873,169848809,132000,6,line,,,,30787.0,,,,,
22,172539510,172295139,132000,6,line,,,,34363.0,,,,,
23,223679746,213917891,220000,6,line,,,,9139.0,,,,,
24,177038723,102272939,220000,3,line,,,,10576.0,,,,,
25,177038723,102271992,220000,6,line,,,,8807.0,,,,,Yes
26,171416196,102739078,220000,3,line,,,,49.0,,,,,
27,177038725,172341413,220000,6,line,,,,85669.0,,,,,Yes
28,128825607,108036550,220000,6,line,,,,15014.0,,,,,Yes
29,128825607,110677040,220000,6,line,,,,9628.0,,,,,Yes
30,103998472,173478530,220000,6,line,,,,77655.0,,,,,
31,217697930,213917888,220000,3,line,,,,89287.0,,,,,
