n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
169733763,10.983598065,31.8446514849,station,0,,,,
171416196,11.146870774,31.9563217941,substation,0,,,way_area,
171528627,10.598495974,31.2140542848,sub_station,0,,,,
224243440,11.9976709423,31.9060900903,station,0,,,,
151306638,11.3540063215,31.9986759783,station,0,,,,
171417653,10.845794373,32.0050122407,sub_station,0,,,,
169725350,10.5929879593,31.0208115427,station,0,,,,
171367521,11.6664819681,31.9890236802,sub_station,0,,,,
172334367,16.4188849109,31.1526619886,substation,0,,,barrier,
172539510,16.3207127923,31.0791479165,station,0,,,,
172341413,16.5356331901,31.2011025907,substation,0,,,,
172341412,16.5227138742,31.1933205983,substation,0,,,barrier,
172470451,16.6495543903,31.0645215244,substation,0,,,,
223146054,16.6696618869,31.1667712443,sub_station,0,,,,
169848807,10.3360321286,30.5587624201,station,0,,,,
194416935,15.2507033549,30.8328337614,station,0,,,,
172295139,15.2355066573,31.3847674308,generator,0,,,,
172839368,16.9060698009,30.9707692002,station,0,,,,
177038903,20.2592345727,30.7654430923,substation,0,,,landuse,
177109317,20.3273360254,30.5875263994,substation,0,,,barrier,
177209321,16.8349628771,31.1569246932,station,0,,,,
171541461,9.48804410603,30.1342914522,sub_station,0,,,,
171536873,9.69991366824,30.1658607433,sub_station,0,,,,
169722202,10.4556527792,30.1762725157,station,0,,,,
169848809,10.011383997,30.1704945556,station,0,,,,
223679746,14.5294300042,27.0404005733,station,0,,,,
213917891,14.443158739,27.0452073477,substation,220000,,,,
177038723,20.1145793401,32.0307087415,substation,220000,,,,
102272939,20.1614727126,32.1040000897,substation,220000,,,,
102271992,20.0907836159,31.9616270527,substation,220000,,,,
102739078,11.1444318701,31.956573602,generator,0,,Western Mountain OCGT Power Plant,General Electricity Company of Libya (GECOL),
177038725,18.5461358956,30.4636338445,substation,0,,,landuse,
128825607,13.1880815113,32.8265560518,substation,220000,,,,
108036550,13.0998195016,32.7764837455,plant,0,,Tripoli South OCGT Power Plant محطه توليد كهرباء غازيه جنوب طرابلس,,
110677040,13.2650862357,32.8397162559,substation,220000,,,,
103998472,25.2204463961,31.4967371234,substation,220000,,,,
173478530,23.9811602534,32.0593270363,generator,0,,,,
217697930,13.3535566875,26.5257746741,substation,220000,,محطه رفع جهد 220,,
213917888,14.4191834817,26.8866491159,plant,0,,,,
193610426,12.7325862872,26.5888149952,substation,0,,,,
180957591,13.0359891355,32.4510528192,substation,220000,,,,
180843806,13.2387307725,32.420931054,substation,220000,,,,
452719756,12.8983671764,32.2189885398,substation,0,,,barrier,
151126418,12.656201349,32.351084857,substation,0,,,way_area,
107267089,13.0789118934,32.8387776775,substation,220000,access,,voltage,
313517843,12.9730510101,32.8242699445,plant,0,,محطه توليد الكهرباء غرب طرابلس tripoli west power station,,
214448787,12.8787535299,32.6795175828,substation,220000,,,location,
169619943,11.9647824215,32.0351780486,substation,0,,,,
153222965,12.5681025828,32.7244926918,substation,0,,,barrier,
161744923,12.6737625104,32.7886538987,plant,0,,,way_area,
152286883,12.3749867879,32.7424381645,substation,0,,,landuse,
152699771,12.6793653728,32.7317826818,substation,0,,,barrier,
161956631,13.276474602,32.732035839,station,0,,,,
106772180,13.4085117642,32.8353795395,substation,0,,,,
120090521,14.4191400229,32.4971220438,station,0,,,,
121506218,14.2941571487,32.5938308059,substation,220000,,,,
103283231,14.5578616406,32.4374263402,substation,0,,,,
171952539,12.0736647753,32.8756803159,substation,0,,,,
208406457,11.7956431594,33.0282789028,substation,0,,,,
181022450,13.6380909814,32.3979098731,substation,220000,,,,
105024673,20.1355600394,32.2018064099,substation,0,,,barrier,
105020858,20.1478961239,32.1865723689,substation,0,,,way_area,
172185378,20.5556586446,32.1668000032,substation,220000,,,,
172085356,21.4067378114,32.4944883577,substation,220000,,,,
177038810,16.3524807745,31.2147242671,substation,0,,,landuse,
214102064,21.7601249758,32.7781589369,station,0,,,,
218527311,21.8786001728,32.7834747184,station,0,,,,
180468905,14.6144730725,29.0021244182,station,0,,,,
181030546,13.9991666094,31.6965834093,station,0,,,,
180477877,14.9993354144,28.2074029255,station,0,,,,
32961936,14.3291848196,32.622666972,plant,0,,Khoms Power Plant,,
213839198,13.7858707573,32.71533483,substation,220000,,,,
364256186,14.8890528314,27.2203736822,substation,0,,,,
161963067,13.3328985758,32.8473720171,station,0,,الكهرباء,,
169756849,15.891305724,29.1173006516,station,0,,,,
194381791,15.3792681405,30.5812228802,station,0,,,,
172578742,14.9760055,31.6588703055,station,0,,,,
193503031,14.3977227846,27.0412755259,substation,220000,,,,
193807037,14.4698125068,25.9483444895,substation,0,,,,
177368453,23.0608765968,32.4490477678,substation,220000,,,,
194714166,13.0331500249,32.1565698478,substation,220000,,,,
173952590,21.5300078892,29.0493247539,station,0,,,,
289415384,21.6134854696,27.5979440119,substation,0,,,,
177038800,20.0480060224,31.6612561112,station,0,,,,
213914980,14.6152149182,29.0028090397,station,0,,,,
171416195,11.1459124045,31.9581741688,substation,0,,,barrier,
171540563,9.49054974534,30.1492553836,sub_station,0,,,,
177539635,15.2435844512,32.3301000725,substation,0,,,,
451729955,20.1612628693,32.0481466889,substation,0,,,barrier,
451729966,20.1340258523,32.20052953,substation,0,,,way_area,
