n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
200906153,-7.34365155357,31.6966673703,substation,225000,,,,
250878457,-7.97701979392,31.7206750485,substation,225000,,,,
285708473,-6.89416170497,31.8021025544,substation,225000,,,,
218739270,-6.79769529589,30.983606509,substation,225000,,,,
271316486,-7.26040145769,31.6477974595,substation,225000,,,,
97706499,-8.71633766154,31.5634637309,substation,225000,,,,
215403934,-8.7675185179,32.0401895669,substation,225000,,,,
320483882,-8.97491239809,32.2667986305,substation,225000,,,,
316738277,-8.63482329543,33.1033529621,sub_station,0,,,,
200913450,-8.9631676629,30.453218126,substation,225000,,,,
182345278,-9.45500433745,30.3989151842,substation,225000,,,,
94548360,-8.17552409709,31.7187810396,substation,225000,,,,
208002693,-7.9546663273,32.2069372191,substation,225000,,,,
108482559,-7.63885760336,32.4773718059,substation,225000,,,,
131995387,-8.40001277332,32.6506393343,substation,225000,,,,
131891079,-6.70900421039,33.9180409841,substation,225000;60000,,,,
131892127,-6.86182783666,33.8624060031,substation,225000;60000,,,,
207991977,-7.42897634992,33.6343993283,substation,225000,,,,
131946012,-7.40023651859,33.4532539836,substation,400000;225000,,,,
131408509,-8.51077572267,33.1003288517,substation,225000,,,,
131588990,-7.75897917492,33.3527088378,substation,225000;60000,,,,
131267165,-8.63240163089,33.109159507,plant,0,,,,
143628748,-7.61705937327,33.5411797351,substation,225000,,,,
131902940,-7.50038337301,33.5423308538,substation,225000,,,,
95436126,-5.62281829119,33.8758729974,substation,225000;60000,,,,
163471767,-4.7805679864,33.985672098,substation,225000,,,,
163508115,-4.62045198149,34.0954434925,plant,0,,Allal al Fassi Hydroelectric Plant,,
143736898,-1.91736898003,34.7051088911,substation,0,,,,
143752299,-2.37200687497,34.5853477673,substation,400000;225000,,,,
167406532,-2.94695856316,35.0738112663,substation,225000,,,,
143681023,-13.1698280557,27.1823682421,substation,225000;60000,,,,
96831672,-11.3391358431,28.4689217472,substation,225000,,,,
359251299,-14.4540852042,26.1434234387,substation,0,,,,
208137370,-2.1048979799,34.0717002004,substation,225000,,,,
144011573,-7.56553676861,33.0237734184,substation,225000;60000,,,,
207995370,-6.72048245509,32.4829982907,substation,0,,,,
207997682,-6.58360798301,32.2223284585,substation,225000;150000,,,,
131899192,-7.4334151109,33.6802813437,sub_station,0,,,,
131893727,-6.88745454625,33.9336734163,sub_station,0,,,,
143685412,-5.12760881489,34.0159309951,substation,225000,,,,
167920552,-5.59559297109,34.0975498519,substation,400000;225000,,,,
142520745,-8.60424606395,33.1332878811,sub_station,0,,,,
200915133,-9.48814690048,30.3548603369,substation,225000,,,,
197830862,-9.15410297021,30.2234773388,substation,0,,,,
271334706,-5.46343355166,35.5690912027,sub_station,0,,,,
143699506,-5.2011911849,34.5956782813,substation,225000,,,,
93147473,-5.66084908382,35.6467128262,substation,400000;225000,,,,
216888494,-6.53452807663,32.1962825741,substation,225000,,,,
166090341,-3.86898535952,35.1251328445,substation,225000;60000,,,,
131591106,-7.69581239193,33.5499868904,substation,225000,,,,
207823867,-2.97582739759,35.0311856031,sub_station,0,,,,
144011974,-9.66587953023,29.7041089322,substation,225000,,,,
131992905,-7.72581922472,32.6155130576,substation,225000,,,,
218859980,-7.63771326283,32.4763760398,generator,0,,,,
167908818,-6.0469777781,35.0402748015,substation,225000,,,,
131321800,-5.98713854515,35.5890716964,generator,0,,,,
131545712,-5.80105934816,35.7327577142,substation,225000;60000,,,,
131947753,-7.52500887746,33.5626570274,substation,225000,,,,
251222750,-5.60718611811,33.0272615277,substation,225000,,,,
150122664,-2.19127246106,34.3096168878,plant,0,,,,
249897127,-5.6138212676,35.8309586121,substation,400000,,,,
