n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
62216709,18.5428903364,-33.8103377977,substation,0,,,,
402366747,18.5496598179,-33.8255061345,substation,0,,,,
62208493,18.5645928253,-33.8629785361,substation,132000,,Plattekloof Substation,,
89824175,18.4893813022,-33.8148760909,substation,0,,,,
189101371,18.4854140474,-33.7881303091,substation,0,,,,
84198429,28.1525113073,-25.8295429627,substation,132000,,,access,
84273857,28.1885019575,-25.8285991052,substation,132000,,,access,
84198438,28.1105494501,-25.847040768,substation,0,,,access,
107673634,18.7353510373,-32.4230505594,substation,0,,,frequency,
107669638,18.5837924274,-32.7643628614,substation,0,,,frequency,
107431792,18.2345417282,-33.006938417,substation,400000,,Aurora Substation,access,
84198444,28.1120533853,-25.7702389919,substation,132000,,,,
84197405,28.1055752276,-25.7575074869,substation,132000,,,access,Yes
230496819,25.9059106542,-24.6860501407,sub_station,0,,,,
230551819,27.2278879649,-24.9674781238,substation,0,,,,
184212847,26.8381230442,-24.8119054024,substation,0,,,,
84830388,28.1006825827,-25.5636208425,substation,0,,,access,
84830394,28.0835401779,-25.6035177154,substation,132000,,,access,
216269407,18.6141522131,-33.946085773,substation,132000,,Belhar Substation,Eskom Cape,
118989798,18.6597840428,-33.9340584716,substation,132000,,Sarepta Substation,Eskom Cape,
168366146,24.9245085185,-31.1555845366,sub_station,0,,,,
88446823,24.6647147496,-31.0017316992,sub_station,0,,,,
107422789,18.7458259041,-33.4737327035,substation,132000,,Malmesbury Substation,access,
107431775,18.685653122,-33.1778834031,substation,132000,,Moorreesburg Substation,access,
89830761,18.7650791183,-33.685258792,substation,0,,,,
184602703,29.9133877103,-23.4762416093,sub_station,0,,,,
208749745,29.7825407442,-23.3747298549,sub_station,0,,,,
258020275,28.3256405923,-24.8905509367,substation,0,,,,
184646329,28.2961375636,-24.9203770234,station,0,,,,
220079546,18.782740619,-34.0486950107,substation,132000,,Firgrove Substation,,
62191005,18.8061092143,-33.8180979817,substation,132000,,Muldersvlei Substation,Eskom,Yes
204050015,26.8382413913,-27.9551352006,sub_station,0,,,,
200223219,26.7985150021,-27.9441526583,sub_station,0,,,Eskom,
204050024,26.7973503615,-27.9309789635,sub_station,0,,,,
183615847,20.98793048,-33.1851564884,station,0,,,,
91979994,20.8707037259,-33.1931628799,sub_station,0,,,,
91980007,21.1118019422,-33.1441195071,sub_station,0,,,,
213573238,27.8861236002,-26.2594375203,sub_station,0,,,,
239878601,27.9311032852,-26.2528230773,sub_station,132000,,,source,
83247270,27.8855765441,-26.2316569374,sub_station,132000,,,access,
337464444,32.1774188601,-28.3942193775,substation,132000,,Mtubatuba Substation,,
337464445,31.9947464862,-28.6598508265,substation,132000,,Nseleni Substation,,
120941257,31.9472127247,-28.7669196636,substation,132000,,Impala Substation,,Yes
107669635,18.0481910971,-32.9653591501,sub_station,0,operator,,,
107493834,18.048349585,-32.9818791989,substation,66000,,Blouwater Substation,Eskom Cape,Yes
167590542,22.6211158553,-32.31997485,sub_station,0,,,,
167590549,22.5309925806,-32.405928025,substation,400000,,Droërivier Substation,,
83951788,28.2685989044,-26.0052750223,substation,275000,,Esselen Substation,access,
83537732,28.462143778,-25.70000812,sub_station,0,,,access,
84197350,28.1436114782,-25.733569472,substation,132000,,,access,
418863865,28.1463912653,-25.7578270665,plant,0,,Pretoria West power station,,
84360372,28.2766356623,-25.7911723135,sub_station,132000,,,access,
84274092,28.2905842777,-25.8482818853,sub_station,132000,,,access,Yes
70586039,28.0927325989,-25.6273410034,substation,132000,,,access,
84840271,28.082507544,-25.6591497184,substation,0,,,access,
84273851,28.1970757875,-25.8086681304,substation,132000,,,access,
84274096,28.261975687,-25.8227643135,substation,132000,,,access,
