n_id,longitude,latitude,type,voltage,frequency,name,operator
28943745,10.545258452,35.7354129152,substation,None,,POSTE MSAKEN NORD,STEG
178328237,10.8491115272,34.9232654997,substation,None,,POSTE SIDI MANSOUR,STEG
111375420,10.6756520628,35.7837789836,substation,None,,POSTE SOUSSE,STEG
224416644,9.60521371652,35.8311927731,substation,None,,POSTE OUESLATIA,STEG
224417135,9.51339520558,35.3895610923,substation,None,,POSTE HAJEB LAYOUN,STEG
173531194,10.0565010386,36.4631854277,substation,None,,POSTE BIR MCHARGA,STEG
129996167,9.92474649977,36.6800197479,substation,None,,,STEG
129996179,9.72709653726,37.024244492,substation,None,,POSTE MATEUR,STEG
101404944,10.1188645155,36.8999216805,substation,None,,POSTE 225/90 MNIHLA 1,STEG
125504235,10.2240381468,36.7135779836,substation,225000,,POSTE NAASEN,STEG
179549833,8.54833647678,35.8537589742,substation,None,,POSTE TAJEROUINE 225 KV,STEG
173534564,8.75223015074,36.4701694785,substation,None,,POSTE JENDOUBA,STEG
93164455,10.2886119513,36.8154912814,plant,None,,,STEG
178494278,9.96904380082,37.2110683497,substation,None,,POSTE MENZEL JEMIL,STEG
93263381,10.2814808872,36.796926013,substation,None,,POSTE RADES,STEG
178326515,10.8792303276,35.5877331939,substation,None,,POSTE MOKNINE,STEG
189193646,10.0396635564,33.9192535213,substation,None,,POSTE BOUCHEMMA,STEG
189193656,10.0378072484,33.9191718118,station,None,,,STEG
201812735,9.61530539392,34.6103354225,substation,None,,POSTE MEKNASSY,STEG
180611326,10.6607729057,33.3506049096,substation,None,,POSTE MEDENINE,STEG
180615776,10.4850613142,32.9748579566,substation,None,,POSTE TATAOUINE,STEG
242398869,10.1339775512,35.7458783347,substation,None,,POSTE KAIROUAN,STEG
226848748,9.89312667515,35.7790941983,station,None,,,
106469430,10.4434675814,36.3078686683,substation,None,,POSTE BOUFICHA,STEG
