l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,445123721,316001080,110000,3,line,,,,107364.0,,,,,
2,445123721,316006578,110000,6,line,,,,95041.0,,,,,Yes
3,445590578,37407276,110000,9,line,,,,39833.0,,,,,Yes
4,105834287,121056846,110000,,line,,,,18418.0,,,,,
5,105834287,287236841,110000,,line,,,,11390.0,,,,,
6,316006578,316001080,110000,6,line,,,,5897.0,,,,,Yes
7,121056846,145499358,110000,,line,,,,9836.0,,,,,
8,347775701,177340388,110000,,line,50,蓼杜线-110KV蓼杜线,国家电网,19894.0,,,,,
9,265301080,275898479,110000,,line,,,,13881.0,,,,,
10,145499354,145499358,110000,,line,,,,3395.0,,,,,
11,145499355,145499358,110000,,line,,,,7023.0,,,,,
12,145499356,145499358,110000,,line,,,,7411.0,,,,,
13,136030445,275898479,110000,,line,,,,13348.0,,,,,
14,163985922,255311431,220000,,line,50,,,9046.0,,,,,
15,161577477,278169207,220000,6,line,,,,12755.0,,,,,Yes
16,161577477,133523400,220000,,line,,,,5571.0,,,,,
17,313629190,315269978,220000,6,line,50,,,78130.0,,,,,
18,328518154,328842159,220000,6,line,50,,,62144.0,,,,,Yes
19,284083287,284083294,220000,6,line,,,,5931.0,,,,,Yes
20,284083287,284083280,220000,6,line,,,,13117.0,,,,,Yes
21,315071500,315204024,220000,12,line,50,,,25356.0,,,,,Yes
22,132443907,132430137,220000,,line,,,,20946.0,,,,,
23,150403605,127871762,220000,6,line,50,,,21090.0,,,,,Yes
24,150403605,355642647,220000,,line,50,,,29395.0,,,,,
25,95783449,104955669,220000,,line,,,,10132.0,,,,,
26,279415839,201195906,220000,,line,,,,8659.0,,,,,
27,279415840,201197023,220000,6,line,,,,8315.0,,,,,
28,275706404,275706430,220000,,line,,,,8628.0,,,,,
29,275706404,276589707,220000,,line,,,,24463.0,,,,,
30,119206438,119206440,220000,,line,,,,10254.0,,,,,
31,119206440,223806191,220000,6,line,,,,11189.0,,,,,Yes
32,279419433,135466215,220000,6,line,,,,20836.0,,,,,Yes
33,162378077,162378099,220000,,line,,,,12838.0,,,,,
34,285846074,145499358,220000,,line,,,,42932.0,,,,,
35,107025759,287591085,220000,,line,,,,20367.0,,,,,
36,107025759,95805677,220000,,line,,,,20737.0,,,,,
37,275706430,330370369,220000,,line,,,,6622.0,,,,,
38,95783487,95783492,220000,,line,,,,9290.0,,,,,
39,284039744,283658134,220000,6,line,,,,18964.0,,,,,Yes
40,444981826,444981819,220000,6,line,,,,3082.0,,,,,
41,147744835,188973331,220000,6,line,,,,10935.0,,,,,
42,147744835,188829044,220000,6,line,,,,16598.0,,,,,
43,95783492,95513512,220000,,line,,,,12712.0,,,,,
44,95783492,95093839,220000,,line,,,,5906.0,,,,,
45,95783492,95783495,220000,,line,,,,11921.0,,,,,
46,255311430,255311431,220000,,line,,,,3679.0,,,,,
47,95783495,95783496,220000,,line,,,,5959.0,,,,,
48,284083277,284083293,220000,12,line,,,,19983.0,,,,,Yes
49,95093839,106027291,220000,12,line,,,,22045.0,,,,,
50,225119562,314606534,220000,6,line,50,,,39493.0,,,,,Yes
51,147710033,147708063,220000,6,line,,,,9741.0,,,,,Yes
52,259721828,328639863,220000,,line,50,,,15393.0,,,,,
53,280851769,136030445,220000,6,line,,,,23350.0,,,,,Yes
54,280851769,275898479,220000,6,line,,,,31832.0,,,,,Yes
55,323016549,323106411,220000,6,line,50,,,17914.0,,,,,Yes
56,128686690,128731546,220000,,line,,,,19990.0,,,,,
57,128686690,171484817,220000,,line,,,,29787.0,,,,,
58,170221358,170206555,220000,6,line,50,,,29918.0,,,,,Yes
59,313528427,313585532,220000,6,line,50,,,13764.0,,,,,Yes
