n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
445123721,85.6389003872,44.3241913714,substation,0,,,,
316001080,85.6365351664,44.2966094425,substation,0,,,,
316006578,85.5702682388,44.2847904681,substation,0,,,,
445590578,87.3828745961,43.8659103994,substation,0,,,,
37407276,87.6285760311,43.7264444082,plant,0,,,,
105834287,121.131673538,31.5400743705,substation,0,,,,
121056846,121.065551255,31.6687806707,substation,0,,,,
287236841,121.041980436,31.534917799,substation,0,,,,
145499358,121.13049014,31.6384401004,substation,0,,,,
347775701,115.643990237,32.208347085,substation,110000,50,110kV根亲变电站,,
177340388,115.677417199,32.3612780091,substation,110000,,杜营110KV变电站,,
265301080,116.956906492,39.601607247,substation,110000,50,,,
275898479,116.987797568,39.5140631805,substation,0,,,,
145499354,121.141182597,31.6598816888,substation,0,,,,
145499355,121.093452072,31.6915049102,substation,0,,,,
145499356,121.0966227,31.661916712,substation,0,,,,
136030445,117.022224579,39.4151341023,substation,220000,50,,,
163985922,112.647111427,38.0099062249,substation,0,,,,
255311431,112.587852966,37.9592253012,substation,0,,,,
161577477,117.514089889,38.9675991563,substation,220000,50,,,
278169207,117.627684938,39.0068759234,substation,0,,,,
133523400,117.457304628,38.9614433783,substation,500000,50,,,
313629190,119.08562246,34.6085808898,substation,220000,50,,,
315269978,118.425582561,34.2990267646,substation,220000,50,,,
328518154,115.414390792,39.0289481438,substation,500000,50,,,
328842159,116.071478393,39.0349815443,substation,220000,50,,,
284083287,120.655145439,31.3097878763,substation,0,,,,
284083294,120.654841743,31.2687916002,substation,0,,,,
284083280,120.593611331,31.3741434256,substation,0,,,,
315071500,114.102268107,30.6987619969,substation,500000,50,,,
315204024,113.917026296,30.6593198987,substation,220000,50,,,
132443907,121.649629797,31.2849524208,substation,0,50,,,
132430137,121.565939258,31.1947223923,substation,500000,50,500千伏杨高变电所,国家电网,
150403605,114.368105635,38.1466891334,substation,220000,50,,,
127871762,114.536957659,38.2447069183,substation,500000,50,,,
355642647,114.194094172,38.0551164829,substation,0,,,,
95783449,121.381134746,31.4538084494,substation,0,,,,
104955669,121.285955446,31.4239176049,substation,0,,,,
279415839,117.709839654,39.0719349179,substation,0,,,,
201195906,117.648115189,39.1070505913,substation,500000,50,,,
279415840,117.492023481,39.0695899152,substation,0,,,,
201197023,117.536714713,39.1043876482,substation,220000,50,,,
275706404,116.259662786,40.1747234294,substation,0,,,,
275706430,116.322686823,40.2254161888,substation,500000,,昌平变电站,,
276589707,116.336617139,40.048114343,substation,0,,,,
119206438,124.37937942,40.1624217785,substation,220000,50,,,
119206440,124.309407775,40.0968977929,substation,220000,50,,,
223806191,124.324179807,40.0175774487,substation,220000,50,,,
279419433,117.288246422,39.1524017475,substation,0,,,,
135466215,117.233073863,39.3021270353,substation,500000,,天津北郊,,
162378077,120.329646498,31.920297388,substation,0,,,,
162378099,120.368551514,31.8474044925,substation,0,,,,
285846074,121.125510761,31.4680121415,substation,0,,,,
107025759,121.164727195,31.0301714608,substation,220000,,,,
287591085,121.092187299,30.9885573167,substation,500000,,国家电网500千伏特高压练塘变电站,国家电网,
95805677,121.291548958,31.1126730072,substation,500000,,,,
330370369,116.27609569,40.2602685797,substation,0,,,,
95783487,121.460546161,31.3410694593,substation,0,,,,
95783492,121.432168175,31.2846454873,substation,0,,,,
284039744,120.485570127,30.9936550731,substation,0,,,,
283658134,120.639361634,31.0564893798,substation,0,,,,
444981826,87.6947760246,44.2714580368,substation,0,,,,
444981819,87.6893171217,44.2727666887,substation,0,,,,
147744835,123.028503127,41.2475932059,substation,500000,50,,,
188973331,122.926861731,41.2288481225,substation,220000,50,,,
188829044,122.909021291,41.1658064431,substation,500000,50,,,
95513512,121.357185671,31.283780543,substation,0,,,,
95093839,121.412955161,31.2470698978,substation,0,,,,
95783495,121.40706494,31.3838375031,substation,0,,,,
255311430,112.586258645,37.9806114,substation,0,,,,
95783496,121.448787599,31.3661177432,substation,0,,,,
284083277,120.460636261,31.4639165329,substation,0,,,,
284083293,120.518248378,31.5759738992,substation,0,,,,
106027291,121.197853046,31.2854295818,substation,500000,,,,
225119562,112.468228575,34.7407871467,substation,0,,,,
314606534,112.693376296,34.6225449777,substation,220000,50,,,
147710033,122.867396239,40.9409597318,substation,220000,50,,,
147708063,122.834234159,40.8682672682,substation,500000,,,,
259721828,115.906066702,36.5641118677,substation,500000,50,,,
328639863,116.023879155,36.5059849849,substation,0,,,,
280851769,116.957173798,39.288157911,substation,0,,,,
323016549,119.940306341,30.3975959736,substation,500000,50,,,
323106411,120.108942614,30.4099863473,substation,220000,50,,,
128686690,121.413249076,30.9562714252,substation,500000,50,,,
128731546,121.481931929,31.0903957584,substation,0,,,,
171484817,121.131014075,30.8910276493,substation,0,,,,
170221358,104.08107558,30.9437643903,substation,220000,,,,
170206555,103.846978029,31.0182678463,substation,500000,50,Pengzhou Substation,,
313528427,114.706106517,37.9503971931,substation,500000,50,,,
313585532,114.565507899,37.9578118411,substation,220000,50,,,
312852588,116.162063614,39.8259784462,substation,0,,,,
312852605,116.256839971,39.7667955738,substation,0,,,,
148727570,116.735674437,40.2368571694,substation,500000,50,,,
279595711,116.532584703,40.1964701446,substation,0,,,,
278530118,116.594408591,39.9365802185,substation,0,,,,
189931119,122.971399103,41.0707096799,sub_station,0,,,,
319534355,118.398303532,35.2742189236,substation,0,50,,,
314288467,118.3163518,35.2624454127,substation,500000,50,,,
365846132,117.194528296,38.992928049,substation,0,,,,
136348806,117.095388925,38.9993152572,substation,500000,50,,,
277880965,117.26377854,39.0136784661,substation,0,,,,
264823742,117.447217531,39.6721872719,substation,220000,50,,,
282759079,117.319682987,39.6784580818,substation,0,,,,
284477051,120.951891264,31.4402922648,substation,0,,,,
100600532,120.910431202,31.480068215,substation,0,,,,
312852604,116.698944466,39.8900958704,substation,0,,,,
278062434,116.732801595,39.9810637952,substation,0,,,,
277499262,116.747225664,39.7882688362,substation,0,,,,
277704920,116.111345947,39.7047946417,substation,220000,,,,
147706495,122.701725373,40.881357441,substation,220000,50,,,
279711874,116.515380919,39.8390502316,substation,0,,,,
323106340,120.143184884,30.3923980366,substation,220000,50,,,
277880964,117.33480373,39.070493902,substation,0,,,,
365843497,117.324320276,39.0117274831,substation,0,,,,
258077674,117.237824792,38.9022968817,substation,220000,50,,,
279442214,117.060849284,39.0736842551,substation,0,,,,
189145223,122.737487248,40.6800485884,substation,220000,50,,,
189139925,122.830190949,40.7448096687,substation,220000,,,,
315303020,120.34035197,36.2768424252,substation,220000,50,,,
178542455,120.324723117,36.4259909535,substation,500000,50,,,
383977880,120.328534604,36.3731128454,substation,0,,,,
313944391,120.297544532,36.3363669662,substation,220000,50,,,
287088780,120.064619101,33.2889376752,substation,500000,50,,,
336382462,120.086000102,32.9781723939,substation,0,,,,
313934998,120.859087322,36.8222361852,substation,500000,50,,,
314000703,121.15881228,36.7191696005,substation,220000,50,,,
384012825,120.543247282,36.711744743,substation,0,,,,
160440345,120.452791551,31.8016677813,substation,0,,伏陵变电站,,
286930852,120.465285422,31.7842645424,substation,0,,,,
275985691,116.04461464,39.7006538581,substation,500000,,房山变电站,,
279946098,116.048762408,39.7223428056,substation,0,,,,
163162788,120.361322707,31.6499054354,substation,0,,,,
163021047,120.405050455,31.6946429267,substation,0,,,,
163162791,120.332583915,31.7416391856,substation,0,,,,
132503211,121.593703686,31.3243772689,substation,0,,,,
128727215,121.496052606,30.9763670329,substation,0,,,,
132312011,121.582232818,31.1299209493,substation,0,,,,
322733769,121.72837984,31.035647284,substation,220000,50,,,
171491187,121.875367333,30.9073814105,substation,0,,,,
132424981,121.778899614,30.940239064,substation,0,,,,
315071509,113.98110357,30.5528326696,substation,500000,50,,,
131286199,114.029225128,30.4939776954,substation,220000,50,,,
171514556,104.528925055,31.2988190337,substation,220000,50,,,
207327989,104.581205927,31.3227413388,substation,500000,,,,
