id,n1_id,n2_id,length,voltage
1,1,2,61286.4034077,132000
2,1,3,53264.1917443,132000
3,4,5,51161.8146355,132000
4,4,6,91.5837085546,132000
5,7,8,84424.6735288,132000
6,7,9,76879.3680412,132000
7,7,10,72452.2208757,132000
8,11,12,1712.51771511,132000
9,13,14,18821.043385,132000
10,15,16,13169.6854332,132000
11,17,18,5338.91987974,132000
12,19,20,5246.87315669,132000
13,21,22,348.756795467,132000
14,21,23,355.107963187,132000
15,24,25,60954.5643799,132000
16,24,26,34557.0731289,132000
17,27,28,583.446353648,132000
18,29,30,7732.83378893,132000
19,29,31,7742.13065824,132000
20,32,28,103.439865922,132000
21,33,34,11768.7011851,132000
22,33,35,41.978561996,132000
23,33,36,7418.12056684,132000
24,37,38,25312.1927325,132000
25,39,40,23325.4213527,132000
26,41,16,50219.9968452,132000
27,41,42,4902.75359191,132000
28,41,43,69.882187115,132000
29,41,44,75.7483106218,132000
30,45,46,11890.4475337,132000
31,45,47,9488.94550275,132000
32,48,49,31374.2201675,132000
33,48,50,45327.7118355,132000
34,48,51,37547.1774475,132000
35,52,53,8202.60074841,132000
36,54,55,18745.8493902,132000
37,54,56,79141.219168,132000
38,54,57,16281.7579461,132000
39,58,2,67524.1176131,132000
40,58,59,19959.0278278,132000
41,58,25,30942.29065,132000
42,58,60,31753.5744947,132000
43,58,61,31896.6175112,132000
44,62,63,21115.130277,132000
45,62,64,20725.5581391,132000
46,62,65,190.243896493,132000
47,62,66,114661.638588,132000
48,62,67,55633.2344793,132000
49,62,68,55055.4832005,132000
50,62,6,28185.1950755,132000
51,69,22,10419.4565807,132000
52,69,23,10421.2096852,132000
53,69,70,77183.2564806,132000
54,38,71,22618.9987712,132000
55,38,8,61181.3352359,132000
56,72,73,1313.0155502,132000
57,72,74,29050.7488672,132000
58,42,75,186.190230521,132000
59,56,76,78574.0670755,132000
60,56,77,62737.6564966,132000
61,56,55,29401.4790887,132000
62,78,79,206.24003593,132000
63,78,80,33890.1281452,132000
64,76,77,39853.868963,132000
65,76,81,180.131480147,132000
66,76,82,71316.4221365,132000
67,30,83,141.090596814,132000
68,30,84,30244.8247405,132000
69,85,79,205.689653834,132000
70,85,86,12900.7685347,132000
71,87,88,42.0090273758,132000
72,87,34,11801.5705527,132000
73,89,90,2895.76515778,132000
74,89,91,8292.47195938,132000
75,89,92,143.165514231,132000
76,93,94,32313.1237207,132000
77,93,95,57817.8899924,132000
78,93,50,29694.0074184,132000
79,96,97,9445.48246401,132000
80,98,99,44259.6808554,132000
81,98,5,56520.2696935,132000
82,100,101,110.744787552,132000
83,102,103,89243.2120685,132000
84,80,104,8396.73240698,132000
85,80,105,2707.31860111,132000
86,106,107,5500.44875276,132000
87,106,108,29372.2586992,132000
88,109,110,10189.4463617,132000
89,109,82,42297.7615497,132000
90,109,111,74408.8966042,132000
91,109,112,15899.6581811,132000
92,3,2,215544.051357,132000
93,3,64,59893.9251465,132000
94,57,112,22891.6334166,132000
95,104,113,6655.83313877,132000
96,104,84,4686.67089995,132000
97,104,114,43423.7015279,132000
98,16,115,44331.7243487,132000
99,116,59,48919.3537353,132000
100,117,118,54974.2716724,132000
101,119,120,60089.189477,132000
102,119,25,62517.6825104,132000
103,12,118,73239.021382,132000
104,121,122,80673.2226785,132000
105,120,118,51316.2852496,132000
106,118,123,145.484626858,132000
107,111,9,25787.8095236,132000
108,111,10,20882.2092129,132000
109,124,125,2864.67188525,132000
110,73,126,28048.4195755,132000
111,127,128,285.293481481,132000
112,129,130,33033.6678843,132000
113,129,131,33963.6056274,132000
114,129,132,35289.8880288,132000
115,133,2,121.127915574,132000
116,134,135,243.016379487,132000
117,134,108,4893.64280897,132000
118,44,136,16392.502415,132000
119,130,137,27508.793058,132000
120,138,139,132.049723768,132000
121,138,140,90.4485075965,132000
122,138,99,49516.5155273,132000
123,138,77,94880.9624792,132000
124,138,141,55161.3895453,132000
125,142,136,51236.1954262,132000
126,103,143,76910.0250046,132000
127,103,144,47388.4618958,132000
128,145,146,70357.6436462,132000
129,145,147,27534.8034761,132000
130,148,146,53341.2026134,132000
131,149,150,7634.34497219,132000
132,151,152,36316.978736,132000
133,6,153,1385.71673988,132000
134,6,154,2573.45317401,132000
135,6,155,141.569973222,132000
136,6,64,41664.9089699,132000
137,156,157,6821.36102197,132000
138,152,158,50955.4893394,132000
139,159,20,36306.4698386,132000
140,159,160,13783.9319436,132000
141,161,162,102815.771218,132000
142,163,164,57769.4975841,132000
143,147,165,28320.7366597,132000
144,126,166,12831.20884,132000
145,108,125,14289.732442,132000
146,108,107,34807.8762489,132000
147,167,168,6133.53848142,132000
148,167,169,24334.7243169,132000
149,64,170,86.8375910591,132000
150,64,63,684.439015758,132000
151,64,5,68456.5541744,132000
152,168,171,11502.7936709,132000
153,77,172,160.249494465,132000
154,173,79,1485.06065935,132000
155,174,175,17796.9238739,132000
156,141,99,38033.3170097,132000
157,176,177,31595.6467732,132000
158,178,179,49926.1002425,132000
159,178,175,41630.9517286,132000
160,180,179,49655.4686443,132000
161,164,181,21855.7921902,132000
162,164,115,27213.3748814,132000
163,182,183,4451.18415769,132000
164,182,18,12485.7927134,132000
165,182,184,5041.47295875,132000
166,182,115,50246.8502131,132000
167,182,128,24016.1722741,132000
168,43,101,17820.9457077,132000
169,5,99,93197.0313651,132000
170,5,185,58284.3449971,132000
171,186,171,13035.0875003,132000
172,186,83,323.188899374,132000
173,26,83,188.963465463,132000
174,86,83,167.399727701,132000
175,10,9,5549.78401097,132000
176,60,187,51024.8562604,132000
177,188,189,6517.65521652,132000
178,190,191,19545.1908433,132000
179,192,193,18729.6470131,132000
180,194,195,22527.7418995,132000
181,196,150,9910.5333017,132000
182,53,197,15191.5080344,132000
183,191,198,24045.0121831,132000
184,191,195,49776.0217121,132000
185,122,97,50204.3406122,132000
186,199,112,136.449599783,132000
187,200,97,72461.5926988,132000
188,112,201,236.758209005,132000
189,195,144,53954.8756962,132000
190,110,9,49205.4682189,132000
191,202,9,182.097499424,132000
192,197,203,25773.4082184,132000
193,204,205,24976.4880979,220000
194,204,206,22628.5039153,220000
195,204,207,18526.5769097,220000
196,204,208,9329.10724734,220000
197,204,209,42727.9975704,220000
198,204,210,48176.4413616,220000
199,177,211,51396.2718412,220000
200,212,210,25113.4873008,220000
201,212,213,25554.2760412,220000
202,213,214,17113.0790954,220000
203,213,215,93895.8060278,220000
204,213,216,94696.0577094,220000
205,213,217,117276.304775,220000
206,218,135,15536.3723738,220000
207,115,135,40341.9504082,220000
208,219,220,10367.0374372,220000
209,219,214,47705.5894649,220000
210,221,222,20399.0448645,220000
211,223,224,77796.2561287,220000
212,223,225,35594.1295162,220000
213,148,226,45564.9660431,220000
214,227,222,11465.5056455,220000
215,222,228,24088.8788023,220000
216,229,230,64844.7404465,220000
217,231,232,32168.1662254,220000
218,206,228,6411.40621519,220000
219,206,207,4440.36610551,220000
220,216,214,32439.2946229,220000
221,233,79,15471.072257,220000
