id,lon,lat,name,osm_id,voltage,type,poly
1,54.6612244365,24.2937046876,Substation,29504133,None,substation,0103000020E61000000100000005000000F4ACE79981544B4053DC36F3294B384048519BBA9F544B40903AC5D06E4B38403AED73CBC4544B4036CE1FDE354B38402F00E48AA5544B40789AFBDEF14A3840F4ACE79981544B4053DC36F3294B3840
2,54.4913792195,24.4391988635,None,94950857,None,substation,0103000020E61000000100000005000000869A075DDC3E4B406C3540EE53703840558D44D5DE3E4B4051E8F6028D70384080E1EBA9EE3E4B4067F992BE8A7038401AD86F32EC3E4B40C13FDBA951703840869A075DDC3E4B406C3540EE53703840
3,54.5112286773,24.3184602087,Mussafah GIC Substation,95046332,None,substation,0103000020E610000001000000050000008EB66AB953414B40F1A4C958A9513840C4A9018E8A414B405237B94FAD513840808FB2288C414B40DC394CDF63513840499C1B5455414B403DC4FAE65F5138408EB66AB953414B40F1A4C958A9513840
4,54.5412051653,24.2911675458,Substation,29504119,None,substation,0103000020E61000000100000005000000A1653BB411454B40274D22E0A14A38409224C95C31454B403774E21BE64A3840CF8355C17A454B407296B2E8714A384027E3B1065B454B408DBC87DF2D4A3840A1653BB411454B40274D22E0A14A3840
5,54.5927399847,24.3480933897,Substation,29503687,None,substation,0103000020E61000000100000005000000B65E6D0ACA4B4B40CBBD01D40E59384026260D6DDF4B4B40A9F7885844593840AD7752B1F34B4B40A818464E2A5938409F113787DE4B4B40FCE5B61AF5583840B65E6D0ACA4B4B40CBBD01D40E593840
6,54.7497177108,24.5478741928,None,24394891,None,substation,0103000020E610000001000000060000006F578FEBBB5F4B40186C52AB188C38400827C353BD5F4B40EF52DBA66F8C3840DAEB81CB2F604B402DD991176D8C3840DAEB81CB2F604B407B77CFFE108C384093A1596101604B4094505710148C38406F578FEBBB5F4B40186C52AB188C3840
7,55.0974182893,24.1745484574,Khazna,95046964,None,substation,0103000020E61000000100000005000000DB4E3D6C6C8C4B40625A40E9CA2C3840962A52CE828C4B405E47DF55CB2C3840924672BC838C4B40A9EF25E9902C3840D863D51E6D8C4B4091899BDF952C3840DB4E3D6C6C8C4B40625A40E9CA2C3840
8,56.1200357859,24.2461348014,None,261164502,None,substation,0103000020E61000000100000009000000E421B3DB330F4C4034D90C12B93E3840B57DC478640F4C409538377C663F3840F4627220870F4C407729023E453F38400EC6E1BD7C0F4C408F6ECE1E223F3840635E12D96E0F4C4000D2BF26F33E3840B75D0902620F4C406F0E16BFC73E3840C3A96A655E0F4C40A688D60ACB3E384074B8B76B510F4C40BC41C7EB9C3E3840E421B3DB330F4C4034D90C12B93E3840
9,55.7942682096,24.3913096482,None,95084794,None,substation,0103000020E6100000010000000500000012DDC6A284E54B402508F60E5C6438403780541DC4E54B4006B28D71726438402B4D1987D0E54B40840BB6AFFD6338409EC0CA0B91E54B40A3EA4A4AE763384012DDC6A284E54B402508F60E5C643840
10,55.3317210669,24.1917760307,Ramah,95055625,None,substation,0103000020E610000001000000050000008ACC180F5AAA4B40EAD893B028313840BEBB21C988AA4B4008A901C5403138406109109D91AA4B40873503C8073138402D1A07E362AA4B40D7B12AB2EF3038408ACC180F5AAA4B40EAD893B028313840
11,55.5730302265,24.230197193,None,95084816,None,substation,0103000020E6100000010000000500000023C8114E38C94B40A06F0243C83A384008D3FD673DC94B403D7829D81F3B384088C851CE79C94B40097C1724143B38403CD4A4B374C94B404D3C4890BC3A384023C8114E38C94B40A06F0243C83A3840
12,55.5901727378,24.1014604553,AASW,200057688,None,substation,0103000020E61000000100000007000000B656BC7163CB4B40F4B3CC78391A38408471B6B985CB4B405DBD70B25E1A3840CA345031B7CB4B40EBA2D7DDC6193840E5C41D0D8CCB4B4030806E0598193840CCC721AA66CB4B40106052C40A1A3840E41C5A866FCB4B400BBAE262141A3840B656BC7163CB4B40F4B3CC78391A3840
13,55.565403043,23.6509997217,Al Wagon,95097245,None,substation,0103000020E61000000100000007000000C250BA2048C84B40EDAFD102D6A63740DA06ABEC6EC84B404323427DD9A6374046A673A371C84B40375039F270A637403AF2C4A65DC84B404DB7991F6FA6374026ECC0045DC84B408AD0C9897DA63740C8515B8851C84B4007622FB57CA63740C250BA2048C84B40EDAFD102D6A63740
14,55.4985617129,23.9036947971,Arad,95084811,None,substation,0103000020E610000001000000060000004A3F4E09A4BF4B409F963CD865E73740A6130FE7D7BF4B405F63D798AAE73740115B8EB6FDBF4B40E22AE23E4BE73740B486CDD8C9BF4B40D0A7147E06E737400F58205EA6BF4B40AF4177E85FE737404A3F4E09A4BF4B409F963CD865E73740
15,55.3969025318,23.40969367,Umm Al Oush,132159924,None,substation,0103000020E610000001000000050000009B20C222B3B24B4023DD81F7D0683740B6472F11B9B24B408BB473AB04693740F562D149E8B24B40F318E977F2683740E50E4743E2B24B40AB68FA9FBE6837409B20C222B3B24B4023DD81F7D0683740
16,55.4632773516,25.3722906822,None,29500305,None,substation,0103000020E61000000100000007000000AA2EC0E037BB4B4006CF596C465F3940FC0353EC43BB4B40222504CC6E5F3940C5EB52C451BB4B403294AF61605F3940CC934A0354BB4B40BCD862E0675F394090E5FD9B61BB4B40D183F4805A5F3940EBACB4E852BB4B40F0D653C72B5F3940AA2EC0E037BB4B4006CF596C465F3940
17,55.6045271005,25.3246878843,None,29499064,None,substation,0103000020E61000000100000006000000F2B723D93FCD4B40CAB1BA2906533940BB31C8F952CD4B407D1BB41A5D53394082088A8182CD4B400A60087A375339403EF14E196FCD4B4069E38807E05239402CABD48969CD4B408FBB2ABDE4523940F2B723D93FCD4B40CAB1BA2906533940
18,55.9128226385,25.3264829806,None,181332756,None,substation,0103000020E61000000100000007000000FE2DC2D2A4F44B40704AB720495339405C9A4285BAF44B4041D64826FF53394094AE1B5C0AF54B4035372498DF53394051BB298501F54B407AF776829F533940A1286289FCF44B402D6B47FF6753394072DB3582F3F44B4092AC09E029533940FE2DC2D2A4F44B40704AB72049533940
19,55.8216851337,24.1113325051,Substation,181362976,None,substation,0103000020E610000001000000050000007E6E012911E94B400E8D542CA11C3840B97AE5143DE94B40B8DFE822B41C3840930B986F49E94B406B969037611C38405F27B2791CE94B40C6B2DF9E4B1C38407E6E012911E94B400E8D542CA11C3840
20,55.7733740284,24.1650164376,None,95084771,None,substation,0103000020E61000000100000005000000A6F6FD7AE5E24B40BF411643122A38401AFE4783E5E24B40B0B4FAD26A2A3840EB60E15B16E34B40FB953AC56A2A3840DE42585416E34B40851DB636122A3840A6F6FD7AE5E24B40BF411643122A3840
21,54.1482278956,24.2199311042,Dabiya,95097252,None,substation,0103000020E61000000100000005000000616E429AED124B401343F66D45383840CF1821A7F8124B40C6B887E063383840DD13E8A804134B40B8337D6155383840D752CA9CF9124B40E746E8EE36383840616E429AED124B401343F66D45383840
22,54.3052066757,24.1616960528,Central,181332765,None,substation,0103000020E61000000100000005000000BFD5945101274B40630FEF39962938407E47E9841E274B40CD3FF754982938406BB3CEB420274B409E97E89933293840AD417A8103274B409EB77E7D31293840BFD5945101274B40630FEF3996293840
23,55.4216419008,24.5194567041,Sweihan,95046953,None,substation,0103000020E610000001000000060000000732A904D0B54B40BCDB0969238538409B8D3FDF0DB64B40CB70A94145853840303D918620B64B400ACAEE64D484384023ACB1FDF9B54B40CECE8AF9BB843840CC0E79AAE2B54B402DD48F8DB28438400732A904D0B54B40BCDB096923853840
24,55.685369003,24.2584798274,Dahma,95084799,None,substation,0103000020E61000000100000006000000612B689F98D74B40223F76B86F423840C5FC55A6C0D74B408077D3AB8642384010839A9BD1D74B40F0C45CEA214238403364AAC8DBD74B40C5E51165E74138401F8B11D3B3D74B40F41FA0F9D0413840612B689F98D74B40223F76B86F423840
25,55.7294245221,24.5734361843,None,95084776,None,substation,0103000020E61000000100000005000000FB4CF4954FDD4B40D82C4638DF92384045B370A664DD4B40126223ECE9923840C0EDCEFA6BDD4B407E372B35BA923840778752EA56DD4B40E5EE4981AF923840FB4CF4954FDD4B40D82C4638DF923840
26,57.4671496664,23.7242442668,None,115677383,None,station,0103000020E6100000010000000500000033D60A64A1BB4C403DBD23194AB93740676F7184BABB4C40A4B6CC18B4B9374044C936D6F5BB4C4071C9E0AA86B93740737CBC3BDCBB4C40C53A6C821BB9374033D60A64A1BB4C403DBD23194AB93740
27,57.7914547348,23.686960001,None,354672631,None,substation,0103000020E61000000100000005000000781EC0F841E54C40941EC099DBAF3740C19D6F4459E54C40D14EBB9CE7AF37402E8BCBCD5AE54C404994ED9DDDAF3740E40B1C8243E54C4096CA529CD1AF3740781EC0F841E54C40941EC099DBAF3740
28,54.3257630844,24.0668692946,Rumaithy,215795245,None,substation,0103000020E61000000100000005000000F6513C64A7294B40D651D94B1B113840A88853A8B3294B40C96779F532113840C4DA9ED1BD294B40B5415B6421113840AABAC68CB1294B40283718BC09113840F6513C64A7294B40D651D94B1B113840
29,54.4879207651,24.2799184817,None,259874704,None,substation,0103000020E610000001000000050000000B51D286443E4B40E4D64349A5473840E4FB24CC763E4B408EEEFE7800483840E8FD32E3A33E4B407A9319D2AC473840E9F84487713E4B403882F7AE504738400B51D286443E4B40E4D64349A5473840
30,54.2321981255,23.2904599295,Asab,181361589,None,substation,0103000020E61000000100000006000000984FF568A01D4B40906344CC5C4A3740BADED63AAA1D4B409C429B6A7F4A3740757EE9EDD01D4B40F5C6535D5A4A3740851C861AC71D4B4069A755C0374A3740BD8D3CD9B91D4B40D258F06F444A3740984FF568A01D4B40906344CC5C4A3740
31,53.7305257925,23.5777764174,Madinat Zayed,95099964,None,substation,0103000020E610000001000000090000006487608A5FDD4A40D780836BDF933740E4ADA04983DD4A40F99A52C5EB93374053ADC1AE79DD4A40C0AD322A499437401FFD1B8E98DD4A406A9901D553943740E4CED5DDA2DD4A400F9AFF8EEF933740893B1FE783DD4A40DA464F05E59337406A82E6658CDD4A40487E66CC90933740504CEFE268DD4A406F1B4787849337406487608A5FDD4A40D780836BDF933740
32,51.7666005362,24.0569149783,Sila,132159930,None,substation,0103000020E610000001000000060000003057EED30AE24940EE256562770E3840936357FE0BE24940814EC2EC920E38409EEF2E4F0DE24940DABB0F2EB20E384003BA941A35E249400669AC92AC0E38409621549F32E2494091915FC8710E38403057EED30AE24940EE256562770E3840
33,52.7553607919,24.0904194492,Ruwais,132517028,None,substation,0103000020E610000001000000060000001E41AAD399604A40C0D00A06471738408856C32CBB604A407CE2C93B55173840EBCD807FC5604A40F7FF2E6F0417384081B86726A4604A4079F86639F61638402E0A18CD9A604A409188B5653F1738401E41AAD399604A40C0D00A0647173840
34,58.2869877934,23.5627969863,None,247122500,None,substation,0103000020E61000000100000006000000E9FF41B0A5244D407FA44D592B9037403403795FC8244D404B2289173D9037403A5DD05DD2244D40AA37886CFB8F374071F5D63CC1244D4048754CFDF28F3740F15999AEAF244D406A83A5AFE98F3740E9FF41B0A5244D407FA44D592B903740
35,58.2668201683,23.4881249078,None,354672632,None,substation,0103000020E61000000100000005000000B8A075CFFC214D40565F8D101B7D3740C8FCF4C026224D40E2836B574A7D37406BE4893652224D40267E2DFAD27C3740D3C1C73126224D40665393C4A07C3740B8A075CFFC214D40565F8D101B7D3740
36,58.0091945703,23.6315522139,None,115677414,None,substation,0103000020E61000000100000006000000317364B10C014D40205268F673A13740270748D70D014D40D7EF63F5E8A13740A8CEC3E14D014D409FFA24D8E6A13740F2D7151D4D014D402C91885798A137401924A1BC4C014D40C06AEADB71A13740317364B10C014D40205268F673A13740
37,53.7943609859,23.1300933633,Liwa,95099973,None,substation,0103000020E6100000010000000700000020DE9FE699E54A4083840B20302137408912FA98A0E54A408A0F68EC7621374033650A81C1E54A40998930F86A213740E45EA5F8C0E54A403CE957BD65213740FD3A7935C0E54A40419C638B5E21374023B141A8BAE54A407B4FB3FB2421374020DE9FE699E54A4083840B2030213740
38,52.5740910055,24.1631110766,Shuweihat,95139157,None,substation,0103000020E61000000100000005000000A804E42F69494A404028822B64293840F618592F6A494A40B8125DC51F2A38401F1136708E494A40E7405B201F2A3840A2CF42728D494A40F169DF8763293840A804E42F69494A404028822B64293840
39,57.9843505149,23.7054302988,None,115677398,None,substation,0103000020E61000000100000005000000381318D0E0FD4C40402111E1A8B43740675EAAF71BFE4C40FC9185B7B0B43740CAC3C9B81DFE4C409430C78185B4374008A61676E2FD4C40632332457DB43740381318D0E0FD4C40402111E1A8B43740
40,57.982782911,23.7079064221,None,115677409,None,generator,0103000020E6100000010000000B0000000D6366E86BFD4C40EF85D579BFB4374018EF3D396DFD4C40BF28AAF27AB537403006E7F4B1FD4C4025B14BD387B5374066504025AFFD4C4061D33224B7B5374039A442FBC8FD4C40974D72C3BCB53740B31969601CFE4C40F490AFD3C8B537403F5DB80923FE4C4012E8E2592EB537409D45BEC626FE4C407416B3BDD6B437400A5B97A0CEFD4C408109348AC9B437401CD31D4B6CFD4C40C1CF57E8B9B437400D6366E86BFD4C40EF85D579BFB43740
41,57.97682122,23.7076249132,None,386199505,None,generator,0103000020E6100000010000000D000000DBDB6A48DBFC4C40401EE7EEA6B43740CA87D3D3DBFC4C405D41AEAF98B53740365F6A7A32FD4C40DC98D7B4A6B537403DE7A64232FD4C406CC275457BB537404FB4A2563BFD4C408D532A34BEB437404C33228221FD4C4054357900BBB437400BAB84D321FD4C40B49A88AEB1B43740F3554CF718FD4C402A91F17EB0B43740766D0F9018FD4C407598EAAABAB43740A0FC318801FD4C4085CE7F09B8B43740DC4EC1C901FD4C4093F1043AACB437408B64899DFBFC4C407A82FC5FABB43740DBDB6A48DBFC4C40401EE7EEA6B43740
42,58.0027721816,23.687309783,None,386199534,None,substation,0103000020E61000000100000005000000535CCFEE54004D403051E62DF6AF3740DC3B38CF5F004D40A3793EF1F9AF37403F4119BE60004D40A99597E2F0AF37401F4B71DE55004D40FE7BA020EDAF3740535CCFEE54004D403051E62DF6AF3740
43,55.6954189398,24.1892952071,None,95084793,None,substation,0103000020E61000000100000006000000CA225497D7D84B404CEDF1E989303840F6FA7561F9D84B40DF7FA642A430384063F46ECC19D94B40D8CDC089BD3038405DBB4C622FD94B40ECB0626261303840C4E9312DEDD84B405C77CEC32D303840CA225497D7D84B404CEDF1E989303840
44,58.0039155813,23.6805542462,None,386199541,None,substation,0103000020E610000001000000070000000BB8C3BD7B004D40F8C641A43FAE37408667F89684004D40BAF542B641AE3740D5B8033F85004D40F3A4A24938AE3740197A9C0D83004D407D5022C537AE3740C44B398F83004D4070CB367F30AE3740D5ADEDE87C004D40775E54F02EAE37400BB8C3BD7B004D40F8C641A43FAE3740
45,58.450840586,23.5827099033,None,60234385,None,substation,0103000020E610000001000000130000002A55667493394D4019A85795359537408BC100039C394D40CC41A3C53B953740DF4F95E5A2394D40CCF45C6B3F95374064A4D44AAF394D40CC7B56DF4595374083C1CC4AB6394D400831AC714F9537402200FDD1BB394D40C849FD7E5395374021521EBFC2394D402CD2FB84529537409852E08BC2394D40BF6BA4264D953740C3823ECFC7394D403511384F46953740D49DDA23C9394D400F58A4012995374061A1B3DFCA394D40D2F89E1326953740CE522796CF394D40D2F89E13269537403403ED76D1394D405623BE4C22953740E1663BAFD0394D406BE64AFB1B953740EDC44712CF394D40BBAB67C109953740414EE12AAA394D4045FA08B915953740A31DC11AA5394D405EFA1D55169537405922993299394D40F6EDFBCF1F9537402A55667493394D4019A8579535953740
46,53.4479200286,24.1185598143,Mirfa,95139199,None,substation,0103000020E61000000100000005000000380724072AB94A400B70C3195F1E3840EE0ACFEE73B94A4066E9A597921E3840597CB2DB80B94A406BBF92C4541E3840A47807F436B94A40C68AF747211E3840380724072AB94A400B70C3195F1E3840
47,48.4541957796,27.4595700713,None,198365955,None,station,0103000020E61000000100000009000000DDF16925E3394840BEF168ED5C753B401E1FB75D143A484061AAB6302A763B40CD2655DE1A3A4840772E2C2F2F763B4031A0066C5F3A48401DE27866FB753B40B0F3A469623A48408266BC9CEE753B40BAE1546C323A484080CF6E3623753B4026BD12642B3A4840AB8443391E753B40748F2AA9E63948403BBA588B51753B40DDF16925E3394840BEF168ED5C753B40
48,46.0492024082,28.3535176871,None,199091189,None,substation,0103000020E6100000010000000A0000000C6F2BF617064740C16934A4655A3C40FA9B1456320647409A43305AD55A3C4068F4D175360647409824C81BD85A3C40DA56AC737E064740A32D5B4FA45A3C40BB9D806080064740021F7F169C5A3C4062FCAC8467064740EC1CC0FC2E5A3C409FE775B86606474039E3CC7E2B5A3C40313D8A3D62064740E37F9BEF275A3C4034D4E9D019064740506D50B05C5A3C400C6F2BF617064740C16934A4655A3C40
