id,n1_id,n2_id,length,voltage
1,1,2,63650.7632425,220000
2,3,4,18924.7124727,220000
3,3,5,37920.4111351,220000
4,3,6,38001.2906017,220000
5,7,8,60148.3625333,220000
6,9,10,29791.5432227,220000
7,9,11,22233.5160728,220000
8,12,13,28118.8641803,220000
9,12,14,53837.1709417,220000
10,15,16,84598.5738071,220000
11,17,18,48237.2698769,220000
12,19,20,11181.1030416,220000
13,21,22,16415.8832149,220000
14,23,24,32583.0247351,220000
15,25,26,31272.4427537,220000
16,27,28,102934.71437,220000
17,27,29,13541.9780685,220000
18,30,31,51452.7178673,220000
19,30,32,36326.4138765,220000
20,33,34,69660.9359669,220000
21,35,13,31230.5214843,220000
22,36,37,3243.13272234,220000
23,38,39,9088.06232796,220000
24,40,41,91452.0022797,220000
25,42,43,19679.3258937,220000
26,44,45,34172.4468443,220000
27,44,46,31595.9465072,220000
28,47,48,16795.5269758,220000
29,49,50,21665.8018749,220000
30,51,52,35367.1688443,220000
31,53,54,26533.5373421,220000
32,55,56,7873.06772977,220000
33,55,57,175235.600289,220000
34,58,59,7558.73963759,220000
35,60,61,29652.6376255,220000
36,62,63,38629.9467908,220000
37,62,64,43378.3700119,220000
38,65,66,91859.8005272,220000
39,65,67,54665.886149,220000
40,68,69,3502.6487039,220000
41,70,71,1429.35846562,220000
42,72,73,24546.2224905,220000
43,74,75,3583.83251068,220000
44,76,77,16509.0264255,220000
45,76,78,48220.1493785,220000
46,79,80,98120.1605348,220000
47,81,82,61566.3046217,220000
48,83,84,51725.760314,220000
49,85,86,28700.5509141,220000
50,32,46,77456.0103754,220000
51,32,87,33644.2125387,220000
52,32,88,33821.5396883,220000
53,32,89,27590.4388427,220000
54,32,90,75907.9917884,220000
55,91,92,54203.7650296,220000
56,91,28,137483.94319,220000
57,91,93,15559.1964075,220000
58,94,95,39491.6899205,220000
59,96,97,90974.8289561,220000
60,98,99,57700.8457293,220000
61,98,100,35371.1688088,220000
62,101,102,174892.873899,220000
63,101,103,1169.86399404,220000
64,104,105,38171.0271342,220000
65,104,106,47753.7892992,220000
66,107,59,8188.21998881,220000
67,108,109,2167.51402748,220000
68,108,110,1799.87309905,220000
69,108,111,625.397576125,220000
70,112,113,53782.3638054,220000
71,114,115,4682.53949327,220000
72,116,117,3951.58972058,220000
73,118,64,24181.1154281,220000
74,118,26,35335.1246774,220000
75,119,120,188.683931429,220000
76,121,122,51608.7617281,220000
77,123,124,9210.09719089,220000
78,125,126,84172.3823923,220000
79,127,128,33465.2475804,220000
80,129,126,44282.1938537,220000
81,130,131,22243.9482039,220000
82,132,8,24911.1984095,220000
83,133,69,8753.97903065,220000
84,134,8,32100.3540895,220000
85,134,135,44588.5820214,220000
86,134,136,63072.34065,220000
87,134,137,6706.07181957,220000
88,138,139,60802.0257453,220000
89,140,141,10664.0663883,220000
90,142,143,66261.0243844,220000
91,144,145,23141.5487475,220000
92,144,146,50480.5029039,220000
93,147,148,12337.4334385,220000
94,149,150,79691.6406389,220000
95,149,151,1889.18264873,220000
96,149,152,94177.8770692,220000
97,153,154,28868.94517,220000
98,155,156,73610.2107732,220000
99,157,158,25067.4388392,220000
100,159,160,3782.00383856,220000
101,159,161,111210.369935,220000
102,162,163,84153.332731,220000
103,164,165,487.244783549,220000
104,166,167,149.152383599,220000
105,168,169,89483.7045483,220000
106,170,135,65499.4308288,220000
107,170,171,68650.468897,220000
108,170,172,19721.7678449,220000
109,170,173,31939.8949999,220000
110,170,174,2672.97983502,220000
111,170,69,17673.4453853,220000
112,175,176,53812.8939524,220000
113,175,95,70759.7843648,220000
114,175,177,339.309685115,220000
115,90,178,10190.0761492,220000
116,135,179,22855.9160876,220000
117,180,28,17324.4121194,220000
118,181,182,71759.6892786,220000
119,183,61,17802.5461816,220000
120,54,184,44223.1913302,220000
121,54,185,70821.1971884,220000
122,172,186,3019.93348553,220000
123,187,188,44616.2691279,220000
124,189,190,43409.2185114,220000
125,191,192,21926.4913609,220000
126,193,167,24535.290079,220000
127,194,195,89077.0743245,220000
128,196,197,24934.3226168,220000
129,196,100,31978.1044738,220000
130,198,199,101843.694073,220000
131,200,201,563.767827713,220000
132,200,202,72204.095443,220000
133,203,204,17311.1753817,220000
134,205,14,22995.2231506,220000
135,206,207,18545.8307969,220000
136,57,208,73769.3361659,220000
137,209,210,32932.5779837,220000
138,209,211,94063.284347,220000
139,148,131,12209.327904,220000
140,148,212,77710.8894223,220000
141,148,213,117279.039975,220000
142,148,214,127105.466707,220000
143,148,100,28966.8586104,220000
144,215,216,251.872970242,220000
145,217,218,9739.00387538,220000
146,69,136,73583.4625655,220000
147,219,220,19845.4623569,220000
148,220,103,22620.3700364,220000
149,221,222,33308.1262521,220000
150,223,224,55947.9186144,220000
151,225,226,53686.9595837,220000
152,225,227,20844.9644765,220000
153,225,228,14512.383537,220000
154,229,100,39917.0931961,220000
155,230,231,73632.6159465,220000
156,232,224,37639.3842939,220000
157,233,234,1087.51434126,220000
158,235,236,60059.9870524,220000
159,237,238,65246.724105,220000
160,239,240,67330.9147964,220000
161,239,241,150056.458598,220000
162,192,242,21326.9033552,220000
163,192,243,25217.01242,220000
164,244,167,13933.8408162,220000
165,244,245,98370.2428305,220000
166,246,247,3638.71278547,220000
167,103,102,37691.2068051,220000
168,248,249,29718.9376982,220000
169,248,250,78262.7212865,220000
170,251,252,39804.3632074,220000
171,253,254,78516.3221446,220000
172,255,211,28451.7209994,220000
173,256,231,881.774946078,220000
174,257,258,37665.4837937,220000
175,259,143,121458.668827,220000
176,259,260,31177.9647555,220000
177,261,262,103861.514581,220000
178,29,263,108811.188873,220000
179,29,264,103867.020846,220000
180,29,265,112617.093941,220000
181,29,266,41579.45408,220000
182,267,268,60540.4228657,220000
183,269,270,145279.895548,220000
184,271,272,26029.5634208,220000
185,273,274,52429.4755745,220000
186,275,276,48717.5998843,220000
187,277,278,42714.1507308,220000
188,279,207,19660.3518202,220000
189,280,281,21847.983847,220000
190,282,283,40352.9832575,220000
191,199,80,78347.694169,220000
192,146,43,32305.3050856,220000
193,284,285,42023.2585652,220000
194,286,43,30188.1874461,220000
195,287,288,67302.0484463,220000
196,287,289,60650.641131,220000
197,287,290,2342.27110933,220000
198,287,291,95396.7354819,220000
199,292,293,40930.5838602,220000
200,292,294,44578.1439256,220000
201,295,296,84045.3050387,220000
202,295,297,22622.7293366,220000
203,298,258,101317.360652,220000
204,299,300,80825.9009251,220000
205,301,6,14784.9020187,220000
206,301,302,29077.2208008,220000
207,303,304,56813.0889374,220000
208,6,136,85609.8437669,220000
209,75,305,29971.5943916,220000
210,75,306,26747.8809524,220000
211,75,266,81045.0433712,220000
212,75,28,178577.607605,220000
213,307,270,57563.6563326,220000
214,263,308,718.454758826,220000
215,309,310,55443.4505978,220000
216,311,312,14996.2797041,220000
217,313,314,126.109710102,220000
218,161,315,88974.6007042,220000
219,316,317,275.330128613,220000
220,318,319,40832.2344215,220000
221,262,294,27045.7177859,220000
222,262,320,6307.42487888,220000
223,262,321,75280.8675002,220000
224,322,323,35193.4847845,220000
225,177,173,33471.4229087,220000
226,324,325,39988.2205712,220000
227,326,26,13442.9246237,220000
228,327,328,12634.6187805,220000
229,329,150,141551.147753,220000
230,330,276,49964.7278541,220000
231,330,66,56069.8190111,220000
232,331,99,439.887228034,220000
233,332,333,6406.02294914,220000
234,334,335,61440.4681521,220000
235,334,336,166946.639164,220000
236,210,306,105410.868867,220000
237,210,128,104481.956253,220000
238,210,337,89421.2561594,220000
239,210,338,108078.628881,220000
240,210,339,62805.8785106,220000
241,340,211,54548.7852005,220000
242,340,341,85093.2572308,220000
243,342,343,90527.0292939,220000
244,344,345,35588.2318905,220000
245,346,347,22.8716609227,220000
246,97,348,10055.7171868,220000
247,349,350,37536.6635659,220000
248,124,351,47594.5782076,220000
249,352,353,84890.7714917,220000
250,354,355,44249.9038338,220000
251,304,356,39383.277417,220000
252,304,296,53251.8568055,220000
253,357,358,20396.4722708,220000
254,357,291,30704.3176248,220000
255,359,360,152352.413605,220000
256,359,288,95125.2504019,220000
257,361,18,37675.6983591,220000
258,362,363,106392.036764,220000
259,362,364,6657.48428806,220000
260,362,365,54834.9907178,220000
261,362,366,44012.2400354,220000
262,367,368,3167.9528286,220000
263,369,319,28414.766563,220000
264,370,371,13763.3998812,220000
265,93,372,102567.517329,220000
266,373,374,34965.0034042,220000
267,375,95,50534.9093161,220000
268,376,377,21181.0860546,220000
269,317,224,52543.9379804,220000
270,378,379,70551.3001092,220000
271,380,288,31093.9886614,220000
272,380,105,18519.6528783,220000
273,381,105,17141.2616513,220000
274,126,382,1052.13016336,220000
275,383,384,8273.59618173,220000
276,385,105,5480.65660118,220000
277,278,296,58535.5896251,220000
278,386,387,15618.4079798,220000
279,186,388,78832.0469864,220000
280,227,389,42884.2514821,220000
281,390,391,4966.84158625,220000
282,14,99,61392.27969,220000
283,392,393,17469.1348859,220000
284,392,394,30627.5937591,220000
285,395,151,144837.477517,220000
286,382,396,22296.8506964,220000
287,397,398,58679.4675528,220000
288,80,399,140318.439659,220000
289,347,45,120167.157394,220000
290,143,398,3053.16666212,220000
291,143,400,7833.36675412,220000
292,276,401,16073.8836935,220000
293,276,34,13972.7978997,220000
294,398,402,24358.2859208,220000
295,403,404,14348.1783544,220000
296,403,405,97991.0358365,220000
297,270,406,70630.6889108,220000
298,407,408,29107.7811061,220000
299,171,388,36383.9080072,220000
300,171,319,37755.8763178,220000
301,409,410,7989.90158998,220000
302,411,412,93358.9797556,220000
303,411,413,11276.6701228,220000
304,411,414,42214.0951516,220000
305,415,416,8698.51437805,220000
306,296,297,84213.3204444,220000
307,417,377,162673.588424,220000
308,418,419,77541.1802509,220000
309,420,421,96534.8797437,220000
310,422,423,18499.9933762,220000
311,424,425,97736.4784008,220000
312,426,427,382.53723692,220000
313,207,428,19683.5233872,220000
314,429,430,15555.6299609,220000
315,310,431,12131.92622,220000
316,10,197,12553.0898035,220000
317,432,433,9344.32429985,220000
318,252,315,36118.1052505,220000
319,368,434,89441.4048502,220000
320,368,428,82536.3261965,220000
321,435,436,37009.5979225,220000
322,435,437,42263.1215826,220000
323,438,439,24603.6601915,220000
324,440,441,41821.9852142,220000
325,226,182,68927.9707773,220000
326,442,254,56500.1082328,220000
327,442,443,42158.48907,220000
328,442,444,55687.3866161,220000
329,445,446,76538.2056604,220000
330,447,437,39859.7607849,220000
331,447,319,36859.2545117,220000
332,448,178,8447.26431687,220000
333,449,450,20673.6327288,220000
334,451,178,3514.92533959,220000
335,452,453,21061.0393947,220000
336,454,433,350.412179026,220000
337,455,456,9351.5501916,220000
338,457,61,36521.5470422,220000
339,458,459,22393.9539761,220000
340,460,461,10335.970943,220000
341,462,463,87563.8475101,220000
342,464,465,9295.38820229,220000
343,466,467,46134.7915659,220000
344,468,469,8466.65580402,220000
345,470,471,69263.4835209,220000
346,472,288,439.952938209,220000
347,473,374,64143.0553788,220000
348,474,475,34920.1716595,220000
349,337,476,8792.48833811,220000
350,67,405,33947.6427057,220000
351,477,478,687.918966379,220000
352,478,479,20180.5522041,220000
353,480,481,6805.2796939,220000
354,481,482,15807.5547384,220000
355,483,476,36100.8891794,220000
356,24,434,14625.0266283,220000
357,34,401,151.360444064,220000
358,34,102,40437.2080698,220000
359,484,485,42204.5598974,220000
360,486,487,33722.3025309,400000
361,488,489,55785.6119057,400000
362,488,490,46461.7590009,400000
363,488,491,143946.924735,400000
364,492,493,147964.644333,400000
365,492,494,107628.827839,400000
366,492,495,20479.7123464,400000
367,496,29,25604.7071974,400000
368,497,491,13201.9466783,400000
369,498,499,47231.8005815,400000
370,500,201,90307.5664419,400000
371,500,501,155690.711013,400000
372,500,502,89004.0891847,400000
373,500,503,9001.63657814,400000
374,252,504,72936.1011885,400000
375,368,207,112201.569085,400000
376,28,505,69092.328698,400000
377,28,75,106117.912367,400000
378,28,91,65363.7935459,400000
379,28,29,31658.5703805,400000
380,201,506,24544.1418183,400000
381,201,507,122657.150131,400000
382,201,508,89771.3559189,400000
383,201,509,19909.9864788,400000
384,510,505,81630.3370662,400000
385,511,512,165106.91731,400000
386,513,322,96876.8979747,400000
387,514,515,48961.0692962,400000
388,516,493,25496.8573918,400000
389,238,517,105125.257801,400000
390,238,518,100337.835298,400000
391,238,357,153515.055144,400000
392,238,519,198193.535306,400000
393,238,121,97585.3292004,400000
394,520,521,93282.572162,400000
395,522,75,93983.8363749,400000
396,522,158,68097.7510947,400000
397,523,29,95052.1241076,400000
398,276,275,48168.2251784,400000
399,276,56,102078.115558,400000
400,276,256,166209.473427,400000
401,52,524,45852.3956301,400000
402,525,526,86991.2416381,400000
403,525,527,86025.418517,400000
404,525,528,76105.0991211,400000
405,242,529,124812.029357,400000
406,242,374,24876.3630229,400000
407,242,207,132151.9523,400000
408,530,531,23794.6530023,400000
409,364,532,14996.7472119,400000
410,364,365,58943.3414281,400000
411,533,417,15260.7215515,400000
412,226,534,112824.712513,400000
413,226,535,147673.946016,400000
414,226,536,44697.4460613,400000
415,537,324,147668.458743,400000
416,526,98,34195.3763885,400000
417,526,538,43661.401676,400000
418,526,177,36487.9464524,400000
419,526,539,56392.3020655,400000
420,526,540,111937.84595,400000
421,526,275,102428.954091,400000
422,541,542,104136.028272,400000
423,543,544,52473.4375474,400000
424,322,262,34674.2016487,400000
425,322,545,99021.2538133,400000
426,322,546,69325.6922078,400000
427,322,547,96199.6707819,400000
428,532,312,52090.0087811,400000
429,262,261,95649.3528055,400000
430,548,549,4600.72640302,400000
431,48,504,77583.1650168,400000
432,550,551,66861.7500641,400000
