n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
251093000,75.3059866116,15.9474259276,substation,0,,Ramadurga,,
251093019,75.5454042182,16.0088577994,substation,0,,,,
251093007,75.1092271967,15.7564185001,substation,0,,Saundatti,,
409304637,75.1145602235,15.7519237543,substation,0,,,,
409304552,75.1270299445,15.8472450418,substation,0,,,,
330065946,77.3474964731,16.3097484733,substation,0,,,,
433546020,77.3552160001,16.2951094402,plant,0,,Yermarus Thermal Power Station,Karnataka Power Corporation,
250771489,75.7798403788,16.8119526251,substation,0,,Bijapur,,
250565830,75.7157366137,16.8130820048,substation,0,,,,
386095142,78.1200823714,12.0782126297,substation,0,,Adhiyamankottai,,
386095150,78.2113575707,12.3041480193,substation,0,,Karimangalam,,
386095154,77.9074117823,12.1320155591,substation,0,,Pennagaram,,
386718644,78.5973351069,12.2268214683,substation,0,,Singarapettai,,
250771503,75.1314121391,16.4772609377,substation,0,,Rabkavi,,
250821982,75.1050274775,16.4054504011,substation,0,,Mahalingapura,,
30787653,80.1309510912,12.9466536091,substation,0,,,,
247545826,79.9963630557,12.745360236,substation,0,,,,
287961173,74.2991791429,16.6781878331,substation,0,,Kolhapur,,
287644885,74.2756718937,16.6369440777,substation,0,,,,
250771556,75.6305106702,16.3474797685,substation,0,,,,
250771570,75.628518087,16.3415380265,substation,0,,,,
340340842,78.0109125248,11.5773704277,substation,0,,,,
340337201,77.8273357463,11.4447670325,substation,0,,,,
340337117,78.0050843606,11.6701378918,substation,0,,,,
340337083,77.85921466,11.5845409306,substation,0,,,,
337856871,77.6178177214,11.3163196507,substation,0,,,,
337239140,77.1257019301,11.0936686736,substation,0,,,,
256707944,76.1613570103,13.4076673149,substation,0,,Banavara,,
256707945,76.0550449798,13.2985465319,substation,0,,Javagal,,
251093108,75.5817098012,15.2280832399,substation,0,,,,
409304618,75.4600973295,15.1268256097,substation,0,,,,
250517624,77.3401883042,16.2099692258,substation,0,,,,
251260527,76.7699675274,15.7849793554,substation,0,,Sindhanur,,
256707946,75.9940696357,13.5783301341,substation,0,,Kadur,,
256707974,76.0305437767,13.5291144965,substation,0,,,,
309653642,78.9601087955,9.33643191975,substation,0,,,,
310430101,78.9255998735,9.35182849823,substation,0,,Valathur,,
342137005,79.6127348727,11.9926489541,substation,0,,,,
341813945,79.7643730969,11.9194393461,substation,0,,,,
342163764,79.7539572699,12.0004829284,substation,0,,,,
342137006,78.949803704,12.1622877022,substation,0,,,,
342136946,78.928374522,12.2665048426,substation,0,,,,
342137007,79.8132306301,12.4120669018,substation,0,,,,
441614553,78.9973529046,10.3793090666,substation,0,,,,
310578517,78.9576549056,10.5192790259,substation,0,,,,
441614558,78.7796464287,10.7470962471,substation,0,,,,
323713959,78.7486485873,10.6274648762,substation,0,,,,
337856763,77.7721351635,11.4533445924,substation,0,,,,
337856764,77.5778535174,11.2437192703,substation,0,,,,
337856853,77.5505237489,11.2209094725,substation,0,,,,
337856783,77.5897826117,11.3388284207,substation,0,,,,
