n_id,longitude,latitude,type,voltage,frequency,name,operator
268532907,109.964134896,-7.75094459047,substation,None,,,
268532908,109.779409917,-7.61130636184,substation,None,,,
399277121,110.090956242,-7.89326387101,substation,None,,,
261381125,110.338569222,-7.03180618335,substation,None,,,
264719089,110.364614615,-6.98662019916,substation,None,,,
166633831,110.409199275,-7.15751927148,substation,None,,,
264072199,106.322181261,-6.16859859036,substation,None,,,
399057172,106.329919218,-6.17913469376,substation,None,,,
186634762,115.211042321,-8.71841870578,substation,None,,,
340152021,115.189067209,-8.69018379315,substation,None,,,
265318414,112.036645074,-7.84000856844,substation,None,,,
265318415,112.03258733,-7.83658854301,station,None,,,
246972431,98.6293934028,2.53278792578,sub_station,None,,,
234372891,98.3388948318,2.73549638492,substation,None,,,
269492241,107.969339103,-6.27619421007,substation,None,,,
269492237,107.972047758,-6.27532453606,plant,None,,Indramayu,PLTU
160831508,106.848135966,-6.63413009384,sub_station,None,source,,voltage
160831511,106.837056038,-6.5912855983,sub_station,None,source,,voltage
399067566,108.344609816,-6.4785617814,substation,None,,,
399067557,107.94480577,-6.43985158255,substation,None,,,
167008794,106.078486981,-5.8967873853,substation,None,,,
199476036,106.032081866,-5.89698410372,substation,None,,,
311479837,112.660609547,-7.16630867769,substation,None,,GITET Gresik,
311980589,112.636995896,-7.19518151625,substation,None,,Gardu Induk Alta Prima,
166644946,112.708259951,-7.34752875082,substation,None,,Gardu Induk Surabaya Barat,
277204741,98.6895270895,3.53989684492,substation,None,,,PLN
276990481,98.5935600481,3.59018580441,substation,None,,,
228490272,110.880601633,-7.56063827602,substation,None,,Gardu Induk PLN Palur,
265030543,110.786530442,-7.55376126417,substation,None,,,
268865917,110.929832486,-7.46153389642,substation,None,,,
104412357,110.80436547,-7.61346622751,substation,None,,,
311479841,112.783019714,-7.15617483909,substation,None,,Gardu Sekar Bungu,
311666431,112.719224855,-7.14809037844,substation,None,,Gardu Induk Gili Timur,
311666430,112.793329201,-7.05708646938,substation,None,,Gardu Induk Bangkalan,
398909637,112.567280154,-7.34813018191,substation,None,,,
311485046,112.577723079,-7.18205575474,substation,None,,Gardu Induk Cerme,
264855643,107.739430351,-7.21737156388,substation,None,,,
265002737,107.912489533,-7.26817886627,substation,None,,,
264855645,107.784048368,-7.13838827725,substation,None,,,
271376029,107.727437569,-7.21775278824,plant,None,,,
248953893,120.272832829,-4.51665360785,substation,None,,,
248953894,120.238934643,-5.094554254,substation,None,,,PLN
267663602,108.786655634,-7.31146331456,substation,None,,,
279284589,109.162142362,-7.53932207909,substation,None,,,
195105324,110.741229944,-6.45044408035,substation,None,,,
398925619,110.820111106,-6.83793267343,substation,None,,,
195211467,110.713779313,-6.63856512065,substation,None,,,
268846126,111.548179199,-7.64063286401,substation,None,,,
268846115,112.022990616,-7.75445972286,substation,None,,,
268831411,111.456579957,-7.40738727201,substation,None,,,
399724591,119.649363852,-3.47460209235,substation,None,,,
257613250,119.65159964,-3.47980511689,plant,None,,,
399724593,119.319876804,-3.40238855012,substation,None,,,
162030133,106.001210803,-6.40464158151,substation,None,operator,,
162030143,105.830006023,-6.39162154083,substation,None,,,
162002076,105.827875756,-6.35334453863,substation,None,,,frequency
263932883,106.271129035,-6.36549454003,substation,None,,,
311479840,112.644162928,-7.1910398315,substation,None,,Gardu Induk Segoromadu,
311479839,112.63501804,-7.15210690785,substation,None,,Gardu Induk Petrokimia,
398909625,112.413305987,-7.14207883174,substation,None,,,
161951304,106.522901664,-6.20430183417,sub_station,None,,,frequency
399038176,106.680095821,-6.21152177761,substation,None,,,
399038175,106.609142432,-6.24266220917,substation,None,,,
161948635,106.529769979,-6.18311700971,sub_station,None,,,frequency
264713291,106.916185702,-6.44057239194,substation,None,,,
264713279,106.914371816,-6.44005934385,substation,None,,,
269129296,107.782394142,-6.95042113314,substation,None,,,
399067568,107.805377097,-7.00984925174,substation,None,,,
265923575,108.540331642,-6.73702427772,substation,None,,,
261185002,108.484717689,-6.81900371348,substation,None,,,
269468436,107.73041621,-6.93565109941,substation,None,,Gardu Induk PT. PLN,
166632018,110.434223561,-7.22044149187,substation,None,,,
104440761,110.482153187,-7.24523974641,substation,None,,,
270800486,110.228492265,-7.47432216994,substation,None,,,
265568004,110.537676884,-6.92831102767,substation,None,,,
104538467,110.43191125,-6.95133463771,substation,None,,,
269475415,107.377898499,-6.37339213067,substation,None,,,
399067565,107.66276322,-6.33488802524,substation,None,,,
269490141,107.325393287,-6.36153792343,substation,None,,,
269490147,107.322357361,-6.37477317486,substation,None,,,
269129304,107.614648184,-6.98237992419,substation,None,,,
264410228,107.571987233,-7.0573937215,substation,None,,,
104339545,110.709873236,-7.67696630954,substation,None,,,
265903214,110.710492679,-7.54166505503,substation,None,,,
104412331,110.764732817,-7.6230485916,substation,None,,,
265903215,110.619539618,-7.71248714541,substation,None,,,
265588689,110.506149466,-7.31229299565,substation,None,,,
121677176,110.39351358,-7.73852206335,substation,None,,Gardu PLN 150KV Banteng,
399022980,106.944554797,-6.20206341521,substation,None,,,
271376043,106.983721088,-6.2027624837,substation,None,,,
268831422,112.343613869,-7.59049447191,substation,None,,,
237756221,107.626103841,-7.19790446845,plant,None,,PT. Star Energy Geothermal,
161980511,105.939811298,-6.03277954598,substation,None,,,frequency
161980518,105.950545362,-6.02415557156,substation,None,,,frequency
265903200,110.618545088,-7.53804782966,substation,None,,,
277204263,98.6667036567,3.714564477,substation,None,,,
340205049,98.5067764368,3.64602110374,substation,None,,,
268532906,110.363266942,-7.83940258329,substation,None,,,
269129291,107.614012694,-6.95239360865,substation,None,,,
339802233,115.059875918,-8.13621420979,substation,None,,,
192989828,114.441589085,-8.17489468823,substation,None,,,
339792684,115.182358826,-8.58265522003,substation,None,,,
339796954,114.433484776,-8.16553957726,substation,None,,,
340935922,113.313543794,-7.79708167076,substation,None,,,
340963798,113.426847393,-7.77964812396,substation,None,,,
311940754,112.713482382,-7.25469453139,substation,None,,Gardu Induk Krembangan,
311942142,112.685125922,-7.25591703061,substation,None,,Gardu Induk Tandes,
265568001,112.603447086,-7.3447008189,substation,None,,GITET Krian,
267968147,109.257240434,-7.43393736732,substation,None,,,
269160480,109.08896304,-7.09151900889,substation,None,,,
161948309,106.57141118,-6.11419462104,sub_station,None,,,frequency
161948315,106.636251271,-6.06408916536,sub_station,None,,,frequency
116023446,119.47382371,-5.46230579956,station,None,,,
229039262,119.783570043,-5.66607287639,substation,None,,,
116023450,119.462294648,-5.23101416729,substation,None,,,
109924603,119.472043847,-5.14742771145,plant,None,,PLTU Tello,
399505626,119.395615793,-5.19008399468,substation,None,,,
399505633,119.595630346,-4.93079019037,substation,None,,,
399038178,106.464460911,-6.05935209781,plant,None,,,
399038179,106.606188791,-6.15623495187,substation,None,,,
311432987,112.771368948,-7.25492522134,substation,None,,Gardu Induk Kenjeran,
311432989,112.770094388,-7.29123563008,substation,None,,Gardu Induk Sukolilo,
311432990,112.744200969,-7.21005907446,substation,None,,Gardu Induk Ujung,
311957671,112.895681104,-7.68752796417,substation,None,,Gardu Induk Gondang Wetan,
340978681,113.024509404,-7.65390326027,substation,None,,,
340947951,113.212693703,-7.76442518118,substation,None,,,
399057180,106.031030111,-5.99540068714,substation,None,,,
161965853,106.018324345,-5.98844636078,substation,None,,,
199476032,106.030661077,-5.89695114484,substation,None,,,
161969969,105.998917587,-5.98190419637,substation,None,,,frequency
265030533,110.948483579,-7.80414455983,substation,None,,,
182845612,107.592275838,-6.85782218958,substation,None,,,
272989134,107.48876167,-6.83955707761,substation,None,,,
311432988,112.74652521,-7.34132814396,substation,None,,Gardu Induk Rungkut,
189064370,114.018766653,-7.71718448295,substation,None,,Gardu Induk Situbondo (PLN),
398892599,113.833682511,-7.93786584352,substation,None,,,
186337693,114.355633755,-8.18922819024,substation,None,,Gardu Induk Banyuwangi,
339796951,114.399883404,-8.15307661426,substation,None,,,
299352934,113.58142109,-7.718431934,substation,None,,,
268865913,111.014276708,-7.41357560623,substation,None,,,
399714486,119.632800989,-4.29319878889,substation,None,,,
257725651,119.636724112,-4.02243020686,sub_station,None,,,
244815736,119.58927323,-4.80192855475,substation,None,,,
157804728,113.698042787,-8.19279949063,substation,None,,,PLN
198149824,113.21248655,-8.12861395584,substation,500000,,Gardu Listrik,
249207412,98.8939573082,3.60434264563,substation,None,,,
277204262,98.7882896472,3.60048895432,substation,None,,,
261184996,109.128314237,-6.91311872449,substation,None,,,
398909635,112.617103435,-8.02140241519,substation,None,,,
