l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,133669891,96361044,230000,6,line,,,,142.0,,,,
2,306541572,306533633,230000,6,line,50,,,295.0,,,,
3,310927374,307032247,230000,3-6,line,50,,,945.0,,,,
4,310927374,361553620,230000,3-6,line,50,,,2868.0,,,,
5,310927374,306533646,230000,3,line,50,,,9614.0,,,,
6,307444755,307235281,230000,3-6,line,50,,,67646.0,,,,
7,307444755,288350704,230000,3-6,line,50,,,35898.0,,,,
8,313838612,248619458,230000,6,line,50,,,53059.0,,,,
9,313838612,313771299,230000,6,line,50,,,50135.0,,,,
10,162010134,308719228,230000,6,line,50,,,16698.0,,,,
11,162010134,159995333,230000,3,line,50,,,70573.0,,,,
12,162010134,162111033,230000,3,line,50,,,153292.0,,,,
13,162010134,309847646,230000,3-6,line,50,,,145239.0,,,,
14,162010134,308719227,230000,3-6,line,50,,,66314.0,,,,
15,241755168,241714132,230000-132000,3-12-6,line,50,,,31000.0,,,,
16,241755168,96360980,230000-132000,12-6,line,50,,,52024.0,,,,
17,241755168,175636789,230000,3,line,50,,,98375.0,,,,
18,162111033,309847646,230000,3-6,line,50,,,8531.0,,,,
19,162111033,309898459,230000,3-6,line,50,,,27038.0,,,,
20,134083136,256848093,230000,3-6,line,50,,,133568.0,,,,
21,134083136,134067904,230000,3-6,line,,,,66434.0,,,,
22,134083136,118483832,230000,3-6,line,,,,36503.0,,,,
23,314505399,314504945,230000,3-6,line,50,,,73277.0,,,,
24,314505399,319905551,230000,3,line,50,,,207737.0,,,,
25,96361044,96360980,230000,6,line,,,,217.0,,,,
26,96361044,374745307,230000,6,line,50,,,72698.0,,,,
27,96361044,314356011,230000,3-6,line,50,,,13432.0,,,,
28,307951711,307951715,230000,3-6,line,50,,,8516.0,,,,
29,307951713,307951715,230000,3-6,line,50,,,5543.0,,,,
30,306504295,134238936,230000,3,line,50,,,29617.0,,,,
31,188410473,413007691,230000,6,line,50,,,238508.0,,,,
32,188410473,307088273,230000,6,line,,,,98997.0,,,,
33,188410473,255254399,230000,3-6,line,50,,,90120.0,,,,
34,188410473,256042158,230000,3-6,line,50,,,136168.0,,,,
35,188410473,314275691,230000,3-6,line,,,,175189.0,,,,
36,251833450,306375591,230000,3-6,line,50,,,19188.0,,,,
37,251833450,309665453,230000,3,line,50,,,121944.0,,,,
38,251833450,316942628,230000,3-6,line,50,,,18156.0,,,,
39,306504304,134238936,230000,3-6,line,50,,,68790.0,,,,
40,306504304,306504297,230000,3-6,line,50,,,37762.0,,,,
41,321312883,321312873,230000,3,line,50,,,25880.0,,,,
42,321312883,407282961,230000,6,line,50,,,39635.0,,,,
43,321312883,308803909,230000,3-12-6,line,50,,,27517.0,,,,
44,306504297,134238936,230000,3,line,50,,,32169.0,,,,
45,317133955,306375591,230000,3-6,line,50,,,102423.0,,,,
46,317133955,313771299,230000,6,line,50,,,78677.0,,,,
47,313319561,313572506,230000,3,line,50,,,13293.0,,,,
48,134148242,118483832,230000,6,line,,,,66228.0,,,,
49,313572499,313572498,230000,3-6,line,50,,,10919.0,,,,
50,313572499,313603046,230000,3-6,line,50,,,36527.0,,,,
51,313572501,313603046,230000,3-6,line,50,,,29797.0,,,,
52,313319583,313287380,230000,6,line,50,,,65939.0,,,,
53,313319583,313287373,230000,6,line,50,,,96039.0,,,,
54,313319583,251248412,230000,6,line,50,,,14022.0,,,,
55,313319583,313572506,230000,3-6,line,50,,,175442.0,,,,
56,313319583,307968464,230000,3-6,line,50,,,109289.0,,,,
57,313319583,211765958,230000,3-6,line,50,,,118398.0,,,,
58,313319583,177162657,230000,3-6,line,50,,,127508.0,,,,
59,313319583,180696319,230000,3-6,line,50,,,103791.0,,,,
60,313319594,307968464,230000-63000,9-3,line,50,,,67914.0,,,,
61,313319594,313572506,230000,3,line,50,,,249.0,,,,
62,309665453,134238936,230000,3,line,50,,,61003.0,,,,
63,256042158,308106876,230000,6,line,50,,,53769.0,,,,
64,256042158,256848093,230000,3-6,line,50,,,59702.0,,,,
65,309498653,309479193,230000,3-6,line,50,,,23998.0,,,,
66,309498653,159995333,230000,6,line,50,,,65790.0,,,,
67,134067896,123937498,230000,6,line,,,,71349.0,,,,
68,314103994,314356011,230000,3,line,50,,,80767.0,,,,
69,134067904,118483832,230000,6,line,,,,15791.0,,,,
70,313287373,313508342,230000,3-6,line,50,,,89773.0,,,,
71,134223061,134223063,230000,6,line,,,,46527.0,,,,
72,134223063,134223075,230000,,line,,,,1193.0,,,,
73,134238936,437158139,230000,3,line,50,,,24277.0,,,,
74,134238936,134283226,230000,3-6,line,50,,,24875.0,,,,
75,316942628,306375591,230000,6,line,50,,,27475.0,,,,
76,314504945,100497131,230000,3-6,line,50,,,3883.0,,,,
77,314504945,314504947,230000,3-6,line,50,,,43108.0,,,,
78,314504945,314504946,230000,3-6,line,50,,,33751.0,,,,
79,361553620,306533633,230000,6,line,50,,,35727.0,,,,
80,306533633,306533646,230000,3-6,line,50,,,85191.0,,,,
81,306533633,306563438,230000,3-6,line,50,,,85603.0,,,,
82,306533633,306563439,230000,3-6,line,50,,,47468.0,,,,
83,306533633,304821521,230000,6,line,50,,,363.0,,,,
84,306533633,306563440,230000,6,line,50,,,30234.0,,,,
85,309479173,305780945,230000,3,line,50,,,61.0,,,,
86,100497163,100497131,230000,3,line,50,,,54.0,,,,
87,100497163,175636789,230000,3,line,50,,,104621.0,,,,
88,315693325,315833490,230000,3,line,50,,,17873.0,,,,
89,308029728,306820992,230000,3-6,line,50,,,26188.0,,,,
90,313771300,313771299,230000,3,line,50,,,60.0,,,,
91,314356011,313447763,230000-132000,3-12-6,line,50,,,33813.0,,,,
92,314356011,314356012,230000-132000,3-12-6,line,50,,,16802.0,,,,
93,412600192,308327360,230000,3-6,line,50,,,31154.0,,,,
94,413007691,307091873,230000,6,line,50,,,55035.0,,,,
95,124433749,159995333,230000,3,line,50,,,42369.0,,,,
96,134234970,306820992,230000,6,line,50,,,22925.0,,,,
97,134234970,134234971,230000,3,line,50,,,34.0,,,,
98,134234970,134283226,230000,6,line,50,,,13631.0,,,,
99,235714395,235548026,230000,3-6,line,50,,,9619.0,,,,
100,315202410,307235281,230000,3,line,50,,,123783.0,,,,
101,256858502,314275691,230000,6,line,50,,,105056.0,,,,
102,303868827,313508342,230000,3-6,line,50,,,17203.0,,,,
103,248619458,250724514,230000,6,line,50,,,10392.0,,,,
104,250807235,226402074,230000,6,line,50,,,38448.0,,,,
105,159995333,305780945,230000,3-6,line,50,,,1268.0,,,,
106,318062543,133668657,230000,3-6,line,50,,,50890.0,,,,
107,318062543,318062536,230000,3-6,line,50,,,35743.0,,,,
108,307235281,137127901,230000,3,line,50,,,82931.0,,,,
109,307235281,307200467,230000,3,line,50,,,47108.0,,,,
110,307200467,307200482,230000,6,line,50,,,17224.0,,,,
111,307200467,250724514,230000,6,line,50,,,139057.0,,,,
112,308811225,226402074,230000,3,line,50,,,773.0,,,,
113,188274139,314275691,230000,3,line,,,,57.0,,,,
114,307200476,137127901,230000,6,line,50,,,3254.0,,,,
115,410679800,410679799,230000,3,line,50,,,47.0,,,,
116,314288637,374745307,230000,3,line,50,,,64.0,,,,
117,307301888,118483832,400000,3-6,line,50,,,190616.0,,,,
118,307301888,304624695,400000,3,line,50,,,83494.0,,,,
119,307521025,307521032,400000,3,line,50,,,8914.0,,,,
120,133669891,313508342,400000,3,line,50,,,287813.0,,,,
121,307521032,124032160,400000,3,line,,,,137891.0,,,,
122,307521032,310371795,400000,3,line,50,,,86980.0,,,,
123,307521032,308232593,400000,3,line,50,,,231192.0,,,,
124,307521032,310802505,400000,3,line,50,,,73230.0,,,,
125,307521032,306695817,400000,3,line,,,,99505.0,,,,
126,307521032,310703920,400000,3,line,50,,,54759.0,,,,
127,377343491,137127901,400000,3,line,50,,,210.0,,,,
128,306243608,145109465,400000,3-6,line,50,,,45003.0,,,,
129,306243608,145109470,400000,3,line,50,,,46083.0,,,,
130,307388442,306695806,400000,3,line,50,,,81272.0,,,,
131,304624695,306837559,400000,3,line,50,,,166396.0,,,,
132,304624695,261054339,400000,3-6,line,50,,,83880.0,,,,
133,307951712,156622470,400000,3-6,line,50,,,61590.0,,,,
134,95111246,309551291,400000,3-6,line,50,خط انتقال نیروی توس-نیشابور,,68807.0,,,,
135,95111246,307860119,400000,3-6,line,50,-خط انتقال نیروی توس-نیشابور,,84728.0,,,,
136,95111246,95111247,400000,3,line,,,,575.0,,,,
137,95111246,100687562,400000,3,line,50,,,113933.0,,,,
138,95111247,95201365,400000,3,line,,,,1176.0,,,,
139,306688080,306533651,400000,3-6,line,50,,,186468.0,,,,
140,306688080,124032160,400000,6,line,,,,79801.0,,,,
141,278774866,311485611,400000,3-6,line,50,,,175589.0,,,,
142,278774866,310371795,400000,3-6,line,50,,,214950.0,,,,
143,278774866,413072262,400000,3-6,line,50,,,112349.0,,,,
144,278774866,278774872,400000,6,line,50,,,8647.0,,,,
145,278774866,278774856,400000,6,line,50,,,11746.0,,,,
146,308494420,310787841,400000,3-6,line,50,,,60986.0,,,,
147,308494420,310787849,400000,3,line,50,,,66562.0,,,,
148,307965013,204160161,400000,6,line,50,,,23441.0,,,,
149,307965013,313508342,400000,3-6,line,50,,,138972.0,,,,
150,307965013,313771299,400000,3-6,line,50,,,316711.0,,,,
151,307965013,307200476,400000,3-6,line,50,,,465024.0,,,,
152,307965013,313572498,400000,3-6,line,50,,,87701.0,,,,
153,307965013,410679799,400000,3-6,line,50,,,170408.0,,,,
154,307965013,307968466,400000,3-6,line,50,,,48033.0,,,,
155,307965013,307968458,400000,3,line,50,,,993.0,,,,
156,307965013,156763421,400000,3-6,line,50,,,81572.0,,,,
157,307965013,145109470,400000,6,line,,,,108688.0,,,,
158,309847646,309847648,400000,3,line,50,,,3646.0,,,,
159,309847646,156622467,400000,3,line,50,,,81426.0,,,,
160,307951711,156622470,400000,6,line,50,,,50279.0,,,,
161,307951711,156763421,400000,6,line,,,,70811.0,,,,
162,309847648,308719228,400000,3,line,50,,,80681.0,,,,
163,309847648,156622467,400000,3-6,line,50,,,166069.0,,,,
164,306504300,134223063,400000,3,line,50,,,138450.0,,,,
165,306504304,124032160,400000,3-6,line,50,,,177120.0,,,,
166,306504304,134234977,400000,3,line,50,,,253521.0,,,,
167,321312883,308811225,400000,3,line,50,,,90146.0,,,,
168,271557243,278774872,400000,3,line,50,,,106981.0,,,,
169,271557243,131629768,400000,3,line,,,,87044.0,,,,
170,271557243,123937498,400000,3,line,50,,,148501.0,,,,
171,271557243,271503095,400000,3-6,line,50,,,78938.0,,,,
172,308719228,159995333,400000,3,line,50,,,107613.0,,,,
173,308719228,221648071,400000,3,line,50,,,88848.0,,,,
174,308719228,309479186,400000,3-6,line,50,,,8833.0,,,,
175,306695806,306695817,400000,3,line,50,,,25618.0,,,,
176,306695806,310787849,400000,3-6,line,50,,,47132.0,,,,
177,306695806,310703920,400000,3,line,50,,,132344.0,,,,
178,306695806,306695823,400000,3-6,line,50,,,20778.0,,,,
179,317133952,306533646,400000,3-6,line,50,,,77213.0,,,,
180,317133952,145109470,400000,3-6,line,50,,,63083.0,,,,
181,156622467,308327360,400000,6,line,50,,,27493.0,,,,
182,156622467,306375600,400000,3-6,line,50,,,85135.0,,,,
183,156622467,306820953,400000,3,line,50,,,269338.0,,,,
184,156622467,306533646,400000,3-6,line,50,,,235864.0,,,,
185,156622467,306533651,400000,3-6,line,50,,,148154.0,,,,
186,156622467,156622470,400000,6,line,50,,,630.0,,,,
187,156622467,308811225,400000,3,line,50,,,170457.0,,,,
188,156622467,145109470,400000,3,line,50,,,17000.0,,,,
189,313572501,307965020,400000,3-6,line,50,,,87701.0,,,,
190,307860119,261079805,400000,3,line,50,,,73288.0,,,,
191,124032153,124032160,400000,6,line,,,,2057.0,,,,
192,124032160,307521031,400000,6,line,,,,47090.0,,,,
193,204160161,157046302,400000,3-6,line,50,,,97346.0,,,,
194,204160161,156763421,400000,3-6,line,50,,,82599.0,,,,
195,311485611,256054006,400000,3,line,50,,,88986.0,,,,
196,221648071,128389580,400000,3,line,50,,,162462.0,,,,
197,221648071,261070799,400000,3-6,line,50,,,81142.0,,,,
198,221648071,261079805,400000,3-6,line,50,,,134893.0,,,,
199,221648071,309551291,400000,3-6,line,50,,,121125.0,,,,
200,131629768,308232593,400000,3,line,50,,,127361.0,,,,
201,100687562,128389580,400000,3,line,50,,,84738.0,,,,
202,100687562,261054339,400000,3-6,line,50,,,74324.0,,,,
203,219810517,95201365,400000,3-6,line,50,,,30768.0,,,,
204,134223063,306820953,400000,3,line,,,,217154.0,,,,
205,134223063,256861680,400000,,line,,,,34670.0,,,,
206,134238936,134234977,400000,3,line,50,,,24419.0,,,,
207,309898457,156622470,400000,6,line,50,,,105.0,,,,
208,123937498,235548026,400000,3,line,50,,,107585.0,,,,
209,123937498,118483832,400000,3,line,,,,92944.0,,,,
210,312697058,308232593,400000,3,line,50,,,25673.0,,,,
211,256054006,235548026,400000,3-6,line,50,,,28813.0,,,,
212,310787835,308494413,400000,3-6,line,50,,,60986.0,,,,
213,310787835,413085664,400000,,line,50,,,9066.0,,,,
214,310787835,310787849,400000,3-6,line,50,,,7410.0,,,,
215,261079805,159995333,400000,3,line,50,,,92725.0,,,,
216,306533646,306563440,400000,3-6,line,50,,,52867.0,,,,
217,306533646,145109470,400000,3,line,50,,,29059.0,,,,
218,306533651,134234977,400000,3,line,,,,142551.0,,,,
219,310703920,310703921,400000,3-6,line,50,,,26059.0,,,,
220,134234970,134234977,400000,3,line,,,,72015.0,,,,
221,134234977,306956710,400000,3,line,,,,45249.0,,,,
222,308232593,310371795,400000,3,line,50,,,34022.0,,,,
223,235548026,307093979,400000,3-6,line,50,,,24488.0,,,,
224,261054341,261054339,400000,6,line,50,,,68.0,,,,
225,261053852,261054339,400000,3-6,line,50,,,806.0,,,,
226,261074394,261074395,400000,3,line,50,,,12409.0,,,,
227,307200476,137127901,400000,3-6,line,50,,,2427.0,,,,
