n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
307897345,59.3900717387,35.9928055879,substation,0,,نیروگاه بادی بینالود,,
309551285,58.7778097382,36.1816955713,substation,0,,,,
195040036,59.3491761076,35.9809768336,substation,0,,,,
59167648,59.7313678272,36.2383917797,generator,0,,نیروگاه شریعتی,,
209048072,45.1544437473,39.1981605456,substation,0,,,,
179128374,45.3998075179,39.089402491,generator,0,,,,
203523865,44.7699219295,39.2811213035,substation,0,,,,
322950674,55.9159237778,28.3005963199,substation,0,,,,
322950677,56.3657816224,28.4639491117,substation,0,,,,
322950675,56.2757882953,28.0180753088,substation,0,,,,
322950676,57.140899358,28.7085792279,substation,0,,,,
152206966,57.7046138778,28.6324098048,substation,0,,,,
119181768,56.66673708,29.227552949,station,0,,,,
68566558,59.710762187,36.3283184208,substation,0,,,,
307506719,59.2289569689,35.3524697186,substation,0,,,,
203859914,59.5400120968,35.2957180104,substation,0,,,,
241755168,46.3677300974,38.0759442231,substation,0,,,,
319962760,46.2016348971,38.0814457609,substation,0,,,,
241714132,46.1736868397,38.1674069038,substation,0,,,,
307506721,59.2278726567,34.7096930228,substation,0,,,,
261064164,58.7841737632,35.0348837916,substation,0,,,,
143330060,58.7401477775,34.3506308284,substation,0,,,,
307506722,60.7934809075,34.7539342611,substation,0,,,,
122077143,60.396985981,34.4513373876,substation,0,,,,
307506720,60.16022924,34.588120492,substation,0,,,,
307506723,59.6388824576,34.9645551507,substation,0,,,,
128389580,59.1151877957,35.1902153087,substation,0,,,,
242120231,46.0260555316,38.2518871917,substation,0,,,,
314801532,45.7779171266,38.4154918478,substation,0,,,,
133914154,56.0230285714,30.4276419106,substation,0,,,,
134067904,56.9240368184,30.2030517439,substation,0,,,,
134083117,57.0082179694,30.101445607,substation,0,,,,
134163751,57.0443907975,30.276122049,substation,0,,,,
88848944,59.4575856306,36.3526621898,substation,0,,,,
95111247,59.4083893178,36.4453170745,substation,0,,,,
219810511,59.5071866705,36.3431271304,substation,0,,,,
56183617,59.5595063473,36.2739133755,substation,0,,,,
304624695,56.9538756811,33.5498645548,substation,0,,,,
244404565,57.4324654476,33.8472987849,substation,0,,,,
306903103,56.9664760228,33.6118853115,substation,0,,,,
306837559,59.4004076814,32.7790170392,substation,0,,,,
306879941,59.7910556921,32.5934143791,substation,0,,,,
306834544,59.199489601,32.8742988845,substation,0,,,,
306903100,58.1829891062,33.9806336015,substation,0,,,,
306875615,58.4827664207,33.857842391,substation,0,,,,
134083140,56.7649406451,29.9060331523,substation,0,,,,
318062543,45.1260205185,37.5102231414,substation,0,,,,
295838613,44.8759522124,37.4000287041,substation,0,,,,
315693324,46.1348233433,36.9805211786,substation,0,,,,
315693325,46.0607384291,36.9618455566,substation,0,,,,
318028909,45.7077936621,36.9211731012,substation,0,,,,
306879053,58.9062387936,32.7933238014,substation,0,,,,
97290074,59.3037820599,36.5202848266,substation,0,,,,
58529504,59.6295139263,36.3493718606,substation,0,,,,
95111223,59.3981067466,36.4335807715,substation,0,,,,
327567958,44.4223321283,39.4074049784,substation,0,,,,
225036379,60.0276500536,32.9068276489,substation,0,,,,
294414803,60.2325746219,32.9229182706,plant,0,,,,
413513904,45.707400883,36.8970602139,substation,0,,,,
306875611,59.1909568124,33.6951821061,substation,0,,,,
308106876,57.560244297,27.5308441442,substation,0,,,,
308150655,57.9591916187,27.7859223205,substation,0,,,,
255254399,58.0981849976,27.9278009094,substation,0,,,,
319962757,46.1872267455,38.0554023481,substation,0,,,,
413667977,46.0308494934,37.4162951341,substation,0,,,,
374745307,46.0123858408,37.4244482681,generator,0,,نیروگاه حرارتی سهند بناب,,
315833489,46.2742692396,36.2634385356,substation,0,,,,
317989607,46.2183763448,36.5648933937,substation,0,,,,
134148242,56.6371919581,30.760486438,substation,0,,,,
134164126,56.8593733891,30.5377648992,substation,0,,,,
95290518,59.1728108741,36.5751127484,substation,0,,,,
307871606,59.0917035991,36.5860693107,substation,0,,,,
307860119,58.0481162214,37.3377134976,substation,0,,,,
307860121,58.4845869404,37.1025007275,substation,0,,,,
95411428,57.4994600013,37.0413467466,substation,0,,,,
307860123,57.9623713846,37.3928053564,substation,0,,,,
307860120,59.0973506363,37.4361646173,substation,0,,,,
309552076,59.1070299363,36.6455248172,substation,0,,,,
309554329,57.3688792664,37.4818093884,substation,0,,,,
309551284,58.6656993405,36.0341384819,substation,0,,,,
309551291,58.7839372191,36.2843365527,plant,0,,نیروگاه سیکل ترکیبی نیشابور,,
309548273,58.04496362,36.408069598,substation,0,,,,
309551286,58.7995879152,36.1941701848,substation,0,,,,
118436554,55.7856385759,29.5874123323,station,0,,,,
123937498,55.7608064483,29.4733615221,substation,0,,,,
221648071,57.633497704,36.2799114676,substation,0,,,,
309548272,57.6517539009,36.1816064192,substation,0,,,,
309548277,57.6731005777,36.2348537138,substation,0,,,,
309548271,57.5628349717,36.5564487163,substation,0,,,,
309548275,57.3506776046,36.7020808132,substation,0,,,,
189294282,46.1470417098,37.1856439185,substation,0,,,,
314288635,45.8676962912,37.5102837974,substation,0,,,,
134180043,55.1638522256,30.1016993529,substation,0,,,,
134180051,55.1619789212,30.4268661126,substation,0,,,,
219810517,59.5956092297,36.400775472,substation,0,,,,
198813398,59.6097144637,36.3420202493,substation,0,,,,
306875613,58.4774927826,35.2489869544,substation,0,,,,
261070799,58.1688126638,35.2732457431,substation,0,,,,
306875614,58.8265704266,34.015563534,substation,0,,,,
261053852,59.1500681301,33.7583356473,substation,0,,,,
306875616,59.2025837809,35.2304006421,substation,0,,,,
314668496,45.1203819179,38.6482233398,substation,0,,,,
314668497,45.6060710377,38.9445076582,substation,0,,,,
133668657,44.91113106,38.4057928825,plant,0,,,,
313322973,44.8940720846,38.5618642493,substation,0,,,,
314668495,45.7565779245,38.4790210481,substation,0,,,,
308576488,57.9928537801,35.2518367349,substation,0,,,,
308576489,57.8208505026,35.2535558373,substation,0,,,,
309548274,57.2071062724,36.7010577518,substation,0,,,,
261079805,57.3703044852,37.1143172925,substation,0,,,,
308621732,56.8745719856,36.3575827621,substation,0,,,,
246207246,46.2825654943,38.0517498829,substation,0,,,,
314356011,46.1708041444,38.0388713346,substation,0,,پست برق فشار قوی,,
309453598,56.3819956747,36.9642253469,substation,0,,,,
309564211,56.7472901644,37.4846411474,substation,0,,,,
308732200,45.6286717268,38.9611568811,substation,0,,,,
314356012,46.0860515362,37.9643524047,substation,0,,,,
372484678,57.1401376077,38.0517422119,substation,0,,,,
307391827,47.2889180113,32.6763269806,substation,0,,,,
307416928,46.2158083795,33.1099155472,substation,0,,,,
316317596,46.8773096691,33.0071382617,substation,0,,,,
306875619,59.1906108698,33.6941578225,plant,0,,,,
314288637,46.0146033278,37.4255622935,substation,0,,,,
133669891,46.1009794097,38.0047625015,station,0,,,,
96361044,46.0994204244,38.0068861932,station,0,,,,
306541572,49.4911278733,33.9987210068,substation,0,,,,
306533633,49.4944216035,33.997210423,substation,0,,,,
310927374,49.7569615921,34.0789742001,substation,0,,,,
