l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,223216387,372067085,132000,6,line,,,,10422.0,,,,,
2,223216391,372067085,132000,6,line,,,,15456.0,,,,,
3,223216391,283095924,132000,6,line,,,,7021.0,,,,,
4,369397847,223082235,132000,6,line,,,,7688.0,,,,,
5,223203344,223082235,132000,6,line,,,,67483.0,,,,,
6,223203344,223214920,132000,6,line,,,,5690.0,,,,,
7,223203344,230488890,132000,6,line,,,,39547.0,,,,,
8,223203344,223214916,132000,6,line,,,,34267.0,,,,,
9,223203344,223203345,132000,6,line,,,,7963.0,,,,,
10,223203344,223214915,132000,6,line,,,,12565.0,,,,,
11,223203344,225473532,132000,6,line,,,,57913.0,,,,,
12,223083380,255727594,132000,6,line,,,,105670.0,,,,,
13,223083380,192240466,132000,6,line,,,,17381.0,,,,,
14,230488890,223082231,132000,6,line,,,,24800.0,,,,,
15,389512506,223357754,132000,6,line,,,,10218.0,,,,,
16,223214920,223082228,132000,6,line,,,,13604.0,,,,,
17,223082228,223082229,132000,6,line,,,,22530.0,,,,,
18,223082229,223082231,132000,6,line,,,,32291.0,,,,,
19,223082235,309704056,132000,6,line,,,,25949.0,,,,,
20,225473532,309704056,132000,6,line,,,,32814.0,,,,,Yes
21,223203344,223082235,400000,3,line,,,,62909.0,,,,,
22,223203344,288619276,400000,3,line,,,,162285.0,,,,,
23,47586600,223357754,400000,3,line,,,,41490.0,,,,,
24,288619276,192240466,400000,3,line,,,,77113.0,,,,,
25,223083377,192240466,400000,3,line,,,,128409.0,,,,,
