n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
223216387,42.8294052687,36.8676203098,substation,0,,,,
372067085,42.7821720617,36.9460764348,substation,0,,,,
223216391,42.9083019464,36.8719231691,substation,0,,,,
283095924,42.9731801764,36.8590305727,substation,0,,,,
369397847,42.7767890348,36.5707891469,substation,0,,,,
223082235,42.8185177329,36.6251502745,substation,0,,,,
223203344,43.0248119854,36.3166229341,station,0,,,,
223214920,43.0737300137,36.3396999165,substation,0,,,,
230488890,43.1854404651,36.3443704538,substation,0,,,,
223214916,43.2193016293,36.3070717297,substation,0,,,,
223203345,43.106048044,36.3157942593,substation,0,,,,
223214915,42.9528516442,36.4063039449,substation,0,,,,
225473532,42.4599931004,36.3929425801,substation,0,,,,
223083380,42.8016746961,33.6368629466,station,0,,,,
255727594,43.746849991,33.3692496018,station,0,,,,
192240466,42.355654203,34.2034519106,station,0,,,,
223082231,43.3929029831,36.2841707423,sub_station,0,,,,
389512506,44.5122083626,33.8886677466,substation,0,,,,
223357754,44.5785654341,33.8233047286,station,0,,,,
223082228,43.1055553729,36.4207399982,station,0,,,,
223082229,43.2147244248,36.3954367998,substation,0,,,,
309704056,42.5978170238,36.505920947,plant,0,,,,
288619276,43.5561927832,35.0369102159,station,0,,شبكات 400/132,,
47586600,44.5204427046,33.4972683347,sub_station,0,,,,
223083377,41.1482056995,34.2682453156,substation,0,,,,
