id,n1_id,n2_id,length,voltage
1,1,2,4468.22795517,66000
2,3,4,20862.4023942,66000
3,3,5,15791.4198134,66000
4,3,6,4100.17010373,66000
5,7,8,4401.46957205,66000
6,9,10,16306.4069278,66000
7,9,11,9491.22067842,66000
8,12,13,6896.64598044,66000
9,12,14,5008.53124378,66000
10,15,16,4204.08851483,66000
11,15,17,26800.3939131,66000
12,15,18,29679.7560434,66000
13,15,19,13206.1597444,66000
14,15,20,10610.2594646,66000
15,21,22,8480.39076527,66000
16,23,24,8994.29767126,66000
17,25,26,3216.21841204,66000
18,25,27,7127.69965468,66000
19,25,28,2105.96951203,66000
20,25,29,9922.66031984,66000
21,25,13,8806.87578861,66000
22,25,30,11056.8818686,66000
23,31,32,11890.2510715,66000
24,33,34,11885.0685293,66000
25,33,35,11294.9899991,66000
26,33,36,16865.3662961,66000
27,33,37,8156.05958254,66000
28,38,39,7884.87472573,66000
29,38,40,4067.908398,66000
30,41,42,11760.2059385,66000
31,43,44,5695.65088426,66000
32,45,46,1897.65468176,66000
33,47,48,2274.6548038,66000
34,49,50,9793.27573763,66000
35,49,51,9594.4830392,66000
36,46,52,9654.08117948,66000
37,52,53,14914.6772943,66000
38,54,55,3648.68340936,66000
39,54,56,3470.54979244,66000
40,54,57,4289.26310501,66000
41,58,59,6548.87088,66000
42,60,61,1517.03498407,66000
43,60,62,2999.19600932,66000
44,60,63,2542.58525041,66000
45,64,65,564.16446579,66000
46,64,66,1812.41108429,66000
47,67,68,13512.6623674,66000
48,67,69,39327.4467244,66000
49,70,71,5009.01160458,66000
50,70,72,5070.46303204,66000
51,70,73,5841.1835785,66000
52,74,75,5281.3399412,66000
53,72,76,3824.75725348,66000
54,72,77,580.710200392,66000
55,78,4,42797.8873542,66000
56,79,80,10884.7556174,66000
57,79,81,5404.36784317,66000
58,82,83,14774.860438,66000
59,82,84,23470.6643005,66000
60,85,86,26430.8576781,66000
61,85,87,10297.7543332,66000
62,88,89,17635.9095042,66000
63,90,91,49142.364716,66000
64,90,92,45358.0188143,66000
65,93,94,4633.26500197,66000
66,93,95,6295.68644784,66000
67,93,96,12911.6283979,66000
68,93,97,20650.6324629,66000
69,98,99,222.499762681,66000
70,100,101,3824.65255948,66000
71,102,103,6362.19904146,66000
72,104,105,6336.34185076,66000
73,106,107,24139.8821692,66000
74,108,109,7542.19193858,66000
75,110,111,2535.24757481,66000
76,103,111,2078.27379595,66000
77,103,63,7778.46240246,66000
78,112,113,12249.5264273,66000
79,112,114,26543.0703766,66000
80,112,115,10408.5979576,66000
81,116,117,36719.3790143,66000
82,116,118,25059.7106905,66000
83,119,120,8327.40371209,66000
84,119,121,24709.5881156,66000
85,119,122,13696.1976451,66000
86,123,57,990.337917597,66000
87,124,121,6548.70795805,66000
88,124,125,9261.4734599,66000
89,125,126,37201.0979482,66000
90,127,128,8552.65074142,66000
91,129,130,4845.83280655,66000
92,129,71,4667.7325338,66000
