n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
216498433,130.764771996,32.6680007909,substation,220000;110000;66000,60,九州電力 南熊本変電所,九州電力,
216605551,130.785358076,32.8481429715,substation,110000;66000,60,,,
405605910,130.747433116,32.7835861647,substation,110000;66000,60,神水変電所,九州電力,
196291845,132.438693175,34.403203547,substation,110000,60,,,
170974393,132.442099989,34.4262179216,substation,110000,60,北広島変電所 (Kita-Hiroshima Hendensho),,
317800070,134.0311623,34.7620577333,substation,110000,60,山陽変電所,,
241822623,134.025119544,34.8881152865,substation,500000;220000;110000,,,,
317557313,133.726095475,34.5276496782,substation,110000,60,水島変電所,,
242389825,133.742099464,34.5649433705,substation,110000,60,倉敷変電所,,
317800072,134.167734428,34.7583550287,substation,110000,60,備前変電所,中国電力株式会社,
317829086,134.056014138,35.0389416393,substation,110000,60,南津山変電所,,
320724309,131.884566045,34.6865131033,substation,110000,60,,,
320853780,132.131293263,34.4808140054,substation,110000,60,吉和変電所,,
317416612,131.97968589,34.6976354075,substation,500000,60,西島根変電所,,
317641611,133.182276074,34.2995882454,substation,110000,,,,
317641613,133.178321354,34.4220973438,substation,110000,60,尾道変電所,,
317641612,133.183555115,34.5006976368,substation,110000,60,北尾道変電所,,
319463469,131.847932775,34.030712612,substation,110000,60,,,
319463514,131.851466752,34.0128760748,substation,220000;110000,60,下松発電所,,
318564837,131.824648761,34.059272366,substation,110000,60,徳山変電所,,
318564836,131.787990095,34.0700099104,substation,110000,60,川崎変電所,,
319371123,131.500858823,34.0458512549,substation,110000,60,佐野変電所 (Sano Hendensho),,
243471278,131.849554618,34.1226534132,substation,220000,60,,,
319371122,131.495756687,34.1083087207,substation,220000,60,,,
170974372,132.538408194,34.4400154651,substation,220000;110000,60,広島変電所,中国電力株式会社,
179935434,132.505210576,34.4029850925,substation,110000,60,東広島変電所,,
320853779,131.955837185,34.3579492333,substation,110000,60,六日市変電所,,
193544791,132.257539442,34.4125158059,substation,500000,,新西広島変電所 (Shin Nishi Hiroshima Hendensho),中国電力株式会社,
317991388,132.509608847,35.190743459,substation,110000,60,,,
317991390,132.836531106,34.7962229278,substation,110000,60,三次変電所 (Miyoshi Hendensho),,
317416610,132.582571635,34.2561174819,substation,110000,60,,,
317734437,133.881746974,34.6690832884,substation,110000,60,,,
317922273,133.909079237,34.671186384,substation,110000,60,,,
242159098,133.863878048,34.7484942172,substation,220000;110000,60,岡山変電所,,
317416617,132.617070635,34.2441873372,substation,110000,60,呉変電所,,
317416619,132.627481494,34.3196897029,substation,110000,60,黒瀬変電所 (Kurose Hendensho),,
179743820,132.578116939,34.4038460097,substation,110000,60,,,
216496817,130.772719735,32.2230466802,substation,220000;66000,60,九州電力人吉変電所,九州電力株式会社,
240809426,130.493913285,31.9875602878,generator,0,,川内川第一水力発電所,,
317525043,133.34050001,35.3891965808,substation,110000,60,,,
317525048,133.33715171,35.4177799308,substation,110000,60,米子変電所 (Yonago Hendensho),,
242103481,133.40575856,35.2961246998,substation,500000,60,日野変電所,,
242389846,133.692532644,34.6048501446,substation,0,,,,
171037112,132.829029857,35.3688139793,substation,0,,,,
317511894,132.719427256,35.3281492166,substation,110000,60,,,
317520870,133.042560957,35.4322856561,substation,110000,60,玉造変電所 (Tamatsukuri Hendensho),,
317734460,134.034165639,34.6615081756,substation,110000,60,,,
242159094,134.023903359,34.6599563297,substation,110000,60,西大寺変電所 (Saidaiji Hendensho),,
320724295,132.149258025,34.8612537129,substation,110000,60,,,
317796058,133.69398656,35.2815347714,substation,110000,60,蒜山変電所 (Hiruzen Hendensho),,
317796052,133.836916341,35.4274551773,substation,110000,60,打吹発電所,,
317852635,133.884627307,34.6272593129,substation,110000,60,,,
317922271,133.894976665,34.6365477786,substation,110000,60,,,
317852636,133.973365709,34.7000716657,substation,110000,60,,,
317852641,133.974295179,34.6935290254,substation,110000,60,国府市場変電所,,
317557240,133.829440023,34.6716080021,substation,0,,,,
316216918,136.628150137,36.5794154118,substation,154000,,北金沢変電所,北陸電力,
