id,n1_id,n2_id,length,voltage
1,1,2,44970.367115,110000
2,3,4,71846.5022561,110000
3,5,6,3224.83994382,110000
4,5,7,13468.2214218,110000
5,5,8,1362.34939604,110000
6,9,10,2225.55098324,220000
7,9,11,788.16181268,220000
8,9,12,22819.0379375,220000
9,13,10,45100.2014913,220000
10,13,14,18077.1718509,220000
11,13,15,43054.2558645,220000
12,16,15,25560.777462,220000
13,16,17,19795.6559643,220000
14,12,10,23274.9135739,220000
15,18,19,71953.3414256,220000
16,18,20,71044.0371273,220000
17,21,22,58048.2083211,220000
18,23,24,62873.2493248,220000
19,25,26,29999.0842497,220000
20,27,19,61374.018485,220000
21,20,28,126635.376169,220000
22,29,30,59314.3742548,220000
23,30,31,58450.5434672,220000
24,32,33,55456.2098811,220000
25,34,35,48275.3965494,220000
26,19,36,314373.373088,500000
27,37,38,59350.613927,500000
28,37,39,42207.5137663,500000
29,37,36,168323.549358,500000
30,40,39,34434.0325629,500000
31,41,10,178.828136874,500000
