n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
229130776,69.2078416986,43.7449961127,substation,0,,,,
211369375,69.198538988,44.5065641926,substation,0,,,,
230790688,54.4916960969,46.2011794636,substation,0,,,,
230788822,53.9749212423,46.9469595544,substation,0,,,,
201214269,77.0629166195,52.2415480617,substation,0,,,,
201216085,77.0426819482,52.2595622835,station,0,,,,
201271538,76.96645343,52.320712772,station,0,,,,
201216119,77.056157147,52.25034847,station,0,,,,
217630595,75.3762228572,51.8913878015,substation,0,,,,
170538100,75.3903214758,51.8932561848,plant,0,,Экибастузская ГРЭС-1,,
217630591,75.3775807787,51.8952462323,substation,220000;110000,,,,
229063057,75.4685714819,52.0226393411,substation,0,,,,
214304772,75.3237084467,51.69583093,substation,0,,,,
210433376,75.1486919193,51.7401457974,substation,0,,,,
214390280,75.3127249348,51.8139751897,substation,0,,,,
217630598,75.4593718851,51.8383795016,station,0,,,,
217630599,75.3780645817,51.8376104484,station,0,,,,
276266516,71.7194124118,51.7506963733,substation,0,,,,
51767776,71.4174604401,51.2156019735,substation,0,,500кВ ЦГПП,АО KEGOC,
293194781,71.9241041494,52.3681887182,substation,0,,,,
42396188,80.1417742695,50.3701449615,station,0,,,,
223868477,78.5064371159,50.6052592623,substation,0,,ПС,,
223964061,58.261433789,50.558601045,station,0,,,,
97145033,58.4571319787,51.2833044663,substation,220000;110000;10000,,ПС 220 кВ Орская,,
172458539,63.2471437166,45.9138798052,substation,0,,,,
172514677,63.3087654714,45.6857291926,substation,0,,,,
280418733,72.039748451,50.909481455,substation,0,,,,
278120316,70.4529553987,52.6396149962,substation,220000;110000;35000;10000,,ПС Макинская,KEGOC,
354348723,69.4169793803,53.3165407654,substation,0,,,,
317345468,69.7445407824,53.8281315245,substation,0,,,,
208760547,69.4756243151,54.4799886557,substation,500000,,Подстанция «Аврора»,,
326239170,67.3048989513,51.9044710812,substation,0,,,,
326239176,67.9327061058,51.8311713366,substation,0,,,,
344561126,65.0390627139,52.2881843939,substation,0,,,,
344561127,65.6587344984,52.1320947897,substation,0,,,,
344848556,66.3871075366,51.9342335015,substation,0,,ПС Есиль,,
150372357,62.9832869179,52.9905946223,substation,500000;220000,,ПС Сокол,KEGOC,
109226934,61.6572585932,54.0359672306,generator,0,,Троицкая ГРЭС,ОГК-2,
150155376,63.3449274672,53.0769016297,substation,500000;220000,,ПС Кустанайская,,
135806443,68.9185464038,53.3178221222,substation,500000;220000,,Kökschetau,KEGOC,
214390287,75.364514168,51.880550458,substation,0,,,,
