l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,342007178,286445650,132000,3,line,,,,20818.0,,,,,
2,342007178,342027063,132000,3,line,,,,3802.0,,,,,
3,309076141,342370161,132000,6,line,,,,59656.0,,,,,Yes
4,309076141,309085116,132000,6,line,,,,86465.0,,,,,Yes
5,309076141,274440792,132000,6,line,,,,61835.0,,,,,Yes
6,341713559,342750364,132000,3,line,,,,33450.0,,,,,
7,341713559,327318711,132000,3,line,,,,42940.0,,,,,
8,137569050,341338413,132000,6,line,,,,12387.0,,,,,Yes
9,137569050,286445650,132000,6,line,,,,48511.0,,,,,Yes
10,342750364,342204410,132000,6,line,,,,40435.0,,,,,Yes
11,309114138,341338413,132000,6,line,,,,9880.0,,,,,Yes
12,309114138,285259952,132000,12,line,,,,4339.0,,,,,Yes
13,309076130,342370161,132000,6,line,,,,69734.0,,,,,Yes
14,309076130,235281732,132000,6,line,,,,30840.0,,,,,Yes
15,342389789,309085116,132000,3,line,,,,49118.0,,,,,
16,342389789,309085119,132000,3,line,,,,26766.0,,,,,
17,285259952,290486331,132000,3,line,,,,80983.0,,,,,
18,340753709,290486331,132000,3,line,,,,38551.0,,,,,
19,306272062,341855906,132000,6,line,,,,7804.0,,,,,Yes
20,306272062,342598391,132000,6,line,,,,51286.0,,,,,Yes
21,235281732,223694840,132000,6,line,,,,16785.0,,,,,Yes
22,235281732,233558648,132000,6,line,,,,36722.0,,,,,Yes
23,327318711,290486331,132000,3,line,,,,24866.0,,,,,
