l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,386907408,243988950,220000,,line,,,,28526.0,,,,
2,386907408,56393470,220000,,line,,,,39874.0,,,,
3,343293592,343293007,220000,3,line,50,,,28376.0,,,,
4,343293592,343288857,220000,3-6,line,50,,,29918.0,,,,
5,343293592,343288862,220000,3-6,line,50,,,11574.0,,,,
6,254070557,245155008,220000,6,line,50,,,38602.0,,,,
7,343288862,245890007,220000,3-6,line,50,,,35480.0,,,,
8,343288862,245890047,220000,3-6,line,50,,,37808.0,,,,
9,253889968,246325734,220000,3-6,line,50,,,42700.0,,,,
10,343226678,245890047,220000,3-6,line,50,,,27405.0,,,,
11,386523960,56393470,220000,6,line,50,,,13444.0,,,,
12,387214656,239991233,220000,6,line,50,,,127566.0,,,,
13,389024144,245464079,220000,6,line,50,,,61295.0,,,,
14,389373558,386839399,220000,,line,,,,68564.0,,,,
15,245459818,245464079,220000,3-6,line,50,,,34018.0,,,,
16,245459818,245459808,220000,3,line,50,,,297.0,,,,
17,241957315,218730395,500000,3,line,50,,,27795.0,,,,
18,241957315,246325734,500000,3,line,50,,,83486.0,,,,
19,243917157,243991061,500000,3,line,50,,,88028.0,,,,
20,243917157,56393470,500000,3,line,,,,95732.0,,,,
21,245490150,245890047,500000,3,line,50,,,72648.0,,,,
22,245490150,53283146,500000,3,line,50,,,75659.0,,,,
23,246325734,245890047,500000,3,line,50,,,58766.0,,,,
24,53283146,72784122,500000,3,line,50,,,136434.0,,,,
25,53283146,53234435,500000,3-6,line,,,,63335.0,,,,
26,53283146,243991061,500000,3,line,50,,,142009.0,,,,
27,403722386,56393470,500000,3,line,,,,213.0,,,,
28,403722386,243988950,500000,3,line,,,,26480.0,,,,
29,53234435,243991061,500000,3,line,50,,,82732.0,,,,
30,53234435,72784122,500000,3,line,50,,,139734.0,,,,
31,386767198,218730395,500000,3,line,,,,34499.0,,,,
32,243988950,56393470,500000,3,line,,,,65191.0,,,,
33,72784122,245890047,500000,3,line,50,,,9299.0,,,,
