n_id,longitude,latitude,type,voltage,frequency,name,operator
245252750,69.6355653767,28.0327564788,substation,None,,,
245462754,69.5268520725,28.0296307152,sub_station,None,,,
343288857,74.2563310381,31.7642521216,substation,None,,,
245890034,74.0855362898,31.6813248443,substation,None,,,
239981858,67.0021997698,30.2247463665,sub_station,None,,,
239981860,66.9624658583,30.2623925627,sub_station,None,,,
239978075,67.0350844287,30.1855229877,sub_station,None,,,
254625966,63.8827332031,26.0210632279,sub_station,None,,,
254623990,63.1009515623,26.0008825415,sub_station,None,,,
386767198,71.5446767016,33.9293322973,substation,None,,PESHAWAR,TESCO
389596219,71.5763408836,34.0821941932,substation,132000,,Charsadda,
253469118,66.8228530679,29.8099940343,sub_station,None,,,
186783227,66.4939321865,29.9083381461,station,None,,,
239991233,66.9808506462,30.0694670834,sub_station,None,,Quetta,
253482956,66.6283940845,27.7630574287,sub_station,None,,Khuzdar,
253483902,66.2127101364,27.6833382912,sub_station,None,,,
389373669,70.7157595212,33.018002791,substation,132000,,Bannu 132 KV,
389372153,70.6325296976,32.9698894583,substation,220000,,Bannu,NTDC
245550460,68.2861433633,25.7040880617,sub_station,None,,,
56393470,68.2687653056,25.4776191433,sub_station,None,,Jamshoro,National Transmission & Despatch Company (NTDC)
386907408,67.1579074142,24.9780724558,substation,None,,K.D.A-33,HESCO
243988950,66.9266369994,24.9744661884,sub_station,500000,,N.K.I,
343293592,74.3854132839,31.5913953087,substation,None,,,
343293007,74.4917703849,31.538911262,substation,None,,,
343288862,74.3133916601,31.6081502593,substation,None,,,
254070557,67.8543596345,29.5164427612,sub_station,None,,,
245155008,68.1738872147,28.5820236711,generator,None,,Uch Power Plant,
245890007,74.0839784767,31.6786368019,generator,None,,Atlas Power Plant,
245890047,74.0333839303,31.6536879731,sub_station,None,,Lahore,
253889968,74.1477351597,32.2926010486,substation,None,,Ghakhar Grid Station,
246325734,73.8980179836,32.1031529057,sub_station,None,,,
343226678,74.2510639588,31.5129205227,substation,None,,,
386523960,68.3830011438,25.425107167,substation,None,,Hala Road,
387214656,67.8543133568,29.5164175755,substation,None,,Sibbi,
389024144,68.966569205,27.6667966434,substation,220000,,Rohri New,NTDC
245464079,69.3653688852,28.026372048,generator,None,,Engro Energy CCGT Power Plant,
389373558,71.5609969395,32.9366477236,substation,220000,,Daud Khel,NTDC
386839399,71.4670496982,32.3870676225,plant,None,,Chamsa Nuclear Power Complex,
245459818,69.6734127875,27.9792744265,substation,None,,,
245459808,69.67330217,27.9805086997,generator,None,,Foundation Power Company,
241957315,73.1919783534,33.4792783186,sub_station,None,,REWAT New,
218730395,72.6920556609,34.0865761038,sub_station,None,,Tarbela,
243917157,67.7433881124,26.7179884533,sub_station,None,,New Dadu,
243991061,69.6942474572,28.4307366592,sub_station,None,,Guddu,
245490150,73.1706998224,30.6684480713,sub_station,None,,Sahiwal,
53283146,71.6155593224,30.2470480243,sub_station,None,,Multan,
72784122,73.1501058969,31.4732314125,sub_station,None,,Gatti,NTDC
53234435,71.166051782,30.1014245652,sub_station,220000,,Muzaffargarh,NTDC
403722386,66.6943569954,24.9074650217,substation,None,,,
