l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,172009221,119180549,154000,,line,,,,25951.0,,,,,
2,310266400,312375473,154000,6,line,60,,,20321.0,,,,,Yes
3,310266400,313654649,154000,,line,60,,,61241.0,,,,,
4,310266400,461268914,154000,,line,60,,,87009.0,,,,,
5,180075042,168904645,154000,,line,60,,,20522.0,,,,,
6,180075042,313283373,154000,12,line,60,,,34211.0,,,,,Yes
7,311068711,205296347,154000,6,line,60,,,4851.0,,,,,Yes
8,311144496,316124722,154000,6,line,60,,,5840.0,,,,,Yes
9,310293553,313388404,154000,3,line,60,,,29029.0,,,,,
10,310928461,466385763,345000,12,line,60,,,18001.0,,,,,Yes
11,125840986,126047655,154000,,line,,,,15536.0,,,,,
12,231045732,310574464,154000,12,line,60,,,10970.0,,,,,Yes
13,312297594,312297600,154000,6,line,60,,,5397.0,,,,,Yes
14,312297594,310963709,154000,12,line,60,,,21724.0,,,,,Yes
15,313247877,313264823,154000,,line,,,,11611.0,,,,,
16,297601178,297601183,154000,,line,60,,,8454.0,,,,,
17,297601183,308765055,345000,12,line,60,,,45869.0,,,,,Yes
18,297601183,308765054,154000,12,line,60,,,14207.0,,,,,Yes
19,310065312,313280968,154000,6,line,60,,,21153.0,,,,,Yes
20,310065312,312319437,154000,6,line,60,,,6479.0,,,,,Yes
21,310421552,312319401,154000,6,line,60,,,16549.0,,,,,
22,310421552,312319351,154000,6,line,60,,,11064.0,,,,,
23,312375473,312375513,154000,6,line,60,,,39979.0,,,,,Yes
24,312375473,312375502,154000,12,line,60,,,33180.0,,,,,Yes
25,313264824,308953870,345000,12,line,60,,,31654.0,,,,,Yes
26,313264824,371952375,345000,12,line,60,,,82335.0,,,,,Yes
27,372869919,310226151,154000,12,line,60,,,25119.0,,,,,Yes
28,312375499,312375501,154000,12,line,60,,,16341.0,,,,,Yes
29,312375499,308770040,154000,12,line,60,,,30214.0,,,,,
30,310395601,310395617,154000,6,line,60,,,13921.0,,,,,Yes
31,310395601,310281776,154000,6,line,60,,,19161.0,,,,,Yes
32,312375513,312375515,154000,6,line,60,,,12296.0,,,,,Yes
33,312375513,308770040,154000,6,line,60,,,6975.0,,,,,Yes
34,308953870,310574464,154000,12,line,60,,,9713.0,,,,,Yes
35,308953870,205296347,154000,6,line,60,,,23778.0,,,,,Yes
36,143609113,312424737,345000,12,line,60,,,47815.0,,,,,Yes
37,312424733,312424741,154000,,line,60,,,3571.0,,,,,
38,312424737,313355100,154000,,line,60,,,17628.0,,,,,
39,313355118,313355123,154000,6,line,60,,,29706.0,,,,,
40,313355118,308765054,154000,6,line,60,,,36154.0,,,,,Yes
41,313388404,313388489,154000,3,line,60,,,33868.0,,,,,
42,312408983,235152925,154000,,line,60,,,2550.0,,,,,
43,415837596,310281776,154000,6,line,60,,,18781.0,,,,,Yes
44,312319393,308711344,154000,3,line,60,,,4015.0,,,,,
45,310574464,310065312,345000,6,line,60,,,32073.0,,,,,Yes
46,310574464,308953834,345000,12,line,60,,,62125.0,,,,,Yes
47,310574466,143756950,345000,6,line,60,,,15224.0,,,,,Yes
48,117614725,310266400,345000,3,line,60,,,60873.0,,,,,
49,117614725,310281776,345000,6,line,60,,,45818.0,,,,,Yes
50,310281736,143987473,345000,6,line,60,,,21177.0,,,,,Yes
51,310943500,310961238,345000,6,line,60,,,11482.0,,,,,Yes
52,143987473,143605191,345000,6,line,60,,,79063.0,,,,,Yes
53,143987473,403402683,345000,12,line,60,,,67792.0,,,,,Yes
54,143756950,143609113,345000,12,line,60,,,30716.0,,,,,Yes
55,308733209,310247600,345000,,cable,,,,1933.0,,,,,
56,308733209,308733211,345000,3,line,60,,,33938.0,,,,,
57,143609113,403402683,345000,6,line,60,,,28679.0,,,,,Yes
58,143609113,308765055,345000,6,line,60,,,46302.0,,,,,Yes
59,198717854,199954117,345000,,line,,,,23941.0,,,,,
60,310065312,156580308,345000,6,line,60,,,32379.0,,,,,Yes
61,310247600,310247604,345000,6,line,60,,,14342.0,,,,,Yes
62,310421666,308711344,345000,,line,,,,17013.0,,,,,
63,310293553,310226153,345000,12,line,60,,,65178.0,,,,,Yes
64,311144491,310226151,345000,6,line,60,,,43064.0,,,,,Yes
65,119001902,113679419,345000,6,line,60,,,30190.0,,,,,Yes
66,119001902,156580308,345000,6,line,60,,,79215.0,,,,,Yes
67,310266398,310226153,345000,6,line,60,,,65670.0,,,,,Yes
68,310266398,308786013,345000,6,line,60,,,96138.0,,,,,Yes
69,310266398,308770040,345000,12,line,60,,,62163.0,,,,,Yes
70,310266398,310266400,345000,6,line,60,,,43996.0,,,,,Yes
71,307934520,310421552,345000,6,line,,,,19025.0,,,,,Yes
72,311223101,277786990,345000,6,line,60,,,59999.0,,,,,Yes
73,310995902,277786990,345000,6,line,60,,,90932.0,,,,,Yes
74,310995902,143605191,345000,6,line,60,,,51756.0,,,,,Yes
75,143605191,403402683,345000,6,line,60,,,26603.0,,,,,Yes
76,143605191,156580308,345000,6,line,60,,,54085.0,,,,,Yes
77,310961238,310963709,345000,6,line,60,,,115721.0,,,,,Yes
78,310226151,310226153,345000,6,line,60,,,59717.0,,,,,Yes
79,310226151,387266330,345000,6,line,60,,,55958.0,,,,,Yes
80,310226153,387266330,345000,3,line,60,,,26831.0,,,,,
81,308953834,313247875,345000,6,line,60,,,24187.0,,,,,Yes
82,312297594,235152926,345000,,line,60,,,40518.0,,,,,Yes
83,312297594,310963709,345000,6,line,60,,,15979.0,,,,,Yes
