n_id,longitude,latitude,type,voltage,frequency,name,operator
310574464,127.388330073,36.8216019164,substation,None,,신진천 (Sin-Jincheon),
310065312,127.460802268,36.5535497521,substation,None,,,
308953834,127.244884851,37.0207765857,substation,345000,60,,
310574466,129.176016341,35.4066038314,substation,345000,60,,
143756950,129.298505305,35.4945137169,substation,345000,60,,
117614725,129.02465688,35.2361851136,substation,None,,,
310266400,128.525275195,35.2876183423,substation,345000,60,,
310281776,128.777781052,35.2190531464,substation,345000,60,신김해 (Sin-Gimhae),
310281736,129.179168761,35.2406538632,substation,345000,60,,
143987473,129.294843891,35.3226961739,substation,345000,60,,
310943500,127.167510678,37.5111009219,substation,345000,60,동서울 변전소,
310961238,127.183386418,37.5960430683,substation,345000,60,,
143605191,129.407440472,35.9393214601,substation,345000,60,신포항 (Sin-Pohang),
403402683,129.475345692,35.7156053286,plant,None,,Wolsung Nuclear Power Station,
143609113,129.212383238,35.6777379644,substation,345000,,,
308733209,127.046176833,35.8441425757,substation,345000,,,
310247600,127.049045672,35.8268994515,substation,345000,60,,
308733211,126.85710724,35.9681655914,substation,None,,,
308765055,128.83470255,35.8721951742,substation,None,,,
198717854,127.146287299,37.242570607,substation,None,,,
307934520,127.052770467,37.3826709352,substation,None,,,
199954117,127.282241313,37.0971531572,substation,None,,,
156580308,127.532635219,36.2941289079,substation,345000,60,신옥천 (Sin-Okcheon),
310247604,127.005991983,35.7577412005,substation,None,,,
310421666,126.761848616,37.361991965,substation,345000,60,신시흥 (Sin-Siheung),
308711344,126.848634792,37.4584706363,substation,345000,60,서서울 (Seo-Seoul),
310293553,127.622806686,34.9699847897,substation,345000,60,,
310226153,127.465777071,35.4517124664,substation,None,,신남원 (Sin-Namwon),
311144491,126.930804352,34.9646219986,substation,345000,60,,
310226151,126.934060806,35.2085626516,substation,345000,60,신광주 (Sin-Gwangju),
119001902,126.788234175,36.4667304211,substation,345000,60,청양 (Cheongyang),
113679419,126.486311424,36.3956465123,generator,None,,,
310266398,128.129231353,35.3413246975,substation,345000,60,,
308786013,128.40620528,35.9707251313,substation,345000,60,서대구 (Seo-Daegu),
308770040,128.405173653,35.7336761549,substation,None,60,고령 (Goryeong),
310421552,126.916505323,37.3102692034,substation,None,,,
311223101,129.09952549,37.5103366854,substation,345000,60,동해 (Donghae),
277786990,129.381370505,37.0913582167,plant,None,,,
310995902,128.565534011,36.7753391587,substation,345000,60,신영주 (Sin-Yeongju),
310963709,126.920119399,37.6843031279,substation,None,,양주 (Yangju),
387266330,126.417672499,35.4106240578,plant,None,,Yeonggwang Nuclear Power Plant,
313247875,127.001667503,37.025243055,plant,None,,,
312297594,126.771073876,37.7398012614,substation,345000,60,신파주 (Sin-Paju),
235152926,126.609339035,37.5111869938,plant,None,,인천화력발전소,인천중부발전
