l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,152322304,161969636,230000,3,line,,,,11850.0,,,,,
2,164725547,195237417,230000,6,line,,,,12990.0,,,,,
3,130805767,130805766,230000,3,line,,,,229.0,,,,,
4,152303369,150638744,230000,3,line,,,,14610.0,,,,,
5,130804490,130805766,230000,3,line,,,,81797.0,,,,,
6,130804490,131421941,230000,3,line,,,,4069.0,,,,,
7,130804491,180326303,230000,3,line,,,,49639.0,,,,,
8,130804491,130805766,230000,3,line,,,,30905.0,,,,,
9,447311123,205212153,230000,3,line,,,,5655.0,,,,,
10,254292628,254292629,230000,3,line,,,,504.0,,,,,
11,254292628,133424212,230000,3,line,,,,8787.0,,,,,
12,150638744,150256289,230000,3,line,,,,31126.0,,,,,
13,150638744,151913391,230000,6,line,,,,62597.0,,,,,Yes
14,150638744,150358728,230000,3,line,,,,144814.0,,,,,
15,180326303,330757612,230000,3,line,,,,68017.0,,,,,
16,180326303,180326309,230000,6,line,,,,24021.0,,,,,Yes
17,180326303,113711692,230000,3,line,,,,78555.0,,,,,
18,150256289,130593618,230000,3,line,,,,35902.0,,,,,
19,150256289,150358728,230000,3,line,,,,21083.0,,,,,
20,123913890,130592294,230000,3,line,,,,18224.0,,,,,
21,123913890,130593618,230000,3,line,,,,35714.0,,,,,
22,130592294,133331795,230000,3,line,,,,120599.0,,,,,
23,130592294,160279731,230000,6,line,,,,92982.0,,,,,Yes
24,130592294,154838308,230000,3,line,,,,36110.0,,,,,
25,130592294,130593618,230000,3,line,,,,28693.0,,,,,
26,157858216,117335600,230000,6,line,,,,9969.0,,,,,Yes
27,157858216,164701658,230000,3,line,,,,16952.0,,,,,
28,133432875,133331795,230000,3,line,,,,28975.0,,,,,
29,205359278,204311935,230000,6,line,,,,17386.0,,,,,Yes
30,205359278,160110669,230000,3,line,,,,18411.0,,,,,
31,151913391,160110669,230000,3,line,,,,44652.0,,,,,
32,162588721,133331795,230000,6,line,,,,40668.0,,,,,Yes
33,238298034,330757612,230000,3,line,,,,69005.0,,,,,
34,238298034,113711692,230000,3,line,,,,80004.0,,,,,
35,238298034,382767472,230000,3,line,,,,41873.0,,,,,
36,163811126,160110669,230000,6,line,,,,5002.0,,,,,Yes
37,150974530,150974532,230000,6,line,,,,1932.0,,,,,Yes
38,150974532,131661157,230000,3,line,,,,42107.0,,,,,
39,204973382,448191441,230000,3,line,,,,19116.0,,,,,
40,150358728,154838308,230000,3,line,,,,39223.0,,,,,
41,150358728,150579316,230000,6,line,,,,26236.0,,,,,Yes
42,133424203,133424212,230000,3,line,,,,1119.0,,,,,
43,160110669,160110681,230000,3,line,,,,185.0,,,,,
44,451243216,168164591,230000,3,line,,,,23344.0,,,,,
45,451243216,203799037,230000,6,line,,,,26349.0,,,,,Yes
46,130593618,168164591,230000,3,line,,,,81255.0,,,,,
47,130593618,154838308,230000,3,line,,,,29140.0,,,,,
48,133331795,191731888,230000,6,line,,,,18486.0,,,,,Yes
49,133424212,168164591,230000,3,line,,,,4239.0,,,,,
50,124803179,154838308,230000,3,line,,,,228.0,,,,,
51,168164591,191731888,230000,3,line,,,,143620.0,,,,,
52,205212153,205212154,230000,6,line,,,,3542.0,,,,,Yes
53,152322304,374038506,400000,3,line,,,,110078.0,,,,,
54,152322304,368996390,400000,3,line,,,,54557.0,,,,,
55,191731888,130593618,400000,3,line,,,,70543.0,,,,,
56,191731888,160279731,400000,3,line,,,,43028.0,,,,,
57,150974530,205212154,400000,3,line,,,,64959.0,,,,,
58,150974530,160279731,400000,3,line,,,,6378.0,,,,,
59,150974530,130593618,400000,3,line,,,,88043.0,,,,,
60,130805767,223083377,400000,3,line,,,,82314.0,,,,,
61,130805767,307736698,400000,3,line,,,,117161.0,,,,,
62,117335600,160110681,400000,3,line,,,,69967.0,,,,,
63,130593618,374038506,400000,3,line,,,,64796.0,,,,,
64,307736698,374038506,400000,3,line,,,,55327.0,,,,,
65,150638744,374038506,400000,3,line,,,,147.0,,,,,
66,150638744,160110681,400000,3,line,,,,101261.0,,,,,
67,160110681,163808669,400000,3,line,,,,29568.0,,,,,
