id,n1_id,n2_id,length,voltage
1,1,2,52834.2709604,161000
2,1,3,16726.2362204,161000
3,1,4,3136.18728463,161000
4,5,6,15884.3226466,161000
5,5,7,27541.7279935,161000
6,8,9,13386.142057,161000
7,8,10,7781.23568036,161000
8,11,12,6425.4597186,161000
9,6,10,17738.1529586,161000
10,6,13,19372.0142565,161000
11,14,15,36867.5915566,161000
12,10,9,21077.5863628,161000
13,16,7,9779.99933183,161000
14,17,18,23847.387383,161000
15,19,20,25695.6936684,161000
16,19,21,55976.2364505,161000
17,22,21,11834.3367537,161000
18,23,24,2506.10529263,161000
19,23,7,14601.5883241,161000
20,23,25,26028.7312777,161000
21,2,26,6994.4948184,161000
22,27,25,18957.6697777,161000
23,28,29,4197.16050619,161000
24,28,30,6233.61673373,161000
25,31,32,26361.1596361,161000
26,33,21,5310.78908811,161000
27,34,35,42182.3282608,345000
28,34,36,6260.47236615,345000
29,33,37,34376.4571269,345000
30,37,38,75841.9363341,345000
31,11,39,22287.4205705,345000
32,11,4,52381.0315224,345000
33,11,40,23969.1570582,345000
34,11,26,49399.6145144,345000
35,27,7,32395.8538457,345000
36,27,41,59730.9369755,345000
37,42,35,13958.4796701,345000
38,43,7,16605.720895,345000
39,43,6,24668.9662659,345000
40,35,20,38326.3823489,345000
41,4,44,13843.384018,345000
42,44,40,10643.9117677,345000
43,6,45,21655.3734187,345000
44,6,46,7720.51706258,345000
