n_id,longitude,latitude,type,voltage,frequency,name,operator
135966592,121.635447352,25.0598603428,substation,None,,,
135969460,121.764292238,24.6588178427,substation,None,,,
366360913,121.706143238,24.935374122,substation,None,,,
135174291,121.641653167,25.0823232171,substation,None,,汐止超高壓變電所,
284163714,120.327677148,22.7877269711,substation,None,,,
201258264,120.362586052,22.9202557912,substation,None,,龍崎超高壓變電所,
365851562,120.408283403,22.5704061975,substation,None,,,
174026884,120.292345194,23.0577392373,substation,None,,,
148896752,120.190776115,23.0161787966,substation,None,,,
177122330,120.365920815,23.0784973351,substation,None,,,
135638663,121.624504667,25.0023778813,substation,None,,深美超高壓變電所,
258816699,121.574270918,25.0314200496,substation,None,,,
183535177,120.234158179,22.9731467777,substation,None,,,
136040088,121.555293687,23.9884915683,substation,None,,,
136343017,121.431466754,23.721695957,substation,None,,,
204011424,121.470752572,24.9881408511,substation,None,,,
114665430,121.287491707,24.9143357644,substation,None,,松樹腳變電站,
284266787,120.736793542,24.2636145867,substation,None,,,
292500014,120.923009202,24.1841875757,plant,None,,台電大甲溪水力發電廠,
174415352,120.936837641,24.7083965766,substation,None,,,
161206054,121.009339475,24.7887155798,substation,None,,新竹光復變電廠,
220838569,120.449940952,22.6347232686,substation,None,,,
365962072,120.459351075,22.6477150395,substation,None,,,
284488539,120.583762195,22.5469496553,substation,None,,,
135762164,121.70966677,24.6438302136,substation,None,,,
220004545,120.608862235,22.4183615869,substation,None,,,
365962168,120.425445575,22.668536702,substation,None,,,
365965153,120.446048481,22.6454425527,substation,None,,,
365965156,120.426142811,22.6479357976,substation,None,,,
299260534,120.488814283,23.5522594021,substation,None,,,
296426235,120.270212977,23.5652537776,substation,None,,,
174415337,120.986003528,24.6931557878,substation,None,,,
122190593,120.514359398,24.1598343609,substation,None,,,
199445394,120.77044474,23.8917127527,substation,None,,,
200691649,120.481307341,24.2150338549,plant,None,,台電台中火力發電廠,
129025956,121.194268319,24.8185374665,substation,None,,龍潭超高壓變電所,
134156254,121.586980262,25.2842935954,substation,None,,,
135795801,121.473488189,24.9858808051,substation,None,,板橋超高壓變電所,
221638645,121.73797462,25.1567465194,plant,None,,協和火力發電廠,
365662545,120.749311064,21.9591751833,substation,None,,Maanshan,
321099212,120.637295976,23.8804451698,substation,None,,,
216625870,120.372212666,22.7024859907,substation,None,,,
122063476,121.661129106,25.2000135983,substation,None,,,
226576525,120.197854107,22.8530689115,plant,None,,永安火力發電廠,Taipower
283762826,120.390045898,22.9512864269,substation,None,,,
