id,n1_id,n2_id,length,voltage
1,1,2,46123.857522,230000
2,1,3,94306.1364561,230000
3,4,5,4329.01543267,230000
4,4,6,52119.1132192,230000
5,7,8,26199.2549439,230000
6,7,9,12330.0494124,230000
7,2,10,24541.4487193,230000
8,2,11,51980.0643236,230000
9,12,6,187.385650441,230000
10,13,14,57091.9681467,230000
11,13,9,51843.1063639,230000
12,15,16,23558.9217139,230000
13,17,18,2197.60823772,230000
14,19,20,9952.84009644,230000
15,21,22,73200.2936536,230000
16,21,10,6663.51675035,230000
17,21,23,63394.3160481,230000
18,24,16,34356.8003479,230000
19,24,20,42642.7010468,230000
20,24,25,33974.5972052,230000
21,24,26,39821.7383357,230000
22,27,28,29538.7253558,230000
23,27,29,18379.3624926,230000
24,27,30,11919.5139634,230000
25,27,31,7883.57103381,230000
26,27,32,23486.1426582,230000
27,16,20,8369.41477867,230000
28,33,34,28172.269065,230000
29,35,22,512.288857864,230000
30,35,36,22652.9124351,230000
31,35,26,48424.0903766,230000
32,37,26,7542.10209967,230000
33,37,38,9856.4840799,230000
34,37,29,12307.1466586,230000
35,8,39,4828.29304531,230000
36,3,40,48953.0848481,230000
37,3,41,51804.4797157,230000
38,40,42,139601.73394,230000
39,40,11,95950.4131203,230000
40,43,44,20133.6426102,230000
41,45,18,82255.8883326,230000
42,30,39,8568.13073184,230000
43,46,47,7012.73626592,230000
44,48,6,12282.3195781,230000
45,48,49,36507.6315426,230000
46,50,25,86067.2876675,230000
47,50,20,76484.2756859,230000
48,51,52,4321.90577791,230000
49,51,32,11906.2381105,230000
50,53,34,30346.0812466,230000
51,36,41,49453.3993328,230000
52,54,55,94743.2616785,230000
53,38,56,10911.2609935,230000
54,57,58,76465.4694106,230000
55,28,26,25181.6635812,230000
56,28,9,53495.9891189,230000
57,59,42,94948.5147376,230000
58,59,55,2711.14244516,230000
59,9,47,41968.6883367,230000
60,9,60,61375.5064908,230000
61,56,61,9133.77865869,230000
62,62,55,84.5927001989,230000
63,52,61,11728.4593944,230000
64,52,20,44444.053428,230000
65,63,60,70.866633619,230000
66,3,22,68988.7046334,500000
67,3,64,48541.7632653,500000
68,3,55,94830.8306111,500000
69,3,24,122651.829816,500000
70,65,49,47514.9039822,500000
71,66,63,376.436619318,500000
72,67,22,172580.975168,500000
73,67,28,110879.320837,500000
74,67,63,26806.7048358,500000
75,67,17,97276.2354006,500000
76,49,22,75740.8774639,500000
77,49,24,52350.9590304,500000
78,28,22,61555.3482385,500000
79,63,60,137.67203125,500000
80,24,61,17919.1757445,500000
81,24,22,51508.2706637,500000
82,35,22,278.603142735,500000
