l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,307638314,306295536,110000,3,line,50,,,6809.0,,,,,Yes
2,317106134,317106135,110000,,line,50,,,23915.0,,,,,
3,308292630,308292616,220000,3,line,50,,,392.0,,,,,
4,306259035,306440155,220000,3,line,50,,,62061.0,,,,,Yes
5,306259035,318268202,220000,6,line,50,,,14611.0,,,,,
6,306259035,306259034,110000,6,line,50,,,8762.0,,,,,Yes
7,307638314,306295536,220000,6,line,50,,,6559.0,,,,,
8,251794098,251790836,220000,6,line,50,,,16099.0,,,,,
9,306295540,306295536,220000,6,line,50,,,63132.0,,,,,Yes
10,306295540,277519190,220000,6,line,50,,,37722.0,,,,,Yes
11,306295540,306259034,220000,6,line,50,,,20247.0,,,,,Yes
12,306295540,400202736,220000,6,line,,,,750.0,,,,,
13,400413519,400413521,220000,3,line,50,,,10543.0,,,,,Yes
14,277519190,315766015,220000,6,line,50,,,24790.0,,,,,
15,401334056,401447890,500000,3,line,50,,,2196.0,,,,,
16,401334056,401274166,500000,3,line,50,,,20022.0,,,,,
17,306295536,315553115,500000,3,line,50,,,16513.0,,,,,Yes
18,306295536,272740093,500000,3,line,50,,,42530.0,,,,,Yes
19,306440153,315553115,500000,3,line,50,,,49132.0,,,,,Yes
