n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
307638314,106.660732714,10.699797614,substation,0,,,,
306295536,106.718279487,10.7005716031,substation,500000,,Trạm 500KV Nhà Bè,,
317106134,106.908155364,10.397175896,substation,0,,,,
317106135,106.825474496,10.5825600129,substation,0,,,,
308292630,107.658632519,11.9492277061,substation,0,,,,
308292616,107.660022552,11.9459229885,generator,0,,,,
306259035,106.760732146,10.8313808241,substation,0,,,,
306440155,106.980958516,11.10629662,substation,0,,,,
318268202,106.640282408,10.8595275677,substation,0,,,,
306259034,106.80148408,10.7802583979,substation,0,,,,
251794098,105.86621179,20.9817587883,substation,0,,,,
251790836,105.854384027,20.8777366905,substation,0,,,,
306295540,106.839811363,10.6451838805,substation,0,,,,
277519190,107.036648432,10.6070502947,substation,0,,,,
400202736,106.839394342,10.6426771878,plant,0,,,,
400413519,107.855531027,12.8097127464,substation,0,,,,
400413521,107.860237362,12.7671598091,substation,0,,,,
315766015,106.938161743,10.7471137667,substation,0,,,,
401334056,107.808304514,14.2086904014,substation,0,,,,
401447890,107.796133285,14.222286214,substation,0,,,,
401274166,107.946752928,14.1017357883,substation,0,,,,
315553115,106.602550548,10.7394065176,substation,0,,Phú Lâm,,
272740093,107.032868216,10.6094775295,substation,500000,,Trạm 500KV Phú Mỹ,,
306440153,106.68717262,11.041470695,substation,0,,,,
