l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,305092097,305092094,110000,,line,,,,1793.0,,,,,
2,88187651,61649117,110000,6,line,,,,9391.0,,,,,Yes
3,88187651,174441055,110000,6,line,,,,35851.0,,,,,
4,303420374,46146107,110000,6,line,,,,7705.0,,,,,Yes
5,303420374,19388439,110000,6,line,,,,7160.0,,,,,Yes
6,303420374,303417152,110000,6,line,,,,6310.0,,,,,Yes
7,162321863,19380255,110000,6,line,,,,5213.0,,,,,
8,372546567,23171307,110000,6,line,,,,14500.0,,,,,
9,233929226,435794582,110000,3,line,,,,13551.0,,,,,
10,23298443,23239876,110000,6,line,,,Transend Networks,4619.0,,,,,
11,23298443,175926350,110000,6,line,,,,17048.0,,,,,
12,23298443,233927398,110000,6,line,,,,17978.0,,,,,Yes
13,23298443,233927458,110000,6,line,,,,31874.0,,,,,Yes
14,374644110,46056595,110000,6,line,,,,6919.0,,,,,
15,19384720,171582113,110000,6,line,,,,8769.0,,,,,
16,308160583,308160585,110000,3,line,,,,21458.0,,,,,
17,308160583,66035178,110000,6,line,,,,20181.0,,,,,Yes
18,308160583,173223683,110000,3,line,,,,50843.0,,,,,
19,19388439,46305863,110000,6,line,,,,7664.0,,,,,
20,19388439,173223683,110000,6,line,,,,14592.0,,,,,Yes
21,19388439,19386719,110000,6,line,,,,17367.0,,,,,
22,26204314,46305863,110000,6,line,,,,3520.0,,,,,
23,26230300,26161587,110000,6,line,,,,7550.0,,,,,
24,26230300,44418650,110000,6,line,,,,16076.0,,,,,Yes
25,234083162,234083164,110000,3,line,,Farrell - Waratah,,24465.0,,,,,
26,171575462,171575468,110000,6,line,,,,6916.0,,,,,
27,88191017,174431697,110000,6,line,,,,16238.0,,,,,
28,88191017,175174348,110000,6,line,,,,24671.0,,,,,
29,88191017,167791635,110000,6,line,,,,46842.0,,,,,Yes
30,46339655,46099414,110000,,line,,,,10817.0,,,,,
31,171575468,172878761,110000,6,line,,,,34251.0,,,,,
32,258723245,168385464,110000,6,line,,,,11446.0,,,,,Yes
33,435794582,176275951,110000,3,line,,,,15842.0,,,,,
34,172878761,173094501,110000,6,line,,,,4875.0,,,,,Yes
35,172878761,220455286,110000,6,line,,,,13367.0,,,,,Yes
36,172878761,308160585,110000,3,line,,,,18424.0,,,,,
37,19388978,302351763,110000,6,line,,,,1700.0,,,,,
38,26161587,46146107,110000,6,line,,,,4672.0,,,,,Yes
39,175927476,175926345,110000,6,line,,,,1854.0,,,,,
40,95612087,125600603,110000,6,line,,,,13332.0,,,,,
41,30471365,48853232,110000,3,line,,,,757.0,,,,,
42,45020488,171581686,110000,6,line,,,,23902.0,,,,,
43,45020488,125600603,110000,6,line,,,,3844.0,,,,,
44,175926345,175926350,110000,6,line,,,,117.0,,,,,
45,307100131,155682345,110000,,line,,,,21045.0,,,,,
46,173223683,19380255,110000,6,line,,,,13061.0,,,,,
47,234083164,234083565,110000,3,line,,Burnie - Waratah,,33013.0,,,,,
48,176275951,88199376,110000,3,line,,,,1274.0,,,,,
49,234863481,234864299,110000,6,line,,,,31018.0,,,,,Yes
50,234176499,207655859,110000,6,line,,,,21946.0,,,,,
51,99848705,173730623,132000,6,line,50,,TransGrid,3162.0,,,,,Yes
52,99848705,366327501,132000,6,line,50,,TransGrid,65076.0,,,,,Yes
53,171582472,171582471,132000,,line,,,,2419.0,,,,,
54,171582472,171588475,132000,6,line,,-Chinchilla - ??,,39677.0,,,,,
55,196363948,194550809,132000,6,line,50,,,13515.0,,,,,
56,196363948,194550807,132000,6,line,50,,,1609.0,,,,,
57,196363948,189021048,132000,3,line,50,,,38263.0,,,,,
58,196363948,173224446,132000,6,line,50,,,74038.0,,,,,Yes
59,196363948,173224184,132000,6,line,50,,,111754.0,,,,,Yes
60,196363948,196583888,132000,6,line,50,,,134745.0,,,,,Yes
61,196363948,196020053,132000,6,line,50,,,6036.0,,,,,Yes
62,173396697,169406848,132000,3,line,,,,6049.0,,,,,
63,205012494,205012488,132000,6,line,,,,22408.0,,,,,Yes
64,119871505,344076960,132000,3,line,,,,69631.0,,,,,
65,119871505,160191425,132000,6,line,,,,59971.0,,,,,Yes
66,214977199,166192455,132000,6,line,,,,12420.0,,,,,Yes
67,214977199,163374878,132000,6,line,,,,2667.0,,,,,Yes
68,192353822,191779550,132000,3,line,50,,,139394.0,,,,,
69,232106017,232109241,132000,6,line,,,,15732.0,,,,,Yes
70,230707206,52054044,132000,,line,,132kV Transmission Line,,57362.0,,,,,
71,172230182,172231145,132000,6,line,,,,16447.0,,,,,Yes
72,234539007,160201298,132000,3,line,50,,TransGrid,9944.0,,,,,
73,234539007,340560031,132000,3,line,50,,TransGrid,80229.0,,,,,
74,179921457,175862605,132000,6,line,,,,12638.0,,,,,Yes
75,179921457,179923658,132000,6,line,,,,23691.0,,,,,
