n_id,longitude,latitude,type,voltage,frequency,name,operator
100957314,172.698172969,-43.5326301545,substation,220000-66000,,Bromley substation,Transpower New Zealand
33795353,172.511640743,-43.5366043811,substation,220000-66000-33000,,Islington substation,Transpower New Zealand
268826084,171.801983501,-43.9418210503,substation,220000-66000-33000,,Ashburton substation,Transpower New Zealand
329266069,174.862575001,-36.9560374177,substation,None,,,
75609279,174.862841425,-36.9547945837,substation,220000-110000,,Otahuhu substation,Transpower New Zealand
180514007,169.319314781,-45.4770436072,substation,220000-110000,,Roxburgh substation,Transpower New Zealand
414953388,170.093390048,-45.0330113685,substation,220000-33000,,Naesby substation,Transpower New Zealand
26671244,174.617824241,-36.8411600403,substation,220000-110000-33000,,Henderson substation,Transpower New Zealand
232382576,174.466950323,-35.8757103202,substation,220000-110000,,Marsden substation,Transpower New Zealand
161270797,174.69036195,-36.739258017,substation,220000-110000-33000,,Albany substation,Transpower New Zealand
95894638,174.74673317,-36.780574919,substation,220000-110000-33000,,Wairau Road substation,
270556206,176.292647879,-38.5277396388,substation,220000,,Ohaaki substation,Transpower New Zealand
143397051,176.294219351,-38.5269038457,plant,None,,Ohaaki Power Station,
329266072,174.863577423,-36.9553909204,substation,None,,,
270018358,176.143074023,-38.6158967715,substation,220000,,Aratiatia substation,Transpower New Zealand
410732354,176.142223872,-38.6158291018,plant,None,,Aratiatia power station,Mighty River Power
255873374,176.195575817,-38.5472569785,substation,220000,,Ngatamariki substation,Mighty River Power
270554679,176.183731328,-38.6133495979,substation,220000,,Nga Awa Purua substation,Transpower New Zealand
89664063,170.194579696,-44.5659944666,substation,220000,,Benmore (HVAC) substation,Transpower New Zealand
94840399,170.636385301,-44.9329446941,substation,220000,,Livingstone switching station,Transpower New Zealand
89636510,170.028870392,-44.2659578034,substation,220000,,Ohau A substation,Transpower New Zealand
170300247,170.100071494,-44.2785421622,substation,220000-33000,,Twizel substation,Transpower New Zealand
95344674,175.050759441,-39.8697693294,substation,220000-33000,,Brunswick substation,Transpower New Zealand
299212125,174.320052478,-39.3341213033,substation,220000-110000-33000,,Stratford substation,Transpower New Zealand
89636266,170.179462913,-44.343463675,substation,220000,,Ohau C substation,Transpower New Zealand
165279371,170.182502426,-44.3418174655,generator,None,,Ohau C powerhouse,Meridian Energy
89411122,175.770363659,-38.9818575623,substation,220000-33000,,Tokaanu substation,Transpower New Zealand
87837416,175.800083528,-38.4191419764,substation,220000,,Whakamaru substation,Transpower New Zealand
167285336,175.639853189,-40.2807912504,substation,220000-110000-50000-33000,,Bunnythorpe substation,Transpower New Zealand
89637173,170.428520956,-44.6919825678,substation,220000-110000-33000-11000,,Waitaki substation,Transpower New Zealand
89637174,170.3543111,-44.6585240248,substation,220000,,Aviemore substation,Transpower New Zealand
89664057,170.190010484,-44.5654359961,substation,350000-220000,,Benmore HVDC static inverter station,Transpower New Zealand
89665166,170.193685031,-44.5634691902,generator,None,,Benmore,Meridian Energy
89635947,170.110482324,-44.3016510475,substation,220000,,Ohau B substation,Transpower New Zealand
270550888,175.744139884,-38.3527280749,sub_station,None,,Maraetai I substation,
167285260,176.105121349,-38.625864284,substation,220000-33000,,Wairakei substation,Transpower New Zealand
412588974,168.392370097,-46.5896502486,substation,220000,,Tiwai substation,
268841395,168.359363282,-46.305644457,substation,220000,,North Makarewa substation,Transpower New Zealand
87897292,174.828015785,-36.9270811011,substation,220000,,Southdown substation,Transpower New Zealand
169512273,175.683489618,-38.2915634509,station,None,,,
87928925,175.741656703,-38.3503020902,sub_station,None,,Maraetai II sub-station,
341099346,174.90627318,-36.9267638696,substation,None,,Pakuranga substation (new),Transpower New Zealand
156094589,174.96054081,-36.9736411307,substation,220000,,Brownhill substation,Transpower New Zealand
359449581,174.817631044,-36.9053225906,substation,220000-110000-33000-22000,,Penrose substation (220kV),Transpower New Zealand
270022030,176.159794482,-38.0739001515,substation,220000-110000-11000,,Tarukenga substation,Transpower New Zealand
167283894,176.829423672,-37.9867855707,substation,220000-110000-33000,,Edgecumbe substation,Transpower New Zealand
93713118,174.981040981,-41.149988773,substation,220000-110000-33000-11000,,Haywards substation,Transpower New Zealand
93713115,174.980993228,-41.1516775808,substation,350000-220000,,Haywards static inverter plant,Transpower New Zealand
272522517,176.085914201,-38.408027203,substation,220000,,Ohakuri substation,Transpower New Zealand
409970312,175.807848188,-38.4194789665,plant,None,,Whakamaru power station,Mighty River Power
270012796,170.21176548,-44.1251369858,substation,220000,,Tekapo B substation,Transpower New Zealand
270012792,170.212018447,-44.1227353565,generator,None,,Tekapo B,Genesis Energy
156097401,174.762266763,-36.8453580968,substation,220000-110000-22000-11000,,Hobson Street substation,Transpower New Zealand- Vector
412589726,167.277613538,-45.5210280605,substation,220000,,Manapouri substation,
194912653,167.277545511,-45.5213622423,plant,None,,Manapouri Power Station,
