l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,148063170,146972172,110000,3,line,60,,,5441.0,,,,,Yes
2,148063170,148063487,110000,6,line,60,,,4002.0,,,,,
3,146977090,38491193,110000,3,line,,,,8153.0,,,,,Yes
4,38493796,38489593,110000,3,line,60,,,7591.0,,,,,Yes
5,147108133,284081758,110000,3,line,60,,,27860.0,,,,,Yes
6,146972172,38491455,110000,3,line,,,,9885.0,,,,,
7,147580686,171555418,110000,6,line,60,,,31336.0,,,,,
8,147580686,147558181,110000,3,line,60,,,51706.0,,,,,Yes
9,38491193,147669998,110000,,line,,,,4381.0,,,,,
10,284081757,284081758,110000,3,line,60,,,15373.0,,,,,Yes
11,38668448,147558181,220000,6,line,60,,,34207.0,,,,,
12,147037089,147156670,220000,3,line,60,,,4728.0,,,,,Yes
13,353352034,88674172,220000,3,line,,,,130167.0,,,,,Yes
14,353352034,38489261,220000,3,line,,,,40799.0,,,,,Yes
15,38538083,38491455,220000,3,line,,,,9221.0,,,,,Yes
16,147108772,147108133,220000,3,line,60,,,20898.0,,,,,Yes
17,147108772,38491193,220000,3,line,60,,,50444.0,,,,,Yes
18,147108772,38491455,220000,3,line,60,,,122557.0,,,,,Yes
19,147108133,148238360,220000,3,line,60,,,104159.0,,,,,Yes
20,147108133,198221653,220000,3,line,60,,,108613.0,,,,,Yes
21,318881388,147558181,220000,3,line,60,,,75439.0,,,,,
22,38489261,38491455,220000,3,line,,,,24297.0,,,,,Yes
23,147518032,147558181,220000,6,line,60,,,79860.0,,,,,
24,38491193,147669998,220000,,line,,,,4409.0,,,,,
25,38491193,38491455,220000,3,line,,,,29443.0,,,,,Yes
