id,n1_id,n2_id,length,voltage
1,1,2,10974.5400767,69000
2,1,3,5448.16823309,69000
3,1,4,3960.71886761,69000
4,3,5,11976.3205317,69000
5,6,7,1835.68151949,69000
6,8,9,7368.1536724,69000
7,10,7,22.8629101955,69000
8,11,7,8.35647076393,69000
9,12,13,8718.51583615,138000
10,14,11,39131.1183335,138000
11,15,16,24.9273389127,138000
12,17,18,8632.64494823,138000
13,19,20,23364.2032611,138000
14,19,16,55472.9240018,138000
15,21,16,40162.9841522,138000
16,21,22,33319.8229618,138000
17,20,16,30548.3224851,138000
18,20,23,14784.3053985,138000
19,10,11,4.21331585853,138000
20,24,16,175.172683879,138000
21,25,11,48863.6629598,138000
