n_id,longitude,latitude,type,voltage,frequency,name,operator
293152176,30.4983686036,51.8738273372,substation,None,,,
288873859,30.2720067482,51.8097693396,substation,None,,,
289692683,30.7898332096,51.9437638443,substation,None,,,
201916933,24.2488525731,53.5660665581,substation,None,,,
89723141,24.2301582659,53.6777990854,substation,None,,ПС-110 кВ Лозы,
235777846,24.7202298998,53.6015423418,substation,None,,,
222762508,27.1650609939,53.689089111,substation,None,,,
231764788,27.3243125327,53.7370472129,substation,110000,,ПС Фаниполь,РУП Минскэнерго
157204623,27.3477968027,53.7400527921,substation,110000,,,
314244319,24.9608475412,52.1444352257,substation,None,,,
314243562,24.667289634,52.2140169833,substation,None,,,
429035693,27.6129755723,53.7574116825,substation,None,,"ПС ""Островы""",
296016627,27.5974131725,53.7841274874,substation,None,,"ПС ""Мачулищи""",
296016647,27.6450648476,53.7733315771,substation,None,,"ПС ""Кожзавод""",
262743896,27.4510481276,53.8093417915,substation,None,,,
59099213,27.4537863432,53.8463250094,substation,None,,"ПС ""Юго-Запад""",
41194024,27.5089904656,53.8405869295,substation,None,,"ПС ""Курасовщина""",
429148816,27.5734755655,53.8301675509,substation,None,,"ПС ""Кока-кола""",
310063635,26.4235502346,54.4833165121,substation,None,,,
310178136,26.3709046138,54.4661784376,substation,None,,,
299173918,25.0693553364,53.0631602971,substation,None,,,
240568902,24.7978676455,53.1504972521,sub_station,None,,,
287228165,31.088770144,52.4544703396,substation,None,,,
287231999,31.0515781681,52.470711032,substation,None,,,
130795400,30.9916633693,52.484801617,substation,None,,,
237040560,24.7408835844,53.5438724465,sub_station,None,,,
302900770,28.2632814075,53.052126517,substation,None,,,
314058489,28.4336886323,53.0338839856,substation,None,,,
288873564,30.1731201561,51.8549217597,substation,None,,,
299211088,30.003441277,51.9042748973,substation,None,,,
224125485,27.833489515,53.7791141761,substation,None,,"ПС ""Волма""",
429056529,27.7814127589,53.8354076842,substation,None,,"ПС ""Сосны""",
429361631,27.6409378366,53.8848921115,substation,None,,,
24423222,27.648857154,53.8804555352,plant,None,,ТЭЦ-3,
151029302,27.5666769956,53.9295760083,substation,None,,ПС-17 «Сторожёвская»,
229441506,27.5299049833,53.9955806178,substation,330000,50,,
40551785,27.6795421382,53.9528838161,substation,None,,"ПС ""Уручье""",
154490102,27.6142635132,53.9423443181,generator,None,,,
429372327,27.6642683623,53.8865414215,substation,None,,"ПС ""Дражня""",
60131045,27.701432386,53.9282383904,substation,None,,"ПС ""Озерище""",
300409914,27.514890204,52.9989616424,substation,None,,,
364529034,27.6047509959,52.9922121117,substation,None,,,
247791024,27.4763419198,53.0185863425,substation,None,,"ПС 330кВ ""Слуцк""",Слуцкие электросети
171987005,26.5408055237,55.602122066,substation,330000-110000-fixme,,,
173944054,26.642722405,55.4013791432,substation,None,,,
429929483,28.2085437766,54.0476550973,substation,None,,,
301229003,28.1241801123,54.0298008395,substation,None,,,
299231301,26.14470345,54.696492536,substation,None,,,
299226289,25.9519128623,54.6205987022,substation,None,,,
245414984,26.7498306745,54.3022427097,substation,None,,"Подстанция 330 кВ ""Молодечно""",
263648841,30.4747597589,52.3068576157,substation,None,,,
268654506,30.6025813036,52.1526763236,substation,None,,,
302733791,30.9819853914,52.4574841676,substation,None,,,
302726346,30.930585474,52.4618233506,substation,110000,50,Северная,
302734379,30.9823385673,52.4496400554,substation,None,,,
288267865,30.4023623521,52.9281674762,substation,None,,,
295775463,30.6022785473,52.9816451968,substation,None,,,
289493943,30.8767620158,52.9220170535,substation,None,,РЭС,
289501225,30.8132457261,52.8286487454,substation,None,,,
255157340,22.996920155,52.2845560309,substation,None,,"Stacja elektroenergetyczna 110kV ""Hołowczyce""",
110512784,23.193402947,52.1887390839,substation,None,,"Stacja elektroenergetyczna 110kV ""Janów Podlaski""",
310325079,27.1179027658,53.1461332086,substation,None,,ПС 110 кВ «Копыль»,Копыльский район электрических сетей
300419261,27.3095151496,53.0018932988,substation,None,,"ПС 110 кВ ""Терасполь""",Слуцкие электрические сети
300416246,27.0416330713,53.0373885722,substation,None,,,
299972194,27.27107691,54.2093641325,substation,None,,,
299960721,27.2277573368,54.151882158,substation,None,,,
417002086,27.6708804824,53.8374921688,substation,110000,,"ПС ""Корзюки""",
429868839,27.6833728245,53.8195121974,substation,None,,,
429740435,27.6493185008,53.8554207304,substation,None,,,
429148815,27.6689799076,53.8520415169,substation,None,,,
301876843,30.5099257936,54.4541680917,substation,None,,,
296183529,30.4507427083,54.480712155,substation,None,,,
192882077,30.175434386,54.5637087241,substation,None,,,
222038644,27.9185781279,53.6395146517,substation,None,,"ПС ""Свислочь""",
429035699,27.9393508306,53.6097848706,substation,None,,"ПС ""СУ ТЭЦ-5""",
226901999,27.8608984523,53.6076163684,substation,None,,"ПС ""Руденск""",
299263429,27.8767802147,53.5934930461,substation,None,,,
296414541,24.5222127591,52.4572654736,substation,None,,,
289722224,24.5289935173,52.4734229378,substation,None,,,
294809961,30.8164731581,52.6154803317,substation,None,,,
287057886,30.7836387014,52.4553381409,substation,None,,,
34327162,23.976812551,53.6597980223,substation,None,,,
177731028,24.0593513781,53.7050688045,substation,None,,,
194912891,23.3135176655,51.5597057927,substation,None,,Stacja elektroenergetyczna 110/15 kV Lubień,
