l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,60606465,88174817,150000,6,line,,,,12640.0,,,,
2,60606465,32002039,150000,12-6,line,,,,18714.0,,,,
3,60606465,127074525,150000,6,line,,,,28583.0,,,,
4,60606465,115783467,150000,3-6,line,,,,19066.0,,,,
5,223200939,160976854,150000,3-6,line,,,,4358.0,,,,
6,223200939,135529273,150000,3-6,line,,,,21034.0,,,,
7,223200939,93212889,150000,3-6,line,,,,22564.0,,,,
8,223200939,93056461,150000,3-6,line,,,,32517.0,,,,
9,23299076,27874760,150000,3-6,line,,,,16854.0,,,,
10,23299076,23407689,150000,3-6,line,,,,12568.0,,,,
11,23299076,87761208,150000,9-3-6,line,,,,27180.0,,,,
12,226147845,101343831,150000,3-6,line,,,,6957.0,,,,
13,226147845,87761208,150000,3-6,line,,,,15091.0,,,,
14,103455240,103728353,150000,3-6,line,,,,11468.0,,,,
15,103455240,204804556,150000-220000,3-6,line,50,,Elia,34847.0,,,,
16,103455240,102678997,150000,3-6,line,,,,408.0,,,,
17,133069321,87779917,150000,3-6,line,50,,,20807.0,,,,
18,133069321,160838303,150000,,cable,50,,,3862.0,,,,
19,194445834,205544908,150000,6,line,,,,1012.0,,,,
20,194445834,205691361,150000,6,line,,,,12648.0,,,,
21,194445834,136822245,150000,3-6,line,,,,13585.0,,,,
22,101343831,102178947,150000,6,line,,,,6674.0,,,,
23,101343831,226982010,150000,3-6,line,,,,2057.0,,,,
24,23177740,87761208,150000,3-6,line,,,,23208.0,,,,
25,23177740,222047623,150000,3-6,line,,,,985.0,,,,
26,160838317,160838303,150000,6,line,,,,15665.0,,,,
27,23155728,33838112,150000,3-6,line,50,,,22911.0,,,,
28,23155728,23157099,150000-70000,3-6-3-6,line,50,,,15557.0,,,,
29,23155728,16584741,150000,3-6,line,,,,6031.0,,,,
30,19784212,19783816,150000-36000,3-6,line,,,,3308.0,,,,
31,23141400,23148735,150000,3-6,line,,,,24951.0,,,,
32,23141400,23141557,150000,3-6,line,,,,9727.0,,,,
33,107432111,204328240,150000,3,line,,,,810.0,,,,
34,143759900,102178947,150000,3-6,line,,,,22646.0,,,,
35,143759900,104310860,150000-70000,3-6,line,,,,3015.0,,,,
36,143759900,107429044,150000-70000,9-3-3-6,line,,,,4927.0,,,,
37,143759900,107427392,150000,3-6,line,,,,1617.0,,,,
38,143759900,226147848,150000,3-6,line,,,,2455.0,,,,
39,160838319,160838315,150000,3-6,line,,,,7222.0,,,,
40,222279201,82508170,150000,3-6,line,,,,8187.0,,,,
41,222279201,204468261,150000,6,line,,,,16025.0,,,,
42,90992674,135519638,150000,3-6,line,,,,5858.0,,,,
43,90992674,93056461,150000,3-6,line,,,,10872.0,,,,
44,90992674,98025322,150000-70000,3-6,line,50,,,11608.0,,,,
45,25066019,23175771,150000,3-6,line,,,,12793.0,,,,
46,25066019,31983791,150000,3-6,line,,,,8077.0,,,,
47,25066019,138176311,150000,3-6,line,,,,19873.0,,,,
48,16584741,23154962,150000,6,line,,,,4006.0,,,,
49,16584741,16200352,150000,6,line,,,,9094.0,,,,
50,16584741,207105353,150000,3-6,line,,,,20565.0,,,,
51,16584741,87238504,150000,3-6,line,,,,30472.0,,,,
52,16584741,207154218,150000,3-6,line,,,,48572.0,,,,
53,16584741,207154219,150000,3-6,line,,,,36214.0,,,,
54,16584741,207156196,150000,3-6,line,,,,49285.0,,,,
55,16584741,135193936,150000,3-6,line,,,,50225.0,,,,
56,16584741,138176311,150000,3-6,line,,,,14418.0,,,,
57,16584741,23155326,150000,3-6,line,50,,,12143.0,,,,
58,207154218,33838112,150000,,cable,50,,,1262.0,,,,
59,205278766,23148226,150000-70000,9-3-3-6,line,,,,27182.0,,,,
60,205278766,88075501,150000-70000,3-6,line,,,,36355.0,,,,
61,108155912,93056461,150000-70000,3-6,line,,,,6079.0,,,,
62,108155912,107897716,150000-70000,6,line,,,,4534.0,,,,
63,226982011,226982010,150000,3,line,,,,27.0,,,,
64,104524856,8591150,150000,6,line,,,,1013.0,,,,
65,107429044,116615489,150000,3,line,,,,125.0,,,,
66,225622587,116615489,150000,3,line,,,,2066.0,,,,
67,223109692,93056461,150000,3-6,line,,,,11974.0,,,,
68,223109692,223109689,150000,3-6,line,,,,5567.0,,,,
69,223109692,87531947,150000,3-6,line,,,,14743.0,,,,
70,129553981,172525072,150000,3-12-6,line,,,,26966.0,,,,
71,129553981,87531947,150000,12-6,line,,,,48166.0,,,,
72,129553981,87533387,150000,3-12-6,line,,,,39128.0,,,,
73,129553981,223068816,150000,3-12-6,line,,,,15387.0,,,,
74,129553981,87767368,150000,3-12-6,line,,,Elia,6815.0,,,,
75,87772222,160838303,150000,3-6,line,,,Elia,29111.0,,,,
76,87772222,87767368,150000,3-6,line,,,Elia,13624.0,,,,
77,97728063,97728065,150000,,cable,50,,,1939.0,,,,
78,97728063,23175771,150000,6,line,,,,16031.0,,,,
79,97728063,222275289,150000,3-6,line,,,,12647.0,,,,
80,97728063,161057994,150000-70000,3-6,line,,,,9020.0,,,,
81,87779917,223451301,150000,6,line,50,,,16405.0,,,,
82,87779917,87763325,150000,3-12-6,line,50,,,20355.0,,,,
83,87779917,87767368,150000,3-6,line,50,,,22630.0,,,,
84,87529551,87531947,150000,3-6,line,,,Elia,1112.0,,,,
85,104524880,8591150,150000,3,line,,,,37.0,,,,
86,87308370,91142310,150000,6,line,,,,593.0,,,,
87,87308370,147431189,150000-70000,9-3-3,line,,,,2223.0,,,,
88,87308370,92908904,150000-70000,9-3-6,line,,,,18203.0,,,,
89,87308370,24438237,150000-70000,3-3-6-3-9-6,line,,,,24632.0,,,,
90,87308370,23141558,150000-70000,3-3-6-3-9-6,line,,,,20997.0,,,,
91,87308370,101430217,150000-70000,9-3-6,line,,,,7796.0,,,,
92,87308370,100645863,150000-70000,9-3-3-6,line,,,,6706.0,,,,
93,87308370,23141557,150000-70000,9-3-3-6,line,,,,18527.0,,,,
94,104524885,8591150,150000,3,line,,,,774.0,,,,
95,23136343,130345737,150000,6,line,,,,26620.0,,,,
96,23136343,19796807,150000,6,line,,,,19184.0,,,,
97,23136343,16578954,150000,6,line,,,,18560.0,,,,
98,23136343,19783816,150000,6,line,,,,15895.0,,,,
99,23136343,15917174,380000-150000,3-6,line,50,,Elia,5251.0,,,,
100,204320612,23136911,150000,9-3,line,50,,,568.0,,,,
101,204320612,23136959,150000,3-6,line,50,,,2701.0,,,,
102,204320612,15917174,150000-36000,3-6,line,50,,,9513.0,,,,
103,23175771,23176013,150000,6,line,,,,10907.0,,,,
104,23175771,204328239,150000,3-6,line,,,,2243.0,,,,
105,23175771,33814285,150000,3-6,line,,,,6994.0,,,,
106,23175771,33119136,150000,3-6,line,,,,10918.0,,,,
107,23175771,138245619,150000,3-6,line,,,,2334.0,,,,
108,204165054,23210193,150000,3-6,line,50,,,15698.0,,,,
109,204165054,87763325,150000,3-12-6,line,50,,,17894.0,,,,
110,204165054,204165053,150000,3-6,line,50,,,24865.0,,,,
111,226640504,226640505,150000,3-6,line,,,,898.0,,,,
112,226640505,102678997,150000,3-6,line,,,,4051.0,,,,
113,226640505,226640522,150000,3-6,line,,,,625.0,,,,
114,226640505,87761208,150000,3-6,line,,,,10824.0,,,,
115,226640505,102178947,150000,3-6,line,,,,26056.0,,,,
116,226640505,226445170,150000,3-6,line,,,,18238.0,,,,
117,226640505,98410713,150000,3-6,line,,,,29347.0,,,,
118,223068796,114325518,150000,6,line,,,,5679.0,,,,
119,103577725,87761208,150000,3,line,,,,15080.0,,,,
120,48678015,37232613,150000,3-6,line,,,Electrabel,4060.0,,,,
121,107640455,248979583,150000,3,line,50,,,40956.0,,,,
122,19783816,23137177,150000,3-6,line,,,,437.0,,,,
123,103728353,226975187,150000-70000,6-6-6,line,,,,7667.0,,,,
124,23136911,23137001,150000,3-6,line,50,,,4531.0,,,,
125,23136911,23136968,150000,6,line,50,,,591.0,,,,
126,23136911,23151857,150000,6,line,50,,,4088.0,,,,
127,115017366,32002039,150000-380000,3-6,line,,,,23573.0,,,,
128,115017366,87807194,150000,3-6,line,,,,9008.0,,,,
129,115017366,205830400,150000,3-6,line,,,,4630.0,,,,
130,120344516,175648106,150000,3-6,line,,,,10324.0,,,,
131,120344516,87531947,150000,3-6,line,,,,28422.0,,,,
132,120344516,225620901,150000,3-6,line,,,,16769.0,,,,
133,36040861,88075501,150000,3-6,line,,,,22700.0,,,,
134,36040861,205544915,150000,3-6,line,,,,12432.0,,,,
135,36040861,23142331,150000,3-6,line,,,,15380.0,,,,
136,160838303,160838315,150000,6,line,,,,5974.0,,,,
137,160838303,160838314,150000,6,line,,,,17592.0,,,,
138,16200352,130345737,150000,6,line,,,,11710.0,,,,
139,16200352,16200161,150000,6,line,,,,6365.0,,,,
140,181519013,98025322,150000,3-6,line,50,,,26128.0,,,,
141,181519013,160838318,150000,3-6,line,,,,19029.0,,,,
142,181519013,88732606,150000,3-6,line,,,,15457.0,,,,
143,91142310,91752661,150000,3-6,line,,,,5578.0,,,,
144,91142310,91304301,150000-220000,3-6,line,,,,21472.0,,,,
145,88076913,87763325,150000,3-6,line,,,,22195.0,,,,
146,23151789,23151857,150000,6,line,50,,,9362.0,,,,
147,23151789,138176311,150000,3-6,line,,,,6378.0,,,,
148,23141556,23141557,150000,3,line,,,,134.0,,,,
149,23157445,130345737,150000,6,line,,,,10032.0,,,,
150,23157445,32002039,150000,6,line,,,,4100.0,,,,
151,226439879,27874760,150000,3-6,line,,,,13470.0,,,,
152,91752661,94155586,150000,3,line,,,,8280.0,,,,
153,103728343,98410713,150000,3-6,line,,,,2762.0,,,,
154,87807194,205691362,150000,3,line,,,,281.0,,,,
155,87807194,88075501,150000,3-12-6,line,,,,11980.0,,,,
156,87807194,205691360,150000,3-6,line,,,,12700.0,,,,
157,127074525,205830402,150000,6,line,,,,3478.0,,,,
158,23137001,130586609,150000,3-6,line,,,,2698.0,,,,
159,23137001,206125313,150000,3-6,line,,,,1570.0,,,,
160,23137001,19783507,150000,3-6,line,,,,3222.0,,,,
161,88075501,137185687,150000,3-6,line,,,,9021.0,,,,
162,88075501,115783467,150000,3-6,line,,,,18867.0,,,,
163,204812413,98410713,150000,6,line,,,,3095.0,,,,
164,103728377,98410713,150000,6,line,,,,4522.0,,,,
165,248979583,87772591,150000,3-6,line,,,,2544.0,,,,
166,102678997,87761208,150000,3-6,line,,,,11584.0,,,,
167,205830402,35139071,150000,6,line,,,,11726.0,,,,
168,42979080,15917174,150000,3,line,,,,116.0,,,,
169,98410713,226445128,150000,3,line,,,,9077.0,,,,
170,149260065,33119136,150000,6,line,,,,6021.0,,,,
171,149260065,33838112,150000,3,line,50,,,404.0,,,,
172,87767333,87767368,150000,3-6,line,,,Elia,1424.0,,,,
173,133963047,223322522,150000,3-6,line,,,,10973.0,,,,
174,133963047,87531947,150000,3-6,line,,,,17828.0,,,,
175,133963047,160976810,150000-70000,6,line,,,,8965.0,,,,
176,133963047,160976853,150000-70000,3-6,line,,,,27471.0,,,,
177,133963047,224877453,150000-70000,3-6,line,,,,18193.0,,,,
178,115783467,136822245,150000,3-6,line,,,,8819.0,,,,
179,204328239,204328240,150000,,cable,50,,,1058.0,,,,
180,204328239,23176013,150000,6,line,,,,8771.0,,,,
181,87767365,87767368,150000,6,line,,,Elia,264.0,,,,
182,19796807,19783507,150000,6,line,,,,5983.0,,,,
183,87767368,87763325,150000,3-6,line,,,,3291.0,,,,
184,87533387,87531947,150000,3-6,line,,,,9101.0,,,,
185,87533387,87799210,150000,6,line,,,,7607.0,,,,
186,23176013,222047623,150000-380000,3-6-6,line,,,,16785.0,,,,
187,23176013,23177624,150000-380000,3-3-6-6,line,,,,7816.0,,,,
188,23176013,222047619,150000,6,line,,,,2626.0,,,,
189,19783507,442665324,150000,3,cable,50,,Engie-Electrabel,697.0,,,,
190,98025330,93056461,150000,6,line,50,,,7373.0,,,,
191,160976853,225620901,150000-70000,3-6-3-6,line,,,,6745.0,,,,
192,24552827,24438237,150000,3,line,,,,51.0,,,,
193,87763325,88045202,150000,3,line,,,,137.0,,,,
194,87763325,204165049,150000,3-6,line,50,,Elia,566.0,,,,
195,87772591,8591150,150000,3-6,line,,,,2970.0,,,,
196,87772591,24438237,150000,6,line,,,,12709.0,,,,
197,101430212,101430217,150000,3-6,line,,,,1055.0,,,,
198,175648106,116615489,150000,3-6,line,,,,16822.0,,,,
199,23208935,33838112,150000,3,line,50,,,191.0,,,,
200,223068807,114325518,150000,3,line,,,,29.0,,,,
