n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
100148608,25.2142024103,42.1081566195,substation,0,,,,
89869088,25.3553904799,42.2046167367,substation,0,,,,
37376642,23.4156389365,42.6518758276,substation,0,,,,
59467541,23.3308451752,42.6318583514,substation,110000,,Подстанция София Юг,,Yes
235026411,25.7996682271,43.482174573,substation,0,,,,
235026409,25.6636107134,43.1431957176,substation,0,,Подстанция Горна Оряховица,,
200516868,27.5759644112,43.3344410126,substation,110000,,Добруджа,,Yes
143036769,27.8698408851,43.2408732335,substation,20000,,Варна Север,НЕК,Yes
261495737,27.7626221817,43.197761081,substation,110000,,ОРУ ТЕЦ Варна,НЕК,Yes
37026950,23.2470778716,42.7310451451,substation,110000,,Модерно предградие,,
137322915,23.2962649382,42.7409378905,substation,110000,,Връбница,,
37028932,23.1896602495,42.8483249349,station,400000,,София Запад,,
263491181,23.2698693872,42.6842954502,substation,20000,,Подстанция Д.Димитров,,Yes
135427047,23.2812094282,42.7201633251,substation,110000,,Орион,,
260670994,27.4433209518,43.1955033839,substation,0,,,,
206386446,27.6028506899,43.2184448209,substation,0,,Подстанция Девня,,
333888963,27.4476090449,42.5138459746,substation,0,,,,
262292452,27.4560741852,42.5207046324,substation,20000,,Подстанция Славейков,,Yes
166216263,23.3361300795,42.681263679,substation,110000,,,,
309370841,23.3629211907,42.8172826672,station,0,,"Подстанция :Курило""",,
288603939,26.1226166359,42.6453426225,substation,0,,,,
165023043,25.9079361477,42.6912264319,station,0,,,,
260822556,27.8786347534,43.1885323192,substation,20000,,Подстанция Лазур,НЕК,Yes
260829032,27.8878182387,43.1928928991,substation,20000,,Подстанция Аспарухово,Energo-Pro,Yes
145098912,27.7814170556,42.9899829145,substation,0,,,Енерго-Про,
155352222,27.9710418437,43.243188492,substation,110000,,,,
136200099,27.9296674257,43.2255399184,substation,20000,,Подстанция Варна Изток,Енерго-Про Мрежи,Yes
127053855,27.5182695008,41.9860904924,substation,20000,,Подстанция Малко Търново,,Yes
127053862,27.4340508408,42.1881968476,substation,20000,,Босна,,Yes
143011687,27.8905658774,43.2235123766,substation,20000,,Подстанция Варна Запад,НЕК,Yes
126760702,27.7391991796,42.2673253654,substation,20000,,Подстанция Приморско,,Yes
274281777,27.7511092538,43.8077875542,substation,0,,Подстанция Крушари,,
140100782,27.8259139353,43.5926503174,substation,20000,,"Подстанция ""Фаворит""",,Yes
37031469,23.5252915645,42.7784272125,station,110000,,Подстанция Металургична,,Yes
204508648,23.5728885305,42.7619697055,substation,110000,,,,
262168722,23.4895759756,42.7734397637,substation,110000,,Руднична,,
140008047,27.7975529425,43.5568642399,substation,110000,,"Подстанция ""Добрич""",НЕК АД,
184544631,27.905201483,43.200913696,substation,0,,Подстанция Варна Юг,,
235044665,24.5714497676,42.3949278169,substation,0,,,,
166872793,24.6740944894,42.193542162,substation,110000,,,,
178747356,26.9902198779,42.6567950238,substation,110000,,Подстанция Карнобат,,Yes
204958592,25.3749229346,42.6101498061,substation,0,,,,
262539285,25.3219974209,42.850033736,substation,110000,,Балкан,,Yes
37376386,23.4711843515,42.6489830544,station,110000,,Казичене,,Yes
179323117,24.1654159829,43.2635317501,station,400000,,Подстанция Мизия,,
253597954,26.1367238461,42.2565577527,substation,0,,,,
157660794,26.0047099259,42.1447646379,generator,0,,Марица Изток 3,,
335585746,22.8890356903,42.731888142,substation,110000,,Подстанция Брезник,,
335317624,23.0778767288,42.6049163523,station,0,,Подстанция ТЕЦ Перник,,
157660698,25.8633670763,42.1240560857,substation,0,,Подстанция Марица Изток,,
157660797,26.0038615081,42.141441903,substation,0,,,,
146641607,26.131609434,42.2534334843,generator,0,,"ТЕЦ ""Марица Изток 2""",,
176754569,27.3565742466,42.6168050584,substation,0,,Ветрен,,
176656979,23.0046649291,42.5287561706,station,400000,,Подстанция Червена могила,Electricity System Operator EAD,
243752614,23.934990173,42.2443019596,substation,0,,Подстанция Сестримо,,
96974919,24.7701316698,42.1131576619,substation,0,,,,
37031322,23.6191850287,42.7216131466,station,220000,,Подстанция Столник,,Yes
144024767,25.5358157038,43.086367121,station,400000,,Подстанция Царевец,Electricity System Operator EAD,
196590421,22.1734374633,41.7747184796,substation,0,,,,
235044638,23.1024071888,41.9645650614,station,400000,,Подстанция Благоевград,,
148478396,24.1502154601,42.7042159253,station,400000,,Подстанция Златица,,
