n_id,longitude,latitude,type,voltage,frequency,name,operator
113568896,15.732732943,46.3987043027,substation,None,,RTP Cirkovce,
89820062,16.1627306959,45.8760847018,substation,400000,,TS Žerjavinec,
96747435,13.9687577839,45.6912801294,substation,400000-220000-110000,,RTP Divača,
96722667,14.4089478979,45.3547741114,substation,220000,,TS Pehlin,
173272584,14.9251041058,44.9427093652,substation,None,,TS HE Senj,
273326173,15.1052665132,44.9929999574,substation,220000,,RP Brinje,HEP
89817617,14.5640473002,45.3162741199,sub_station,400000,,TS Melina,HEP
89819945,16.1119317203,45.6674445789,substation,220000,,TS Mraclin,
170366194,16.4137675881,45.452508193,station,None,,TS TE Sisak,
210745193,14.1666389982,45.1375909413,substation,220000-110000,,TS Plomin,
129122541,14.5218522632,45.2868280421,station,None,,TS TE Rijeka,
43337263,16.5011377691,43.600346307,sub_station,400000,,TS Konjsko,
59683455,16.7020045877,43.4551430584,generator,None,,HE Zakučac,Hep
162022271,15.9032366431,43.7564218128,sub_station,220000,,TS Bilice,
96704507,16.913620406,45.4480812869,station,None,,TS Međurić,
79818891,16.7187396995,44.9410434817,generator,None,,Р.Т.С. Трафо,
163860997,15.7547644664,44.2074273688,sub_station,400000,,TS Velebit,
89823918,18.6633232616,45.4731696488,substation,400000,,TS Ernestinovo,HEP
89818719,15.8692808597,45.6814306155,sub_station,400000,,TS Tumbri,HEP
