id,lon,lat,name,osm_id,voltage,type,line_string
1,33.221857223,35.0858498291,None,189885117,132000,line,0102000020E610000010000000A80384E82B9C4040C60F0EB3928D4140FD31DAF8319C4040A0D6D7DD818D414061825499399C404043BB5E1F218D414049AA0E77429C404083CCA79EB08C4140B1452F374A9C40401A9AF24F4E8C4140338F4BD8549C40401AF0BE4ED18B4140A464158E5D9C4040637E24DE608B4140A965B6F5669C40408C2A840BF08A4140216A06DD6E9C4040C96E3439918A414079F5AD0C779C4040895983002F8A4140097D1B9A7D9C4040AB819676D7894140B89DEC55869C4040C1D1F07973894140812C43058D9C40406C1F79B618894140C45FB837949C4040F93D9EF0B7884140AABCD2AC999C4040413415DF6D8841400144ECC1999C40403E72A9A966884140
2,33.2317069506,35.1041882161,None,211840912,132000,line,0102000020E610000008000000A80384E82B9C4040C60F0EB3928D414011EE1862B59C40403B201DBC7C8D4140ED257CEF269D4040FBFA8B096B8D4140C34B1AA1A39D404052D893DC568D4140136F8D6C219E4040E4692E83428D4140B9AD4B07799E4040DC9000AE348D414052D20147DF9E4040C59BF588248D4140F44FAF43259F4040FEB66C7C198D4140
3,33.2417577931,35.1259717215,None,211840909,132000,line,0102000020E610000018000000F44FAF43259F4040FEB66C7C198D4140EAC0D063329F4040AB383C9D518D4140F38C11343F9F4040CC8B9F23898D41408D841C48539F40404C33E156DF8D4140075F22EE669F4040C6646DA5308E4140E2BA74B1769F404003D66797748E4140AB863ABF909F4040C448D24AB48E4140A6911C5DB39F4040489398020B8F41400E6AB9E9C79F404014B831D13C8F41406E8619580AA0404058B4FFD5708F4140F7BE38CF15A04040FA6BA557A88F41402992A0F5EA9F404088242349E38F414056760546BF9F40401D691F8820904140CA6235467C9F404041679FDD5A9041405727AB68309F404026169EA98B904140BDE399F3F19E4040166283C3BA90414014ECD9819F9E4040D2643704059141405D64A7364A9E404059C3E2435191414021DECAB1049E4040D8FB651B8F91414034861DF3D89D4040A91E6D9EE9914140153AE0E7B19D40400C06C2073C92414095AFE0A97E9D40409BF47705A592414071FCA8D8709D4040537B536AFD9241407C284257719D4040998034D706934140
4,33.221857223,35.0858498291,None,189885117,132000,line,0102000020E610000010000000A80384E82B9C4040C60F0EB3928D4140FD31DAF8319C4040A0D6D7DD818D414061825499399C404043BB5E1F218D414049AA0E77429C404083CCA79EB08C4140B1452F374A9C40401A9AF24F4E8C4140338F4BD8549C40401AF0BE4ED18B4140A464158E5D9C4040637E24DE608B4140A965B6F5669C40408C2A840BF08A4140216A06DD6E9C4040C96E3439918A414079F5AD0C779C4040895983002F8A4140097D1B9A7D9C4040AB819676D7894140B89DEC55869C4040C1D1F07973894140812C43058D9C40406C1F79B618894140C45FB837949C4040F93D9EF0B7884140AABCD2AC999C4040413415DF6D8841400144ECC1999C40403E72A9A966884140
5,33.2317069506,35.1041882161,None,211840912,132000,line,0102000020E610000008000000A80384E82B9C4040C60F0EB3928D414011EE1862B59C40403B201DBC7C8D4140ED257CEF269D4040FBFA8B096B8D4140C34B1AA1A39D404052D893DC568D4140136F8D6C219E4040E4692E83428D4140B9AD4B07799E4040DC9000AE348D414052D20147DF9E4040C59BF588248D4140F44FAF43259F4040FEB66C7C198D4140
6,33.2985399421,35.0968988039,None,211761950,132000,line,0102000020E610000027000000F44FAF43259F4040FEB66C7C198D4140C5A1173A719F4040FDB4347E0D8D4140DE04C756E09F4040033EE8F2FB8C4140D9D4206330A04040A5CBB9CCEE8C4140D814F1ABA1A040409C27CBACDC8C4140E3CF74D128A140403468A0D6D48C41401B62BA7FA7A1404014F2FD7CCD8C41403A3BEEF61AA24040ED340CCBC68C41405E6E796C98A2404081553224C08C41404648ED6415A340404DD4044CB98C41404803D60851A34040C425C8EBB48C41405524C0FAAEA340409A5726D1AC8C41405D64D169FFA3404035CAADD5A68C41407CBD0B986FA44040D07C71F99D8C41405D874726CCA44040F90493DB968C41404AFA017F41A5404086DF772C8D8C41408096D6F7B1A540405F3A346B858C4140F5E485F21CA6404073D486CD598C414003897D2A69A640402E772C66498C41400A941426CAA6404003124370348C4140CFAF47652AA74040CF080D0D208C41408E24F014ACA740404C474A4E1C8C41400C86055315A8404071D79043198C4140B44FE0FA71A84040937195CB168C41406BE3485E80A8404046A78C69168C4140BB2FA629C8A840406D57E574148C4140F3A9D85EF5A8404091A7D7B8138C41405125F01322A94040C6CB67FD128C41402CF4985858A94040BB4C7ACA108C4140DED9FB5E81A940409CEC75F90F8C4140CB240656D0A9404040757A0A0D8C414059ACB36250AA4040B38FD6DD098C4140291C3DF0D0AA4040D7FA6562058C414000AD2FCA56AB4040336F2EFB018C4140AAFB1861D5AB4040D096165DFE8B4140A9293EAA44AC4040E4799501FB8B414000465DF2A7AC4040483780D0F88B414067489E1B1DAD4040099DED02F58B414053A03E6C4FAD40402DD4925CF38B4140
7,33.3640357851,35.0930733564,None,211819147,132000,line,0102000020E610000008000000FB9B1A09E2AF4040CAA0C380E08B414084EB85EEAEAF40404319EEEBE18B414065D6425A52AF4040B4C81997E48B41404075D21ADFAE40406D145DE9E78B41404A41D36B72AE404058B6488BEA8B4140D948E0E60FAE4040C7EC43C4ED8B4140C0E844C78BAD40408AB3B49BF18B414053A03E6C4FAD40402DD4925CF38B4140
8,33.3766619431,35.0851259871,None,201313632,132000,line,0102000020E6100000090000003370BD71A6B0404038BBA906178A4140247C7EAB9AB04040FB4A6112178A41407964E9E652B04040EF7A8FAA218A4140D9ECBD3F4FB04040AF8D05B87E8A41406B7ED4733AB040401CD04934FC8A41407EB5C46E22B040403852DDF9438B4140EC8586EC05B0404071B4ADD28B8B41402AF763F5E4AF404096B62CA9D88B4140FB9B1A09E2AF4040CAA0C380E08B4140
9,33.221857223,35.0858498291,None,189885117,132000,line,0102000020E610000010000000A80384E82B9C4040C60F0EB3928D4140FD31DAF8319C4040A0D6D7DD818D414061825499399C404043BB5E1F218D414049AA0E77429C404083CCA79EB08C4140B1452F374A9C40401A9AF24F4E8C4140338F4BD8549C40401AF0BE4ED18B4140A464158E5D9C4040637E24DE608B4140A965B6F5669C40408C2A840BF08A4140216A06DD6E9C4040C96E3439918A414079F5AD0C779C4040895983002F8A4140097D1B9A7D9C4040AB819676D7894140B89DEC55869C4040C1D1F07973894140812C43058D9C40406C1F79B618894140C45FB837949C4040F93D9EF0B7884140AABCD2AC999C4040413415DF6D8841400144ECC1999C40403E72A9A966884140
10,33.2317069506,35.1041882161,None,211840912,132000,line,0102000020E610000008000000A80384E82B9C4040C60F0EB3928D414011EE1862B59C40403B201DBC7C8D4140ED257CEF269D4040FBFA8B096B8D4140C34B1AA1A39D404052D893DC568D4140136F8D6C219E4040E4692E83428D4140B9AD4B07799E4040DC9000AE348D414052D20147DF9E4040C59BF588248D4140F44FAF43259F4040FEB66C7C198D4140
