l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,135753732,28479829,110000,3-6,line,50,-1360- 1377,ČEPS,32830.0,,,,
2,135753732,119477895,110000,9-3,line,50,-1360- 1380- 1383-1360,ČEPS,28091.0,,,,
3,135753732,119926403,110000,3-6,line,50,-1384-1384- 1396-1380- 1383-1360,ČEPS,79855.0,,,,
4,135753732,39375958,110000,3-6,line,50,-1380- 1383-1360,ČEPS,58286.0,,,,
5,28268556,180936924,110000,6,line,50,,,46921.0,,,,
6,28268556,28475691,110000,3-12-6,line,50,,,72966.0,,,,
7,28268556,52463637,110000,3-12-6,line,50,,,96558.0,,,,
8,28268556,183055070,110000,3-12-6,line,50,,,53768.0,,,,
9,28268556,52499238,110000,3-12-6,line,50,,,68003.0,,,,
10,28268556,228241376,110000,6,line,50,,,31029.0,,,,
11,28268556,383770383,110000,6,line,50,,ČEZ,16701.0,,,,
12,28268556,64781742,110000,6,line,50,,ČEZ,11918.0,,,,
13,345071630,171141043,110000,3-6,line,50,1278-1277- 1278-1278- 1279,ČEPS,10592.0,,,,
14,345071630,208895907,110000,3-6,line,50,1278-1278- 1279-1277,ČEZ-ČEPS,28780.0,,,,
15,345071630,146081210,110000,3-6,line,50,1278-1279-1278- 1279,ČEPS,12336.0,,,,
16,164794384,28475691,110000,6,line,50,,,5802.0,,,,
17,164794384,183259379,110000,3-6,line,50,,,6730.0,,,,
18,164794384,173703244,110000,3,line,50,,,6379.0,,,,
19,164794384,164794385,110000,3,line,50,,,18982.0,,,,
20,164794384,130160224,110000,3,line,50,,,25136.0,,,,
21,28469267,52246673,110000,6,line,50,,,1902.0,,,,
22,28469267,351699456,110000,3-6,line,50,,,20516.0,,,,
23,28469267,28346300,110000,6,line,50,,,2006.0,,,,
24,28469267,123255601,110000,3-2-6,line,50,-353-352,ČEZ,80452.0,,,,
25,28469267,129317021,110000,3-2-6,line,50,-313-353-352,ČEZ,90420.0,,,,
26,28469267,207321876,110000,3-2-6,line,50,-353-352,ČEZ,103729.0,,,,
27,28469267,28349754,110000,3-2-6,line,50,-353-352,ČEZ,59549.0,,,,
28,28469267,336719563,110000,3-2-6,line,50,-353-352,ČEZ,50496.0,,,,
29,28469267,351726187,110000,3-6,line,50,-353-352,ČEZ,26528.0,,,,
30,28469267,352804628,110000,3-6,line,50,939-939- 940-940,,11236.0,,,,
31,28469267,50722168,110000,3-6,line,50,939-939- 940-940,,674.0,,,,
32,28469267,28099182,110000,3-6,line,50,937- 938-937,,8677.0,,,,
33,28469267,119955058,110000,6,line,50,335- 336,,25490.0,,,,
34,28469267,156924105,110000,3-6,line,50,335-335- 336,,12825.0,,,,
35,28469267,351723369,110000,3-6,line,50,335-335- 336,,12856.0,,,,
36,331352089,28622793,110000,3-12-6,line,50,,ČEZ,27622.0,,,,
37,331352089,385105591,110000,3-6,line,,,ČEZ,7285.0,,,,
38,168595485,183396029,110000,6,line,50,,,13774.0,,,,
39,168595485,183396026,110000,6,line,50,,,21631.0,,,,
40,168595485,183396024,110000,6,line,50,,,17788.0,,,,
41,168595485,183396028,110000,6,line,50,,,8125.0,,,,
42,28624926,169215966,110000,,line,50,,ČEZ Distribuce,4763.0,,,,
43,28624926,174434360,110000,,line,50,,ČEZ Distribuce,9618.0,,,,
44,96378914,52045772,110000,3,line,50,,,31519.0,,,,
45,96378914,228053170,110000,,line,50,,,13124.0,,,,
46,32719537,28477054,110000,3-6,line,50,1269- 1270-1269,ČEZ,33566.0,,,,
47,32719537,171141043,110000,3,line,50,,ČEZ,52527.0,,,,
48,32719537,365287390,110000,3,line,50,,ČEZ,25164.0,,,,
49,153452591,27849030,110000,3,line,50,,E.ON,38727.0,,,,
50,153452591,153465264,110000,3-6,line,50,,E.ON,26371.0,,,,
51,153452591,146724818,110000,3,line,50,,E.ON,28220.0,,,,
52,55463603,55512551,110000,6,line,50,,,18685.0,,,,
53,55463603,55441028,110000,6,line,50,,,33995.0,,,,
54,174434360,165173130,110000,,line,50,,ČEZ Distribuce,3730.0,,,,
55,174434360,174434361,110000,,line,50,,,7713.0,,,,
56,174434360,228053170,110000,,line,50,,,7349.0,,,,
57,31821888,180936924,110000,6,line,50,,,33529.0,,,,
58,31821888,52499238,110000,6,line,50,,,24300.0,,,,
59,31821888,182535794,110000,3,line,50,,,13110.0,,,,
60,175468620,28626812,110000,12-6,line,50,,ČEZ Distribuce,30512.0,,,,
61,175468620,146890729,110000,6,line,50,,ČEZ Distribuce,18146.0,,,,
62,175468620,28625556,110000,6,line,50,,ČEZ Distribuce,9451.0,,,,
