n_id,longitude,latitude,type,voltage,frequency,name,operator
135753732,14.7699048424,48.9118844123,substation,None,,Lipnice,ČEPS
28479829,14.4220282776,49.0253100274,substation,None,,Dasný,ČEPS
119477895,14.5050606352,48.9939381863,substation,None,,Škoda,
119926403,14.9922129276,49.1517549189,substation,None,,Jindřichův Hradec,ČEPS
39375958,14.7207032037,49.2097396272,substation,None,,Veselí nad Lužnicí,ČEPS
28268556,15.8351835806,50.335906823,substation,None,,Neznášov,
180936924,16.2693059079,50.1723067749,substation,None,,Rychnov,
28475691,15.1123969997,50.6578117451,substation,None,,Bezděčín,
52463637,15.3424385474,50.4078965158,substation,110000,50,rozvodna Staré Místo,
183055070,15.3134380423,50.5910531137,substation,None,,Semily,
52499238,15.9566137387,50.5767841629,substation,None,,Poříčí,
228241376,15.5270502717,50.4999943012,substation,110000,50,Nová Paka,
383770383,15.8237820483,50.2236215706,substation,110000-35000,,Hradec Králové Sever,ČEZ
64781742,15.7672515732,50.2511364642,substation,110000-35000,50,Všestary,ČEZ
345071630,12.7288517112,49.8615397805,substation,None,,Planá,
171141043,12.6604666353,49.7919185773,substation,None,,Tachov,ČEPS
208895907,12.997971242,49.7640555861,substation,110000-22000,,Stříbro,ČEZ
146081210,12.6723327125,49.9285930634,substation,None,,Drmoul,ČEPS
164794384,15.0899362917,50.7067753363,substation,110000,50,Jeřmanice,ČEPS
183259379,15.1563230417,50.7350541645,substation,110000,50,Jablonec Sever,
173703244,15.1379860911,50.7459506,substation,110000,50,Jablonec Rýnovice,
164794385,14.8304252932,50.7090988483,substation,None,,,ČEPS
130160224,14.7533309137,50.6938989473,substation,110000,50,Noviny,ČEPS
28469267,13.235301908,50.3990265632,substation,None,50,Vernéřov,
52246673,13.249663628,50.4118715121,station,None,,,
351699456,13.4202032609,50.4500106834,substation,None,,Chomutov,
28346300,13.2575413516,50.4160348949,generator,None,,Elektrárna Prunéřov,
123255601,13.9748407909,50.1420400443,substation,110000-22000,,Tuchlovice,ČEZ
129317021,13.7302863413,50.1352701929,substation,110000-22000,,Lišany,ČEZ
207321876,13.6886845553,50.0830127043,substation,110000-22000,,,ČEZ
28349754,13.6947152392,50.3957909583,substation,400000-220000-110000,,Výškov,ČEPS
336719563,13.544404024,50.3454860023,substation,110000-22000,,,ČEZ
351726187,13.3925058451,50.2222967414,substation,None,,Podbořany,
352804628,13.3363077939,50.4454214422,substation,None,,Málkov,
50722168,13.2438867181,50.3988608473,substation,110000,,,SŽDC
28099182,13.3406071432,50.3851730072,plant,None,,Elektrárna Tušimice,
119955058,12.9281853604,50.3086601394,substation,110000-22000,,Ostrov,ČEZ
156924105,13.1075206042,50.425749024,substation,None,,,
351723369,13.1067681808,50.4261858993,substation,None,,Měděnec,
331352089,15.3738062204,49.9075285326,substation,110000-20000,,Čáslav,ČEZ
28622793,15.3613244806,50.0549170189,substation,400000-110000,,Týnec,
385105591,15.2860491144,49.9365352792,substation,110000-22000,,Kutná Hora,
168595485,15.0108892898,50.7576090226,substation,110000-35000,,Ostašov,
183396029,15.0996086032,50.7580563187,substation,110000,50,Liberec Východ,
183396026,14.8663168843,50.8529299009,substation,None,,rozvodna Hrádek,
183396024,15.063936382,50.8994780524,substation,110000,50,Frýdlant,
183396028,15.0544379958,50.788372138,substation,110000,50,Liberec Pavlovice,
28624926,18.5079874572,49.7855568442,substation,400000,50,Albrechtice,ceps_cz
169215966,18.4502828139,49.781665868,substation,110000,50,Havířov,
174434360,18.4624955972,49.8495738437,substation,110000,50,Doubrava,
96378914,18.3367102737,49.8950146405,substation,110000,50,Bohumín,
52045772,18.3242648292,49.7751139347,substation,110000,50,Transformovna Vratimov,ČEZ Distribuce
228053170,18.4659947758,49.9043196703,substation,110000,50,Dětmarovice,
32719537,12.9489178551,49.4504755622,substation,110000-22000,,Domažlice,ČEZ
28477054,13.3352804209,49.5896898733,substation,400000-220000-110000,50,Rozvodna Přeštice,ČEPS
365287390,12.7242374143,49.5926753895,substation,110000-22000,,Bělá nad Radbuzou,ČEZ
153452591,17.0087922081,49.2876699056,station,None,,,
27849030,16.6990470246,49.1122705171,substation,None,,Sokolnice,
153465264,16.9901964075,49.1434147767,substation,None,,,
146724818,17.1281797471,49.4627232972,substation,110000-22000,50,Prostějov,E.ON
55463603,16.9271832507,50.0675220254,substation,110000,50,Hanušovice,
55512551,16.9964025151,49.9620635973,substation,110000,50,Šumperk,
55441028,17.2284927571,50.258835575,substation,110000,50,Česká Ves,
165173130,18.4414992412,49.8294884914,substation,110000,50,Lazy,
174434361,18.4239853783,49.8778187146,substation,110000,50,Orlová,
31821888,16.1694511542,50.4331055145,substation,None,,Náchod,
182535794,16.2437867532,50.5290288021,substation,None,,Police nad Metují,
175468620,17.4094208649,49.4510287682,substation,110000,50,Dluhonice,
28626812,17.5596268041,49.2167590809,substation,400000,50,Otrokovice,ceps_cz
146890729,17.2967066434,49.5883690781,substation,110000,50,Hodolany,
28625556,17.4979925893,49.5030565077,substation,400000,50,Prosenice,ceps_cz
175468621,17.134681819,49.554197041,substation,110000,50,Lutín,
175468624,17.2409761823,49.6088506824,substation,110000,50,Olomouc Sever,
31098802,17.0756813874,49.7285675471,substation,None,,Červenka,
158533715,16.4760602806,50.0677108128,substation,110000-35000,50,Žamberk,ČEZ
115971433,16.3559519096,49.9738733264,substation,None,,Ústí nad Orlicí,ČEPS
175288408,18.5275269689,49.8293550349,substation,110000,50,Darkov H,
170327100,18.5830144599,49.8257011492,substation,None,,"Stacja elektroenergetyczna 110kV ""Pogwizdów""",
383762521,14.1756633262,50.7611888276,substation,110000,50,Děčín,
383765913,14.2006271739,50.7028139635,substation,110000,50,TT Těchlovice,
144965332,14.5425119823,50.9378769637,substation,None,,Transformovna Podhájí,ČEZ Distribuce a.s.
28479110,14.4557853411,50.635479752,substation,None,,Babylon,
383760975,14.2440124265,50.7758672033,substation,110000,50,Děčín Východ,ČEPS
30079067,15.2744831242,50.1430277089,station,None,,,
124076133,14.0156886813,49.7021189001,substation,None,,Příbram,ČEPS
28478418,14.0707619394,49.5961470963,substation,220000-110000,,Milín,
69549530,14.4055122879,49.6529827772,substation,None,,Sedlčany,ČEPS
124076134,14.0223041805,49.6559321749,substation,None,,Příbram Brod,
187068433,18.2879747231,49.7430472127,substation,110000,50,Důl Paskov,
383977579,13.9818757486,50.645639588,substation,110000,50,Trmice,
134165722,13.9859256601,50.6344447955,substation,None,,Rozvodna Koštov,ČEZ
189732541,18.2738873293,49.8616887868,substation,110000,50,,
28346605,18.2102162632,49.8315080017,plant,None,,Elektrárna Třebovice,
107708528,15.6405715405,49.8945168432,substation,110000,50,Prachovice,ČEPS
28348269,15.649198618,50.0318842917,substation,220000,50,Opočínek,
28469397,14.3517586533,49.1581804931,substation,400000-110000,,Rozvodna Kočín,ČEPS
119308538,14.4787204198,49.3079920629,substation,None,,Bechyně,ČEPS
28622657,14.6900219309,49.4116049781,substation,220000-110000-22000,,Tábor,ČEPS
37263951,14.3821015538,49.187723942,substation,110000-22000,,Rozvodna Křtěnov,E.ON
122541083,14.4454420771,49.1795875241,substation,110000,,Hněvkovice,ČEPS
121269607,14.3580031466,49.0868024853,substation,110000-22000,,Mydlovary,E.ON
344518073,13.9335481462,49.2579661947,substation,None,,,
121263177,13.90369196,49.2460540689,substation,None,,Strakonice,ČEPS
344514797,13.9039515332,49.2554808291,substation,None,,,
121496815,14.0721672137,49.5146885491,substation,110000-22000,,Mirovice,ČEZ
121275040,14.1642436354,49.296525077,substation,110000-22000,,Písek,E.ON
162386073,15.4683524179,49.8393876737,substation,110000,50,ČD Golčův Jeníkov,
133022143,15.5697031074,49.8745308186,substation,110000-35000,,Třemošnice,ČEZ
173967524,18.2168775704,49.7868205055,substation,110000,50,Výškovice,
173961426,18.2465912608,49.7978977711,substation,110000,50,Rudná,
36886693,17.6362027953,49.0174407,substation,110000,50,Uherský Brod,
178932176,17.508497454,48.8891193813,substation,110000,50,Velká nad Veličkou,
178933577,17.8847746314,49.092302495,substation,110000,50,Slavičín,
263350462,17.3135328937,49.3407301884,substation,110000,50,Kojetín,
175564785,17.3696345211,49.3577939838,substation,110000,50,Chropyně,
20306113,16.5558640419,49.1720909087,substation,110000,50,Bohunice,ČEPS
39191499,16.5703087947,49.2368965345,substation,110000,50,Medlánky,E.ON
26143409,16.4580807823,49.330315889,substation,400000-110000-25000,50,Čebín,
59266202,16.6310516336,49.1670787607,substation,110000-22000,,Komárov,E.ON
354253088,16.5931718983,49.1577589284,substation,None,,,
28516554,13.2505816621,50.4130061553,substation,None,,,
173961425,18.2880567442,49.7982405676,substation,110000-22000,50,Kunčice,
173961427,18.3087435663,49.7969788774,substation,110000,50,ZE ArcellorMittal,
180936925,16.2872110858,50.1252271406,substation,110000,50,Vamberk,
139999456,13.5141543333,49.656181129,substation,110000-25000,,Nezvěstice,SŽDC
345202163,13.6143544731,49.7344558702,substation,110000-22000,,Rokycany,ČEZ
136626404,16.6492596327,49.3461777734,substation,110000,,ČD Blansko,
116116726,16.6462350222,49.3497993166,substation,110000-22000,50,Blansko,E.ON
161606354,15.4501657128,49.0804179143,substation,None,,Dačice,E-ON
50406900,15.478747901,49.1904837042,substation,None,,Telč,E.ON
80111855,13.4932729669,49.1050707985,substation,None,,,ČEPS
171146917,13.2768374084,49.3871214438,substation,None,,Klatovy,ČEPS
145710018,13.5156286302,49.2438793961,substation,None,,Sušice,ČEPS
118708472,14.674474931,49.4664042322,substation,110000-25000,,ČD Chotoviny,
103593419,15.2088233205,49.4401845764,substation,None,,Pelhřimov,ČEPS
344896034,14.9948355637,49.4823738957,substation,110000-22000,,Pacov,E.ON
239040766,14.9131827578,49.8775702353,substation,110000,50,Sázava,ČEZ
61815982,14.6761454481,49.7884431363,substation,110000-22000,,Benešov,ČEZ
86510323,15.0765547389,49.8754336349,substation,110000-22000,,Uhlířské Janovice,ČEZ
27867392,16.1188916753,49.1037540068,substation,400000-110000,,Slavětice,
330184053,16.1468888533,49.0874266015,substation,None,,,
330184054,16.150932652,49.0863465453,substation,None,,,
117481448,15.8390551309,49.2106569129,substation,None,,Třebíč,E.ON
117623565,16.0788283344,48.8638811779,substation,None,,Znojmo,E.ON
177486095,17.5247464641,49.2161435013,substation,110000,50,Bahňák,
177486100,17.5284618636,49.2068611168,substation,110000,50,ČD,
296469230,17.517849799,49.2048675034,substation,110000,50,Barum,
177486097,17.5070162005,49.1730922178,substation,110000,50,Fatra Napajedla,
177486099,17.5720987659,49.2098286667,substation,110000,50,ZPS Malenovice,
40631840,17.6419221284,49.2291160205,substation,110000,50,Mladcová,
26593569,15.614332653,49.3896889693,substation,110000-22000,,Kosov,E.ON
44797428,15.5910355226,49.4235249067,substation,110000-22000,,Bedřichov,E.ON
28382372,15.5991626906,49.5808836241,substation,400000-110000,50,Mírovka,
37095731,15.6234158713,49.439698132,substation,110000,,Heroltice,E.ON
335749852,14.3015565822,50.2898988792,substation,110000,,,
109399285,14.3438916394,50.257836972,substation,110000-22000,50,Transformovna 100/22,ČEZ
109399295,14.0812286781,50.240601641,substation,110000-22000,50,,ČEZ
28457258,14.3299356881,50.0157664795,substation,None,,Rozvodna Řeporyje,
50545596,14.1389338702,50.1378277883,substation,110000-22000,,,ČEZ
175341319,14.3437732722,50.0410737208,substation,None,,,
28478409,14.5037403435,50.0179792858,substation,None,50,Chodov,
69918072,14.3387728684,49.9964671244,substation,110000,50,,
33197270,14.4222874422,50.0146671449,substation,None,,Lhotka,
173150786,14.0834364408,49.9536568862,substation,110000-22000,50,Beroun,ČEZ
123257184,14.4354249964,49.825882779,substation,110000-22000,,Slapy,ČEZ
28570472,14.2848882122,50.0519045787,substation,110000-22000,50,Zličín,PRE
130865867,14.3639416493,50.0754240162,substation,110000-22000,50,Praha západ,PRE
183205194,14.9367448425,50.4162051288,substation,None,50,Ško-Energo,
26083632,14.4441040804,50.1340208678,substation,110000-22000,,Praha sever,PRE-ČEZ
93215322,14.3962332366,50.1461358044,substation,110000-3000,,ČD Roztoky,SŽDC
28458560,14.4830374583,50.1330456781,substation,110000-22000,50,Letňany,PRE
25838372,14.5296823294,50.0840979582,substation,220000-110000-22000,,Malešice,ČEPS-PRE
42939782,14.552011139,50.1102050309,substation,110000-22000,,Černý Most,PRE
28140255,14.5122495064,50.113696037,substation,110000-22000,,Praha východ,PRE
28284525,14.4142080226,50.4134618038,plant,None,,Elektrárna Mělník,ČEZ
14191867,14.5129740437,50.2729791644,substation,110000,,Transformační Stanice - Spolana,
335879586,14.5143382431,50.1661196993,substation,110000-22000,,Třeboradice,
43140796,14.3636993435,50.3304823414,substation,110000,50,Rozvodna Vraňany,
97212742,16.2523976705,49.5327714779,substation,110000,50,Bystřice- Rozvodna el. napětí,E.ON
116721652,16.2248243234,49.4804626059,substation,110000,50,Rožínka,E.ON
24911284,15.9544438397,49.5523193532,substation,110000,50,Žďár nad Sázavou,E.ON
179958090,16.8657245341,49.9571746327,substation,110000,50,Císařské papírny,
176768643,16.8989057023,49.8668584607,substation,110000,50,Ráječek,
336817256,14.0209180429,49.0460059766,substation,None,,Prachatice,
92200577,14.2401075911,48.6329604695,generator,None,,Lipno I,ČEZ
30733824,14.3384272622,48.8264728518,substation,None,,,
135761299,14.4349995695,48.9890735485,substation,None,,Západ,ČEPS
135761298,14.4796024214,48.9973747142,substation,None,,Sever,ČEPS
119595809,14.4929095436,48.9546238151,substation,None,,Mladé,ČEPS
213898032,14.2471350093,49.6338734321,generator,None,,Kamýk,
89099639,14.2739798962,49.8703692209,substation,None,,Mníšek,ČEPS
123338028,14.1586648383,49.9303095586,substation,110000-3000,,Karlštejn,SŽDC
335879570,14.3790183615,50.4629559828,substation,110000,,,
146727284,13.8818604662,50.6614521036,substation,None,,,
344257272,13.7954032507,50.5719090369,substation,None,,,
197827799,13.8014303535,50.5830877139,substation,None,,Chotějovice,
134221053,13.8087126343,50.6602115529,substation,None,,,
119472516,14.7069635392,49.372123938,substation,110000-22000,,Planá,E.ON
318341517,14.5050574251,50.2703428094,substation,110000-22000,,,ČEZ
335879588,14.5073031335,50.3545263374,substation,110000-22000,,,ČEZ
335879589,14.7023380938,50.2050726666,substation,110000-3000,,,SŽDC
167521896,14.7283446564,50.1626630303,substation,110000-22000,,,ČEZ
88376729,15.3188270487,49.3053780098,substation,None,,Horní Cerekev,ČEPS
50161248,15.2325096385,49.2659202254,substation,None,,Počátky,ČEPS
87532982,15.3375487536,49.5462223691,substation,None,,Humpolec,E.ON
365054375,13.858818301,49.8309466633,substation,110000-22000,,Hořovice,ČEZ
365054377,13.7771113365,49.8544068116,substation,110000-22000,,Zbiroh,ČEZ
123338029,13.9695266011,49.9040304111,substation,110000-25000,,Zdice,SŽDC
133022142,15.6622914939,49.7233960023,substation,110000-35000,,Chotěboř,ČEZ
133002420,15.5552423067,49.6097991377,substation,110000-22000,50,Havlíčkův Brod,ČEZ
178932175,17.1183317243,48.8780341117,substation,110000,50,Pánov,
152005934,17.1393644002,49.0050921922,station,None,,,
28346937,17.120075749,48.8472598382,plant,None,,Elektrárna Hodonín,
39260992,17.3759418212,48.9390315219,substation,110000,50,Veselí,
117074389,16.6535450112,49.1851394264,substation,110000,,Černovice,E.ON
65234592,16.6661219189,49.2062811323,substation,110000-22000,,,E.ON
178932184,16.8645820799,48.981971589,substation,110000,50,MERO,
117934880,16.9704188099,48.7690605634,station,None,,Tvrdonice,ČEPS
