l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,131443969,119682338,132000,3,line,50,,,12165.0,,,,,
2,234340226,316584037,132000,,cable,50,,,2672.0,,,,,
3,234340226,199713878,132000,,cable,50,,,3863.0,,,,,
4,316553131,28101547,132000,,cable,50,,,602.0,,,,,
5,147072133,26314408,132000,,cable,50,,,4570.0,,,,,
6,147072133,98662856,132000,,cable,50,,,1508.0,,,,,
7,147072133,28012651,132000,,cable,50,,,1995.0,,,,,
8,27688585,133097659,132000,6,line,50,,,18030.0,,,,,Yes
9,27688585,26452107,132000,6,line,50,,Energinet.dk,6925.0,,,,,Yes
10,27688585,133082320,132000,6,line,50,,Energinet.dk,10961.0,,,,,Yes
11,27688585,27605372,132000,6,line,50,,Energinet.dk,24714.0,,,,,Yes
12,198614550,28101547,132000,,cable,50,,,1966.0,,,,,
13,198614550,27363746,132000,,cable,50,,,6545.0,,,,,
14,26452107,133097659,132000,6,line,50,,,24728.0,,,,,Yes
15,26452107,133097675,132000,6,line,50,,,18150.0,,,,,Yes
16,26452107,26348584,132000,6,line,50,,,10187.0,,,,,Yes
17,26452107,133082317,400000,6,line,50,,Energinet.dk,6912.0,,,,,Yes
18,26452107,98662856,132000,,cable,50,,,8915.0,,,,,
19,26931725,132871261,132000,6,line,50,,,6175.0,,,,,Yes
20,26931725,26931696,132000,,cable,50,,Energinet.dk,2675.0,,,,,
21,132259984,132152046,132000,6,line,50,,,28299.0,,,,,Yes
22,132259984,132260795,132000,6,line,50,,,16298.0,,,,,Yes
23,132259984,132655852,132000,3,line,50,,Energinet.dk,22993.0,,,,,
24,132259984,198032046,132000,3,line,50,,,35797.0,,,,,
25,25637523,105589971,132000,,cable,50,,,5379.0,,,,,
26,25637523,105082490,132000,,cable,50,,,10781.0,,,,,
27,25637523,294098477,132000,,cable,50,,,7073.0,,,,,
28,25637523,27534623,132000,,cable,50,,,15164.0,,,,,
29,198032046,94092311,132000,3,line,50,,,3193.0,,,,,
30,198032046,198038558,132000,,cable,50,,,3056.0,,,,,
31,133097675,199399847,132000,,cable,50,,,7591.0,,,,,
32,94092311,177555837,132000,,cable,50,,,1269.0,,,,,
33,94092311,198038556,132000,,cable,50,,,2444.0,,,,,
34,27534623,131339681,132000,6,line,50,,,18766.0,,,,,Yes
35,27534623,27535037,132000,6,line,50,,,8722.0,,,,,Yes
36,27534623,133082281,132000,6,line,50,,,17782.0,,,,,Yes
37,131339681,188042660,132000,6,line,50,,,1062.0,,,,,Yes
38,27363746,27363450,132000,3,line,50,,,14749.0,,,,,
39,27363746,28101547,132000,6,line,50,,,7181.0,,,,,Yes
40,27363746,132653860,132000,6,line,50,,Energinet.dk,13513.0,,,,,Yes
41,27363746,26931696,132000,6,line,50,,,15064.0,,,,,Yes
42,27363746,132655852,132000,3,line,50,,,7827.0,,,,,
43,132653860,94167590,132000,6,line,50,,Energinet.dk,27800.0,,,,,Yes
44,132653860,177555837,132000,6,line,50,,Energinet.dk,54204.0,,,,,Yes
45,132620453,94167590,132000,6,line,50,,Energinet.dk,19188.0,,,,,Yes
46,26314408,316584037,132000,,cable,50,,,6877.0,,,,,
47,26314408,27730861,132000,,cable,50,,,6754.0,,,,,
48,26314408,26348584,132000,6,line,50,,,7548.0,,,,,Yes
49,133082281,27605372,132000,6,line,50,,,2233.0,,,,,Yes
50,28101547,26348584,132000,6,line,50,,Energinet.dk,14949.0,,,,,Yes
51,27730861,399011051,132000,,cable,50,,,2532.0,,,,,
52,134265134,119677395,132000,,cable,50,,,21418.0,,,,,
53,132871261,25134192,132000,,cable,50,,,6359.0,,,,,
54,132865713,165635531,132000,,cable,50,,Energinet.dk,2454.0,,,,,
55,132865713,27363450,132000,6,line,50,,,10903.0,,,,,Yes
