n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
131443969,11.9414399066,54.7483389919,substation,50000,,132 kV Idestrup,Energinet.dk,Yes
119682338,11.8931389217,54.8480376729,substation,50000,,132 kV Eskilstrup,Energinet.dk,Yes
234340226,12.4945156216,55.6589979523,substation,132000,,132 kV Vigerslev,,
199713878,12.5560683766,55.6567478632,plant,0,,H.C. Ørstedsværket,DONG Energy,
316553131,12.1666924787,55.6463118489,substation,50000,,1320/50 kV Nymøllegård,,Yes
28101547,12.156841243,55.6484289192,substation,132000,,132kV Vindingegård,Energinet.dk,
147072133,12.3982006395,55.7284681798,substation,132000,,132kV Dyregård,Energinet.dk,
26314408,12.3974896673,55.6864986148,substation,50000,,132kV Ejbygård,Energinet.dk,Yes
98662856,12.3742575217,55.7251318106,substation,132000,,132kV Ballerupgård,,
28012651,12.398700643,55.747178038,substation,132000,,132kV Hareskovgård,Energinet.dk,
27688585,12.1409221292,55.7646269017,substation,50000,,132/50 kV Ølstykkegård,,Yes
133097659,11.884271907,55.8133643155,plant,0,,Kyndbyværket,DONG Energy,
26452107,12.2337990197,55.7322840256,substation,132000,,400/132 kV Hovegård,Energinet.dk,Yes
133082320,12.1901105161,55.7912183599,substation,50000,,132kV Sperrestrupgård,,Yes
27605372,12.1784595693,55.9080457872,substation,50000,,132/50 kV Borup,,Yes
198614550,12.1276233989,55.6429680336,substation,10000,,132 kV Hedegård,,Yes
27363746,12.0729896403,55.6085309705,substation,50000,,132/50 kV Kamstrup,Energinet.dk,Yes
133097675,11.9834223878,55.7997239534,substation,132000,,132 kV Lyngerup,Dong Energy,
26348584,12.3191241881,55.6607139915,substation,50000,,132/50 kV Vejleå,Energinet.dk,Yes
133082317,12.3327915523,55.7382531624,substation,0,,,,
26931725,12.3205385239,55.6323746226,substation,132000,,400/132 kV Ishøj,,Yes
132871261,12.4081993552,55.6311323246,substation,50000,,Brøndbygård,,Yes
26931696,12.3029167552,55.6122029306,substation,50000,,132kV Flaskegård,,Yes
258823566,12.4361202944,55.6301120459,substation,0,,,,
199713891,12.4793392995,55.6043845406,substation,400000,,,,
258823567,12.4364752342,55.6298255245,substation,0,,,,
132259984,11.6416576401,55.5448518824,substation,50000,,132/50 kV Nyrup,,Yes
132152046,11.2967950569,55.4010694114,substation,50000,,132 kV Hejninge,,Yes
132260795,11.7478942805,55.4358492954,substation,50000,,132 kV Ringsted,,Yes
132655852,11.9878733523,55.5764984824,sub_station,50000,,132kV Ostedgård,,Yes
198032046,11.1193688118,55.6426918007,substation,132000,,132kV Søstremosegård,Energinet.dk,
25637523,12.4990128357,55.7523198074,substation,50000,,400/132/50 kV Glentegård,,Yes
105589971,12.5195854061,55.7048215736,substation,132000,,132kV Bellahøj,Energinet.dk,
105082490,12.6244195781,55.6850341845,substation,132000,,Amagerværkets Koblingsstation,,
294098477,12.5881321407,55.7133172963,plant,0,,Svanemølleværket,,
27534623,12.4717557092,55.8888787589,substation,50000,,132/50 kV Stasevang,Energinet.dk,Yes
94092311,11.0843877226,55.6599443191,substation,132000,,132kV Asnæsværket,,
198038558,11.1382024939,55.6680721513,substation,132000,,132kV Rendsborgparken,,
199399847,11.931332393,55.7377460582,substation,50000,,132/50 kV Skibbygård,,Yes
