n_id,longitude,latitude,type,voltage,frequency,name,operator
35379726,25.3213224997,59.3557621048,substation,110000-35000-10000,,Kehra alajaam,Elering-Elektrilevi
204914596,25.0411723608,59.3607746722,substation,330000-110000-10000,,Aruküla 330kV alajaam,Elering-Elektrilevi
35384064,25.9745436664,59.2563602068,substation,110000-35000-10000,,Tapa alajaam,Elering-Elektrilevi
264287766,27.2421869229,59.3838538494,substation,110000,,PTK alajaam,Elering
34920675,27.0660716536,59.3689387219,substation,330000-220000-110000-10000,,Püssi alajaam,Elering-Elektrilevi
34682059,28.1195380997,59.3571835035,substation,330000-110000,,Balti EJ alajaam,Elering
139400061,27.9115023946,59.2714853359,substation,110000-35000-6000,,Eesti EJ OT alajaam,Elering-Elektrilevi
35367480,27.7533968115,59.3091707038,substation,110000-35000,,Sirgala alajaam,Elering-VKG Elektrivõrgud
35594697,27.422307937,59.3374101932,substation,110000-6000,,Pargi alajaam,Elering-Elektrilevi
205980356,27.4589112161,59.3148557097,substation,110000-35000-6000,,Ahtme alajaam,Elering-Elektrilevi
35450914,24.4957039757,58.5965615353,substation,110000-35000-10000,,Pärnu-Jaagupi alajaam,Elering-Elektrilevi
35450930,24.6703561095,58.4288933795,substation,330000-110000,,Sindi alajaam,Elering-Elektrilevi
35450940,25.0256082229,58.6586574244,substation,110000-35000-10000,,Vändra alajaam,Elering-Elektrilevi
35445361,24.9838286061,58.1574387273,substation,110000-35000-15000,,Kilingi-Nõmme alajaam,Elering-Elektrilevi
263043288,25.5665275759,58.3750506435,substation,110000-35000-15000-6000,50,Viljandi alajaam,Elering-Elektrilevi
35450875,24.7037181009,58.3445768715,substation,110000-10000,,Kabli alajaam,Elering-Elektrilevi
263962720,24.6394575646,58.3772305845,substation,110000-10000,,Paikuse alajaam,Elering-Elektrilevi
35450920,23.996974527,58.5452762064,substation,110000-10000,,Lõpe alajaam,Elering-Elektrilevi
35450919,24.3113338375,58.4080394922,substation,110000-35000-10000,,Audru alajaam,Elering-Elektrilevi
35394600,26.4991837885,58.0674302899,substation,110000-35000-10000,,Otepää alajaam,Elering-Elektrilevi
35420119,26.4154483933,58.2381401113,substation,110000-15000-400,,Elva alajaam,Elering-Elektrilevi
35367472,27.4009127215,59.2025165432,substation,110000-35000-6000,,Alutaguse alajaam,Elering-Elektrilevi
35594689,27.3407516684,59.2503619228,sub_station,None,,,
34903294,27.5971152681,59.2214241729,substation,110000-35000-6000,,Konsu alajaam,Elering-Elektrilevi
263282454,27.2585342727,59.2924655127,substation,110000-6000,,Kiikla alajaam,Elering-Elektrilevi
35367491,27.0623650908,59.3412668444,substation,110000-35000-10000-6000,,Aidu alajaam,Elering-Elektrilevi
290177759,27.4720788904,59.2284025299,substation,110000,,Illuka alajaam,Elering
35451776,26.9153354377,58.8495390963,substation,110000-35000-15000-10000,,Mustvee alajaam,Elering-Elektrilevi
35451774,26.4185803596,58.7463253116,substation,110000-35000-15000-10000,,Jõgeva alajaam,Elering-Elektrilevi
263282453,26.5985602698,58.8198984978,substation,110000-10000,,Kantküla alajaam,Elering-Elektrilevi
35022089,22.4903432993,58.2721366599,substation,110000-35000-10000,,Sikassaare alajaam,Elering-Elektrilevi
35022082,23.0780433794,58.5545785093,substation,110000-10000,,Orissaare alajaam,Elering-Elektrilevi
35022087,22.754253587,58.4079824904,substation,110000-10000,,Valjala alajaam,Elering-Elektrilevi
35022100,22.6904869442,58.5664108798,substation,110000-35000-10000,,Leisi alajaam,Elering-Elektrilevi
35367481,27.719075671,59.3941876552,substation,110000,,Allika alajaam,Elering
35451772,25.5002474268,58.5309989915,substation,110000-15000,,Suure-Jaani alajaam,Elering-Elektrilevi
35451763,25.4301715538,58.8190054935,substation,110000-35000-10000,,Türi alajaam,Elering-Elektrilevi
35343343,25.5299886738,58.8771109773,substation,330000-110000-35000-10000,,Paide alajaam,Elering-Elektrilevi
35594719,27.1445260329,59.2970421088,station,None,,,
34920713,26.2367230637,59.1269428407,substation,110000-35000-10000,,Väike-Maarja alajaam,Elering-Elektrilevi
34920699,26.3300561179,59.3519935707,substation,330000-110000-35000-10000,,Rakvere alajaam,Elering-Elektrilevi
35445333,26.7718878439,57.9813412107,substation,None,,,
35445334,27.026081136,57.8567534654,substation,110000-35000-10000,,Võru alajaam,Elering-Elektrilevi
35420117,26.6968349214,58.1539606553,substation,110000-10000,,Maaritsa alajaam,Elering-Elektrilevi
262457166,26.244782311,58.1349314646,substation,110000-35000-15000-10000,,Rõngu alajaam,Elering-Elektrilevi
34682089,26.6909671827,58.3794496548,substation,330000-110000-35000-15000-10000,50,Tartu alajaam,Elering-Elektrilevi
35445340,27.0207250211,57.8288808998,substation,110000-10000,,Soo alajaam,Elering-Elektrilevi
35594687,27.2949114739,58.03692961,substation,110000-10000,,Ruusa alajaam,Elering-Elektrilevi
35445343,27.0763716919,58.0700494501,substation,None,,Põlva alajaam,Elering-Elektrilevi
182242759,26.9416161605,57.7360613861,substation,110000-10000,,Rõuge alajaam,Elering-Elektrilevi
34685113,26.17738886,57.8476619498,substation,330000-110000-35000-10000,,Tsinguliina alajaam,Elering-Elektrilevi
35445335,26.5991107093,57.6232562921,substation,110000-35000-10000,,Mõniste alajaam,Elering-Elektrilevi
