id,n1_id,n2_id,length,voltage
1,1,2,77699.2451381,20000
2,3,4,42445.5547229,20000
3,5,6,102.786481231,20000
4,7,8,10786.2317545,20000
5,7,9,66729.4512896,20000
6,10,11,21658.8119704,20000
7,12,13,16949.2899389,20000
8,12,9,20123.8806112,20000
9,14,15,22682.6917771,20000
10,4,16,7699.00832189,20000
11,4,17,30098.4202365,20000
12,4,18,87734.3649921,20000
13,17,19,167.188227229,20000
14,17,18,48141.3839964,20000
15,17,20,25813.6946398,20000
16,21,22,111353.828859,20000
17,21,23,101874.381036,20000
18,15,8,84881.8412576,20000
19,22,2,34849.784703,20000
20,11,24,27218.5751562,20000
21,25,18,40092.1233803,20000
22,13,26,10664.2103278,20000
23,13,27,32945.7262548,20000
24,27,28,243.413415478,20000
25,8,24,22773.433485,20000
26,29,30,6911.29109952,110000
27,31,32,5724.6448146,110000
28,33,34,42582.3310718,110000
29,35,36,735.278043694,110000
30,35,37,939.476325988,110000
31,38,39,4942.24810823,110000
32,40,41,2800.76733206,110000
33,40,42,4598.52397643,110000
34,40,43,6926.43898437,110000
35,40,44,10984.8850039,110000
36,45,46,33100.5566183,110000
37,47,48,1742.54680196,110000
38,49,50,4020.07949732,110000
39,51,52,43318.7977862,110000
40,51,53,25585.2828958,110000
41,54,55,1945.38927391,110000
42,54,22,6655.80712042,110000
43,56,57,8728.43346347,110000
44,56,58,2186.9646575,110000
45,56,59,9768.18167996,110000
46,56,60,19799.2979976,110000
47,56,61,8488.8598817,110000
48,56,62,9046.65621919,110000
49,56,63,12631.0709577,110000
50,56,64,3853.29725686,110000
51,56,65,7575.27967413,110000
52,57,63,6654.40154384,110000
53,66,67,25048.4777183,110000
54,66,68,27597.6107491,110000
55,69,70,32435.5718252,110000
56,69,16,28548.3432857,110000
57,44,71,9659.72066581,110000
58,44,72,25956.7558685,110000
59,73,74,16138.8300732,110000
60,75,76,43288.7781229,110000
61,60,32,4732.53095596,110000
62,60,77,3886.75525684,110000
63,78,79,7664.23926216,110000
64,80,81,19408.7242432,110000
65,63,82,4558.0426694,110000
66,83,84,14833.4237139,110000
67,85,86,32809.7775285,110000
68,87,88,29848.7039451,110000
69,87,16,41851.1169904,110000
70,89,67,36770.9374443,110000
71,90,91,11457.0947733,110000
72,92,93,16089.8267485,110000
73,92,94,21213.4562959,110000
74,95,96,32041.5623545,110000
75,97,15,145.20100471,110000
76,91,98,33852.1107679,110000
77,91,99,12658.4816486,110000
78,91,100,21213.2115704,110000
79,91,101,13092.669259,110000
80,91,102,16479.8055626,110000
81,91,103,21873.6022014,110000
82,104,105,4046.0003042,110000
83,106,107,2379.06232305,110000
84,106,108,5504.0406427,110000
85,86,109,8517.7117808,110000
86,110,99,4978.41155806,110000
87,111,112,24917.8503528,110000
88,111,113,36011.2717619,110000
89,114,115,5363.2214543,110000
90,116,117,10510.9305098,110000
91,116,118,41378.1561198,110000
92,119,120,46204.5386258,110000
93,121,39,47624.8684313,110000
94,2,122,10958.108179,110000
95,2,123,41438.2255919,110000
96,124,125,30484.8646465,110000
97,126,127,26396.1230432,110000
98,126,128,5007.53512218,110000
99,126,22,2348.46672286,110000
100,129,84,17046.7767484,110000
101,130,131,17421.4950346,110000
102,132,96,2710.26053371,110000
103,133,134,7747.04242059,110000
104,107,135,11836.9900423,110000
105,107,136,16215.3157813,110000
106,137,138,853.492275603,110000
107,22,139,25715.2417292,110000
108,22,21,103570.526657,110000
109,140,135,27749.3203285,110000
110,141,142,4662.73694698,110000
111,112,143,14151.3761398,110000
112,144,76,19038.7019509,110000
113,144,135,6788.7623403,110000
114,144,115,4519.36813529,110000
115,25,145,33229.404701,110000
116,146,16,24670.6148352,110000
117,93,147,61.6051913667,110000
118,148,149,73205.3281131,110000
119,150,118,44881.4850521,110000
120,150,34,43993.6224234,110000
121,151,152,30152.7881007,110000
122,151,48,10593.5491427,110000
123,135,153,21124.3518378,110000
124,135,154,26633.108302,110000
125,135,155,48979.1121055,110000
126,155,156,19121.8693881,110000
127,155,157,15597.2109308,110000
128,158,159,13028.4573175,110000
129,158,160,7406.0948191,110000
130,158,161,1483.30705911,110000
131,136,162,4854.27542864,110000
132,163,164,8370.71502433,110000
133,163,165,17933.388177,110000
134,163,166,469.656585526,110000
135,167,21,9445.13496091,110000
136,167,94,2124.52780287,110000
137,168,43,45095.5154596,110000
138,143,21,8679.65320041,110000
139,143,169,222.465580645,110000
140,143,170,7174.80334347,110000
141,171,145,29411.3193738,110000
142,171,34,29459.5597208,110000
143,171,172,3403.80676455,110000
144,173,32,3727.49809472,110000
145,53,174,2075.37068624,110000
146,175,176,3953.56785502,110000
147,177,109,17065.5555564,110000
148,178,179,2623.97161308,110000
149,180,181,886.146849807,110000
150,180,134,1345.49230111,110000
151,182,183,20935.8740959,110000
152,182,118,28241.5789683,110000
153,109,184,65740.1709054,110000
154,185,65,6079.70768995,110000
155,185,186,6898.27428369,110000
156,187,39,65.7036213665,110000
157,122,188,29934.0225686,110000
158,189,27,27709.9073552,110000
159,189,131,11637.1453777,110000
160,190,191,24818.7450261,110000
161,190,192,19511.4940014,110000
162,193,194,14217.5438403,110000
163,118,195,15004.3756536,110000
164,118,196,23935.8942484,110000
165,197,198,11435.3574615,110000
166,199,113,26603.7019193,110000
167,200,3,15257.8349449,110000
168,201,202,355.763318679,110000
169,201,203,4664.89505911,110000
170,201,204,8335.45722928,110000
171,201,205,11266.2810539,110000
172,206,204,1480.72927777,110000
173,207,208,34554.678668,110000
174,24,209,18517.733406,110000
175,210,211,17938.4811809,110000
176,3,212,47449.3046669,110000
177,213,214,39975.4994598,110000
178,213,215,45717.1448203,110000
179,213,216,43362.1843537,110000
180,213,217,38320.9839927,110000
181,218,134,4850.87799925,110000
182,43,142,6246.54522418,110000
183,188,128,29163.6638125,110000
184,59,77,5430.41411564,110000
185,59,219,195.85084959,110000
186,142,220,12419.1103086,110000
187,142,72,49480.8323268,110000
188,142,221,30429.6121187,110000
189,222,223,22031.5002951,110000
190,162,224,27361.1292288,110000
191,225,134,1945.66192714,110000
192,226,125,129.389537112,110000
193,226,81,19378.5385122,110000
194,217,227,44586.2074034,110000
195,228,229,4345.30252474,110000
196,230,174,127.291716643,110000
197,231,184,29827.6016768,110000
198,88,232,6562.97820183,110000
199,233,108,9215.52677312,110000
200,234,235,24701.9219392,110000
201,236,68,6279.18306624,110000
202,236,16,16190.4466614,110000
203,237,48,8189.79341503,110000
204,238,239,2052.58990293,110000
205,240,99,49040.1441007,110000
206,203,103,3802.27797194,110000
207,152,241,13071.8809727,110000
208,152,242,12988.3027025,110000
209,192,243,13739.9904216,110000
210,244,170,83.4482674392,110000
211,245,246,3200.94506326,110000
212,27,28,342.029957302,110000
213,247,248,393.477745053,110000
214,247,249,17113.009553,110000
215,248,249,16196.7393748,110000
216,250,251,18253.996959,110000
217,252,253,14510.087113,110000
218,254,243,16898.6581976,110000
219,255,42,2610.02752632,110000
220,256,257,5685.31315895,110000
221,256,258,2970.17379751,110000
222,84,259,33083.2694851,110000
223,84,260,42850.4544278,110000
224,84,194,42906.1836063,110000
225,261,165,24324.2152206,400000
226,261,189,62600.3277812,400000
227,261,11,23031.3209023,400000
228,165,16,67325.0223437,400000
229,165,262,18961.0231427,400000
230,118,34,16207.4090783,400000
231,118,109,45467.6440388,400000
232,96,210,34341.8565724,400000
233,96,263,82339.7449833,400000
234,96,207,42483.8589261,400000
235,96,80,28976.158162,400000
236,96,237,39175.980437,400000
237,96,16,45721.1152023,400000
238,219,56,9163.31394487,400000
239,219,152,22058.0865196,400000
240,219,264,88357.1676007,400000
241,219,30,66260.9366388,400000
242,194,263,54184.9236058,400000
243,194,265,47239.9950825,400000
244,194,84,46217.9167206,400000
245,194,169,13144.1541065,400000
246,266,189,21901.4092093,400000
247,266,262,44314.9365128,400000
248,266,11,42124.9781223,400000
249,109,44,8563.83172672,400000
250,56,240,103492.824579,400000
251,56,159,27576.8224859,400000
252,264,135,49093.2042041,400000
253,264,267,76.1100505708,400000
254,240,263,18145.593941,400000
255,262,34,43378.7476544,400000
256,268,162,47736.262938,400000
257,16,44,46286.2445035,400000
258,16,169,45589.7335882,400000
259,44,210,86620.3461644,400000
260,91,84,40688.7260953,400000
261,91,179,40850.048153,400000
262,91,226,90636.4391512,400000
263,84,269,33042.1832604,400000
264,270,265,2853.10399389,400000
265,21,169,8928.41468021,400000
266,135,30,34828.8720111,400000
267,135,162,48724.596168,400000
268,189,271,21786.0956143,400000
269,152,237,35632.6267953,400000
270,11,272,490.70336739,400000
271,265,263,63862.7160252,400000
272,265,273,2731.83801633,400000
273,226,125,296.571490262,400000
274,226,159,45636.6520698,400000
275,226,80,42482.7185397,400000
