n_id,longitude,latitude,type,voltage,frequency,name,operator
75612161,26.8091786703,60.5793494767,substation,110000,,,
144832705,26.9064315612,60.5988491955,substation,400000-110000,,,
28604436,24.9692613719,60.1854741503,sub_station,110000,,Suvilahti,
6268760,25.049838766,60.2064020739,sub_station,110000,,Herttoniemi,
232208451,28.0010175356,63.9793037104,substation,None,,,
208979069,27.2124700137,64.1053648992,substation,400000-110000,,,
187430983,25.7414410508,62.5931173717,substation,110000,,,
209207437,25.7337625819,62.5967006659,substation,110000,,,
187428237,25.7521773105,62.5914339676,substation,110000,,,
128571465,26.5394284197,60.4952274607,substation,None,,,
128571463,26.4501527612,60.492909363,substation,110000,,,
42594389,25.7956519406,62.270583826,substation,110000,,Kangasvuoren sähköasema,
285480163,25.7602579523,62.2523851383,substation,None,,,
87670572,25.8082234589,62.2371393035,substation,110000,,,
59014204,25.7814041784,62.217429065,sub_station,None,,Hämeenlahden sähköasema,
43143343,25.8475719674,62.3589844372,sub_station,None,,,
151998558,27.9502862409,61.897334852,substation,110000,,,
159153725,28.5615060267,61.9262880631,sub_station,None,,,
27175012,25.0858175731,60.4834488477,sub_station,None,,,
108980081,25.0845337177,60.4989765851,substation,110000,,,
178370665,24.764675031,60.3842312603,sub_station,None,,,
26358836,24.7447312956,60.4128197867,substation,110000,,,
29421693,29.4564405726,61.6109304752,substation,110000,,,
169259235,29.8153883962,61.9113593123,substation,None,,,
130331348,29.3129410064,61.4218711497,substation,110000,,,
352399506,23.047014215,63.858451414,substation,110000,,,
136370546,23.0604395679,63.8641269673,substation,110000,,,
103428598,23.0951180134,63.8133871936,substation,220000-110000,,,
25594007,24.9711744104,60.2881845937,substation,400000-110000,,Tammiston sähköasema,Fingrid
28502182,24.8352712699,60.284153544,substation,110000,,,
31127270,24.9880437142,60.2970217793,substation,110000,,,
28785740,25.118999059,60.2582352614,substation,110000,,,
26331359,25.1109504972,60.2324629726,substation,110000,,,
25597544,24.8860430866,60.2483138426,sub_station,None,,Kannelmaki,
155555327,24.8554054304,60.2555428639,substation,110000,,Myyrmäen sähköasema,Vantaan Energia
25598183,24.7946372914,60.241512798,sub_station,None,,,
177308630,24.9417024637,60.3044668159,substation,110000,,,
25593756,24.9829469057,60.2203264909,sub_station,110000,,Viikki,
136363036,23.5275416312,62.8046083171,substation,110000,,,
152333104,23.596050978,62.5983932286,substation,110000,,,
130069838,23.7745150158,63.0178590058,substation,None,,,
145567915,23.9699792953,62.8015512168,substation,110000,,,
136909652,24.1155125788,62.5523566398,substation,None,,,
136068907,24.1674136485,63.0325581572,substation,400000-220000-110000,,,
186886932,25.6725862618,62.373577533,substation,110000,,,
128255187,25.7224785691,62.572076396,substation,110000,,,
397651041,23.6641319777,66.3220457762,substation,None,,,
375670534,23.9993097121,66.7811835998,substation,110000,,,
169224396,26.8137823897,61.4039786917,sub_station,None,,Pyhäveden sähköasema,
242586528,26.5605392128,61.0618427896,substation,110000,,,
43140269,25.1641346858,60.2186780653,sub_station,None,,Vuosaaren sähköasema,
87697632,22.343799666,60.428240028,sub_station,None,,,
363802509,22.4744046413,60.4259715384,substation,110000,,,
238856422,24.2754112106,60.2741011723,substation,400000-110000,,,
219227505,23.9958804228,60.1796508203,sub_station,None,,,
28085992,24.767760805,60.2091430428,sub_station,None,,,
299874537,21.8444466037,61.0948486926,sub_station,None,,,
26501426,21.6244405335,61.152563916,substation,400000-110000,,,
143778041,28.3210074116,62.0497879614,substation,110000,,,
149954884,27.7909942615,62.1690543804,substation,110000,,,
152740092,24.8424007389,62.8833786418,substation,110000,,,
149818658,25.2634196093,62.7217771397,substation,110000,,,
159693074,22.9328231598,62.5565187674,sub_station,None,,,
152181013,22.605034671,60.4407631849,substation,110000,,,
151818544,22.499588717,60.5234515791,substation,400000-110000,,,
157677847,21.5179438797,62.9606988598,substation,110000,,,
302047780,21.556273411,63.0913906127,substation,110000,,,
57845262,21.657373633,63.0973868574,substation,110000,,,
119141766,24.3708007002,61.6846183727,sub_station,None,,,
34623113,23.9771194115,61.4966659719,substation,400000-110000,,,Fingrid Oy
399014185,27.5834321948,68.6563843602,substation,110000,,,
379937972,27.5830034035,68.6554940782,substation,220000,,,
168877874,21.9882691785,60.6649923391,substation,110000,,,
400584163,22.6875560785,60.5847481472,substation,None,,,
151818564,22.5873728356,60.6980094594,substation,110000,,,
28017392,22.292106623,60.4699002496,plant,None,,Koroisten sähköasema,
51420019,22.3282245198,60.4460205194,substation,110000,,,
400588216,22.1618327747,60.4966684614,substation,110000,,,
143419698,23.6516180711,61.5188285295,substation,110000-25000,,Lamminpää SA,Liikennevirasto
142846914,23.5854602071,61.5044728922,substation,110000,,,
161022271,26.8081893845,60.8867751588,substation,110000,,,
