l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,232319495,68515955,275000,3-6,line,,,,84876.0,,,,
2,315213320,25201930,275000,3,line,50,,,53.0,,,,
3,308727855,27163121,275000,6,line,,,,1479.0,,,,
4,313756682,25492769,275000,3-6,line,,,,13566.0,,,,
5,143384075,212779654,275000-400000,3-6,line,,-SP Transmission Strathaven-Wishaw,,11728.0,,,,
6,143384075,166703758,275000,3-6,line,,-SP Transmission Strathaven-?,,15065.0,,,,
7,143384075,308653819,275000,3-6,line,,-SP Transmission Strathaven-?,,5822.0,,,,
8,143384075,143384076,275000,3,line,,,,66.0,,,,
9,92331023,159736514,275000,3-6,line,50,,,22632.0,,,,
10,92331023,314487278,275000,3-6,line,50,,,22570.0,,,,
11,92331023,143905069,275000,3-6,line,,,,43908.0,,,,
12,144350736,264370916,275000,3-6,line,,-Littlebrook-?,,5222.0,,,,
13,144350736,103152175,275000,3-6,line,,-Littlebrook-?,,820.0,,,,
14,292371992,48876730,275000,3-6,line-cable,50,,,18567.0,,,,
15,86071326,166703759,275000,3-6,line,,-Lambhill - ?,,17966.0,,,,
16,86071326,164369466,275000,3-6,line,,,,54934.0,,,,
17,86071326,162124572,275000,3-6,line,,,,2484.0,,,,
18,193617444,90547674,275000,3-6,line,,,National Grid,4575.0,,,,
19,298202151,103915328,275000,6,cable,,,,1076.0,,,,
20,308313133,95374266,275000,3-6,line,,,,29082.0,,,,
21,308313133,308313135,275000,3,line,,,,40.0,,,,
22,96905262,27163121,275000-400000,3-6,line,,,,8777.0,,,,
23,103152175,103150854,275000,,cable,50,,,3201.0,,,,
24,143398451,143398452,275000,3,line,,Neilston,,160.0,,,,
25,164369466,307769998,275000,6,line,,,,21574.0,,,,
26,102549055,264371625,275000,3-6,line,,,,11107.0,,,,
27,152899136,152899256,275000,3-6,line,,,National Grid,704.0,,,,
28,152899136,33917128,275000,3-6,line,,,National Grid,21146.0,,,,
29,25406532,211047673,275000,3-6,line,,,,527.0,,,,
30,25406532,313495304,275000,3-6,line,,,National Grid,4129.0,,,,
31,25406532,90547674,275000,3-6,line,,,National Grid,4217.0,,,,
32,25406532,313495307,275000,3-6,line,,,National Grid,866.0,,,,
33,311840838,4800321,275000,3,line,,,,32.0,,,,
34,143388743,308793169,275000,3-6,line,,Scottish Power-Scottish Power Kilmarnock South-Kilmarnock Town XW,SP Transmission,3595.0,,,,
35,313756684,90547674,275000,6,line,,,National Grid,15955.0,,,,
36,318886989,25784732,275000-400000,3-6,line,,-Hams Hall-Drakelow,,33394.0,,,,
37,119315534,119315549,275000,3-6,line,50,,,8752.0,,,,
38,119315534,222205173,275000,3-6,line,50,,,15414.0,,,,
39,318886991,96107758,275000-400000,3-6,line,,-Feckenham-Hams Hall,,43647.0,,,,
40,318886991,92260633,275000-400000,3-6,line,50,-Feckenham-Hams Hall,National Grid,23748.0,,,,
41,97256377,135693941,275000,3-6,line,,,,14631.0,,,,
42,367005272,25201930,275000,3-6,line,50,,,7992.0,,,,
43,367005272,30930911,275000,3-6,line,50,,,11000.0,,,,
44,119315549,308724720,275000,3-6,line,50,-SP Transmission Strathaven-?,,5679.0,,,,
