id,lon,lat,name,osm_id,voltage,type,poly
1,-4.0546517344,58.0430556362,None,232319495,275000,substation,0103000020E61000000100000011000000AE71E184523910C0BC15954B83054D40B839AE164A3910C0EF63F1F784054D404098A390343910C0621C84D085054D40C2666757FB3810C058EACF9287054D40FE0FC5BE6F3710C066125A3096054D40990094E0AA3610C09DC0A2CA80054D409736BB82373710C0E29B5C3B78054D4012A05EE25E3710C0F4DA621D77054D4049BED3F1993710C0E0893F4D77054D4061E9A7B0BB3710C0E0893F4D77054D401CD4A0025C3810C07D5D7D1772054D4019A71B7A903810C08EAB117A73054D4012A7E7C1AA3810C0AD71C24075054D40270A23A7BA3810C02EAB523377054D40582864FE0F3910C082A219067B054D40E621A181263910C005FE1C717D054D40AE71E184523910C0BC15954B83054D40
2,-4.49212343177,57.4676047054,Beauly Substation,68515955,400000;275000;132000,substation,0103000020E6100000010000000D0000008E40761791FC11C0E0EE85F8C6BB4C40D6763D817FF811C03E449289EDBB4C40210537E23AF811C0770ACB14F0BB4C406537E6ADFDF811C00B02D2D907BC4C40B447FF0245F611C06F4539A621BC4C402F5A39BEC6F511C00AEB705226BC4C404645E3D80AF511C02CE8BE640FBC4C40F87465731DF511C02842E0B40EBC4C403834096395F311C040D88EDCDEBB4C408E1A76E1FCF611C084E3B196BEBB4C40DC2268DBD1F611C00A95AB57B9BB4C40B4706CEDE4FA11C096DA01B892BB4C408E40761791FC11C0E0EE85F8C6BB4C40
3,-2.68896578487,53.3714173896,None,315213320,275000,substation,0103000020E61000000100000005000000D9C13FC8978605C0C4C239F89EAF4A406FAC8BF0448405C0E4939A99B0AF4A404AB2B82F697F05C0D2CC3E3D76AF4A40305E7B13BC8105C02BC5209C64AF4A40D9C13FC8978605C0C4C239F89EAF4A40
4,-2.68853063782,53.3707181436,Fiddlers Ferry Power Station,25201930,None,plant,0103000020E610000001000000110000008557E35B379405C0B1E044A72AAF4A40ED8AC3F0209405C012917064A7AF4A401E670B6BB39005C0B79189BAC0AF4A40257B82BAD18D05C09A5CC97BD4AF4A40EDA6020CCB8705C08883D4ECFEAF4A4081CED3DE4F8005C003398B6731B04A407E3D716E6D7905C055CE2D3A24B04A40DAE9C169F47905C07233E5690EB04A40C77D2E6CB37505C0E355255D06B04A40BCCCA0DA837505C0E335EFD803B04A40DF4DEEA66B6F05C0746D2813BCAF4A40BB6BA57F097105C054E6DFB029AF4A40CA7510F2257105C0F6C2E41E1DAF4A400AB2AC705B7905C089C4F8E0F9AE4A400B4C3C226E7D05C0898FAC5CEBAE4A402068A9E6D98C05C032238D66B4AE4A408557E35B379405C0B1E044A72AAF4A40
5,-3.17863336175,55.9031356217,None,308727855,None,substation,0103000020E610000001000000050000008E626085956E09C0C65AAEA298F34B405C04F589626D09C0FFCBA95E9FF34B4025342D29196D09C0AE35C9429BF34B4062657B0C4C6E09C03357CC8694F34B408E626085956E09C0C65AAEA298F34B40
6,-3.16551914572,55.8915081671,None,27163121,275000,substation,0103000020E610000001000000140000003B4305757F5609C0AD1D031D07F24B40023CCF650C5609C09C4255131DF24B40E65F945FA75509C0DE980C5A30F24B40A92E467C745409C031FC3D602EF24B40CC4E5FE75F5409C04AE6C84E32F24B4033823F7C495409C0FA9C052A32F24B4029357169295409C014D6074838F24B40C387BF85125409C0603E6C2238F24B40476199A2E15309C0F18D077541F24B40183320E4855109C0996DE8913DF24B400B550DCA8A5109C0C1A0A0A03CF24B404FE9ACDB774F09C08245823539F24B4054364736B24F09C0D3F155132EF24B404041C163095009C006F96DA32EF24B404E08957D3C5009C0AA4A13E224F24B408180AC2D435009C0CA243C9F23F24B405D77D2C21F5009C0E68B7F6423F24B40D1D3EB8FF75009C066BD4138FAF14B40307C4B373F5609C0B5A028D302F24B403B4305757F5609C0AD1D031D07F24B40
7,-1.75950197512,53.8389386297,None,313756682,None,substation,0103000020E6100000010000000700000008A521E29727FCBFD0DE6DF761EB4A40D4C087359226FCBF9DDE380065EB4A40646248C04B26FCBFCF061F2763EB4A4022BE70475826FCBFB8D8795F62EB4A40140A5C252A27FCBF94D8DCF15FEB4A40AAE1770A5627FCBF343A191060EB4A4008A521E29727FCBFD0DE6DF761EB4A40
8,-1.59668265196,53.8056756872,None,25492769,275000;132000,substation,0103000020E610000001000000140000009E939BD90E97F9BF4EC94D583BE74A40AE850B673594F9BF5E89F12B4EE74A406C22C4C84B8AF9BF1F73C8F72CE74A40068A11619B8AF9BFD47101DC2AE74A4031469F055D8AF9BFE75179E129E74A40EAEF4083758AF9BFAA74A15229E74A409D15DAF7298AF9BFBF18FD5828E74A407CCAAF40BA89F9BFBD0DB4A424E74A40A5DCCC3BEC7FF9BF299369D403E74A4000D9F08DD37FF9BF99BA9FBC01E74A40B922E2492382F9BF9E389DFEF1E64A40FD0711979E82F9BFB66CB7A0F1E64A40DF7356F49E8EF9BF31DA2FF219E74A40D8B7CCE8598EF9BF2F91CA7D1BE74A4000E1D501DF8EF9BF179102391DE74A4032D19858A48FF9BF2C3D8E7E1CE74A40A4B524E8C496F9BF0FD51A5634E74A40242AF879E796F9BF8A135CFA37E74A401C6E6E6EA296F9BFD395D1CB39E74A409E939BD90E97F9BF4EC94D583BE74A40
9,-4.0810017966,55.7535550941,None,143384075,275000,substation,0103000020E6100000010000001000000053540DB1625510C08538E9CA73E04B4030B01FF5F85410C0E71573A379E04B4047097F22A45410C00C24BE4576E04B404A693C52665210C0BE18B14494E04B4045B02C69265110C059690ABE75E04B409760AFD8975010C0F095EF587DE04B40D0D927712E5010C0F7B53CFD72E04B4062E75D8AED5010C0B618231669E04B400B590927605110C012FAF4EE73E04B40870DED806D5210C0B8CC46EE65E04B40990C4F0B7B5210C010AEAD0B67E04B40A91E631F945310C0FFE16D9B58E04B408FE61EAA155410C01BD4A3D859E04B40D692C60EF25410C09AD343826FE04B40BC5BAFC91D5510C0266978396DE04B4053540DB1625510C08538E9CA73E04B40
10,-3.92885032028,55.764412726,Wishaw substation,212779654,275000;132000,substation,0103000020E6100000010000000C0000001F49A5C9B5720FC0396D0A48D9E14B40B6CDF1EEF1700FC0A5375E1BF1E14B408C437C2F766F0FC00104CD2005E24B40752322A4DF6B0FC0122E0997EFE14B4041E13196656C0FC040C45587E8E14B4055308EC1BF6B0FC0ABFB7BA3E4E14B403A521337F96B0FC011F9819CE1E14B4049E97F3BC4690FC04F52E75CD4E14B406AD3E6DCB36C0FC0A5BEB5BAACE14B40EA37A070D7710FC02EC68595CBE14B40A2A0EA1968710FC073A1DD74D1E14B401F49A5C9B5720FC0396D0A48D9E14B40
