l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,93383685,15642023,400000,6,line,,,,447.0,,,,
2,93383685,86577898,400000,6,line,,,,53929.0,,,,
3,93383685,149672244,400000,6,line,,,,35390.0,,,,
4,93383685,15641949,400000,6,line,,,,15388.0,,,,
5,93383685,171506480,400000,6,line,,,,49411.0,,,,
6,93383685,249066440,400000,3,line,,,,18799.0,,,,
7,252077527,196633567,400000,3,line,,Melitis - Bitola 400 kV Line,,35649.0,,,,
8,252077527,171506480,400000,3-6,line,,,,25975.0,,,,
9,140465679,141220249,400000,6,line,,Γραμμή 400 kV ΚΥΤ Φιλίππων – ΚΥΤ Νέας Σάντας,,62358.0,,,,
10,235044638,55099563,400000,3,line,,-Thessaloniki - Blagoevgrad 400 kV Line-Пирин,,99634.0,,,,
11,253903008,105184051,400000,3-6,line,,,,75413.0,,,,
12,51408420,85518393,400000,3-6,line,,,,28235.0,,,,
13,51408420,85585500,400000,3-6,line,,,,13884.0,,,,
14,85705637,85646787,400000,6,line,,,,36199.0,,,,
15,55099563,302950604,400000,6,line,,-Γραμμή 400 kV ΚΥΤ Θεσσαλονίκης – ΚΥΤ Φιλίππων,,22936.0,,,,
16,55099563,15641949,400000,6,line,,,,109905.0,,,,
17,55099563,171506480,400000,6,line,,,,36957.0,,,,
18,105184051,140248148,400000,3,line,,Γραμμή 400 kV ΚΥΤ Αράχθου - ΚΥΤ Αχελώου,,72250.0,,,,
19,149672244,85518393,400000,3-6,line,,,,73513.0,,,,
20,149672244,140248148,400000,3,line,,Γραμμή 400 kV ΚΥΤ Αράχθου - ΚΥΤ Τρικάλων,,25899.0,,,,
21,148320055,140248148,400000,4,line,,HVDC Italy-Greece,,77124.0,,,,
22,85526073,85612093,400000,6,line,,,,78416.0,,,,
23,85526073,86577898,400000,6,line,,,,4273.0,,,,
24,85526073,85518393,400000,3-6,line,,,,46007.0,,,,
25,85526073,85585500,400000,6,line,,,,72891.0,,,,
26,93119207,86577898,400000,6,line,,,,76386.0,,,,
