n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
134685185,23.8691992748,38.3067502208,substation,0,,,,
85612093,23.8357668454,38.1327797238,substation,0,,,,
93383685,21.7804541073,40.4056880779,substation,0,,,,
135706289,22.1171695639,40.3254101559,substation,0,,,,
15642023,21.789352525,40.4070023016,plant,0,,Ατμοηλεκτρικος Σταθμος Καρδίας,ΔΕΗ,
96020492,21.8493906976,38.3324607642,substation,0,,,,
96314289,21.7486619127,38.2322918185,substation,0,,,,
140465679,24.261956937,41.0459220129,substation,0,,Κέντρο Υπερυψηλής Τάσης (ΚΥΤ) Φιλίππων,,
140343651,23.8575895507,40.8092515781,substation,0,,,,
55099563,22.9241616223,40.6917954169,substation,150000,,Κέντρο Υπερυψηλής Τάσης Θεσσαλονίκης (ΚΥΤ Ωραιοκάστρου),,Yes
132381638,22.9764382727,40.5921345629,sub_station,0,,,,
72180968,22.9927142773,40.7543324548,sub_station,0,,,,
92611161,23.7971755501,37.8443005329,substation,0,,,,
92611154,23.7753614514,37.8748703766,substation,0,,,,
85646787,23.8522298427,37.9937299048,substation,0,,,,
249407518,20.2309038116,39.4168043472,sub_station,0,,,,
196753738,20.2941533116,39.4386118597,substation,0,,,,
249407519,20.7248620036,38.9945425162,sub_station,0,,,,
249407528,20.8076129853,38.9635345022,sub_station,0,,,,
140248148,20.965403025,39.183970233,substation,0,,Κέντρο Υπερυψηλής Τάσης Αράχθου,Δ.Ε.Η.,
95989793,22.0933996975,38.2400880391,substation,0,,,,
92352843,22.9294996738,37.9251746408,substation,0,,,,
51408420,23.6219509282,38.0331735793,substation,0,,Κέντρο Υπερυψηλής Τάσης Κουμουνδούρου,ΔΕΗ,
134935126,23.5178727358,38.0620852543,substation,0,,,,
93645374,23.685914423,37.9795089366,substation,0,,,,
93702884,23.6117241215,37.9671894507,substation,0,,,,
134819995,23.529593957,38.13031708,substation,0,,,,
142656551,23.6576158229,38.0028666012,sub_station,0,,,,
85518393,22.6879871488,38.4372764449,substation,0,,Κέντρο Υπερυψηλής Τάσης Διστόμου,,
140637735,24.7006463961,40.9017875535,substation,0,,,,
140724364,25.1721773373,41.1194273607,sub_station,0,,,,
140890157,24.5434343698,40.9595722824,substation,0,,,,
135463990,23.3438688332,38.4275622624,substation,0,,,,
93061390,23.597094306,38.3487191439,substation,0,,,,
85526073,23.1673729453,38.5256143387,substation,0,,,,
