l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,375111172,223455150,132000,,cable,,,,478.0,,,,,
2,375111172,234447525,132000,3,line,,,,7704.0,,,,,
3,233727341,236463076,132000,3,line,,,Landsnet,70472.0,,,,,
4,233727341,82333469,132000,3,line,,,Landsnet,20473.0,,,,,
5,234450450,234450451,132000,3,line,,,,15628.0,,,,,
6,234014894,234014898,132000,3,line,,,,15034.0,,,,,
7,234447525,82332090,132000,,cable,,,,1425.0,,,,,
8,172213802,234013513,132000,3,line,,,Landsnet,59178.0,,,,,
9,172213802,197149743,132000,3,line,,,,4891.0,,,,,
10,197149743,236463076,132000,3,line,,,Landsnet,33565.0,,,,,
11,234014898,234015052,132000,3,line,,,,6754.0,,,,,
12,206776085,365736566,132000,3,line,,,,77743.0,,,,,
13,82332087,233002936,132000,3,line,,,,44218.0,,,,,
14,82332087,234450453,132000,3,line,,,,5849.0,,,,,
15,232582084,218665429,132000,6,line,,,,32404.0,,,,,Yes
16,232582084,232837630,132000,3,line,,,Landsnet,40964.0,,,,,
17,234450453,88300245,132000,,cable,,,,222.0,,,,,
18,83055341,231961073,132000,3,line,,,Landsnet,82478.0,,,,,
19,365742821,82333469,220000,3,line,,,Landsnet,98419.0,,,,,
20,365742821,170665138,220000,3,line,,,Landsnet,12496.0,,,,,
21,228904429,82332090,220000,6,line,,,,2465.0,,,,,
22,209795023,82333469,220000,3,line,,,,4130.0,,,,,
23,170665138,82332090,220000,3,line,,,Landsnet,107757.0,,,,,
24,170665138,233002936,220000,3,line,,,,78391.0,,,,,
25,170665138,82332087,220000,6,line,,,,45510.0,,,,,Yes
26,82332087,82332090,220000,6,line,,,,15219.0,,,,,Yes
27,82332087,82333469,220000,3,line,,,,16250.0,,,,,
28,233730619,82333469,220000,3,line,,,,4562.0,,,,,
