l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,197846408,88462768,220000,3-6,line,50,,EirGrid,46309.0,,,,
2,197846408,254158424,220000,3-6,line,50,,EirGrid,81864.0,,,,
3,197846408,264275258,220000,3,line,50,,EirGrid,132509.0,,,,
4,197846408,183749097,220000,3-6,line,50,,EirGrid,67213.0,,,,
5,197846408,180637986,220000,3,line,50,,EirGrid,29461.0,,,,
6,264852019,194575030,220000,3,line,50,,EirGrid,82122.0,,,,
7,264852019,264275258,220000,3-6,line,50,,EirGrid,32237.0,,,,
8,264852019,88462768,220000,3,line,50,,EirGrid,42031.0,,,,
9,255668124,88144450,220000,3-6,line,50,,EirGrid,41159.0,,,,
10,255668124,266025855,220000,3,line,50,,EirGrid,89577.0,,,,
11,255668124,88462768,220000,3-6,line,50,,EirGrid,39619.0,,,,
12,186889669,208125589,220000-110000,3-6,line,50,,EirGrid,99846.0,,,,
13,186889669,104388595,220000,3,line,50,,EirGrid,43079.0,,,,
14,180637986,104388595,220000,3,line,50,,EirGrid,61254.0,,,,
15,180637986,208125589,220000,3,line,50,,EirGrid,70583.0,,,,
16,207339053,207331199,220000-400000,3-6,line,50,,EirGrid,12988.0,,,,
17,88462768,88144450,220000,3,line,50,Dunstown - Maynooth 220Kv,EirGrid,30724.0,,,,
18,42998577,185902319,220000,3-6,line,50,,EirGrid,114321.0,,,,
19,42998577,194575030,220000,3-6,line,50,,EirGrid,60303.0,,,,
20,42998577,179121616,220000,3-6,line,50,-Tynagh - Oldstreet-Cashla - Tynagh,EirGrid,47655.0,,,,
21,42998577,194614470,220000,3-6,line,50,-Tynagh - Oldstreet / Cashla-Cashla - Tynagh,EirGrid,39966.0,,,,
22,42998577,207331199,220000,3-6,line,50,,EirGrid,61819.0,,,,
23,104388595,71762783,220000,3-6,line,50,,EirGrid,25753.0,,,,
24,104388595,191715059,220000,3-6,line,50,-Raffeen - Cow Cross,EirGrid,14554.0,,,,
25,104388595,79803767,220000,3-6,line,50,,EirGrid,20997.0,,,,
26,104388595,150124101,220000,3-6,line,50,,EirGrid,24611.0,,,,
27,147525695,185693432,220000,3,line,50,,EirGrid,39266.0,,,,
28,88144450,334109747,220000,3-6,line,50,,EirGrid,113002.0,,,,
29,88144450,185693432,220000,3,line,50,,EirGrid,158539.0,,,,
30,88144450,89760546,220000,3-6,line,50,,EirGrid,59628.0,,,,
31,88144450,266025855,220000,3,line,50,,EirGrid,25750.0,,,,
32,266025855,288283900,220000,3,cable,50,,EirGrid,1607.0,,,,
33,150124101,334109747,220000,3,line,50,,EirGrid,23117.0,,,,
34,194614470,179131619,220000,3,line,50,,,79.0,,,,
35,207728854,208125589,220000,3,cable,50,,EirGrid,2906.0,,,,
36,207728854,207331199,220000,3,line,50,,EirGrid,7626.0,,,,
37,27144164,183749097,220000,3-6,line,50,,EirGrid,3782.0,,,,
38,96278380,334109747,220000,3,line,50,,EirGrid,36.0,,,,
39,96278380,50795659,220000,3,line,50,,,187.0,,,,
40,191715059,71762783,220000,4,cable,,Aghada - Cowcross 220kV,EirGrid,6682.0,,,,
41,104388599,361261945,220000,4,cable,,Aghada - Glanagow 220kv,EirGrid,3668.0,,,,
42,104388599,71762783,220000,3,line,50,,EirGrid,83.0,,,,
43,208124159,208125589,220000,3,line,50,,,128.0,,,,
44,137050528,39681973,275000,3,line,50,,,75.0,,,,
45,166764802,148266260,275000,3-6,line,50,,NIE Networks,18594.0,,,,
46,166764802,39681973,275000,3-6,line,50,,NIE Networks,45582.0,,,,
47,166764802,137050527,275000,3-6,line,50,,NIE Networks,45078.0,,,,
48,230134599,142185552,275000,3-6,line,50,,NIE Networks,31845.0,,,,
49,230134599,39681973,275000,3-6,line,50,,NIE Networks,65506.0,,,,
50,230134599,402783212,275000,3-6,line-cable,50,,NIE Networks,56265.0,,,,
51,230134599,227767019,275000,6,line,50,,NIE Networks,51625.0,,,,
52,230134599,227767022,275000,3-6,line,50,,NIE Networks,25864.0,,,,
53,227767019,39951424,275000,3-6,line,50,,NIE Networks,81111.0,,,,
54,227767019,148266260,275000,3-6,line,50,,NIE Networks,45953.0,,,,
55,227767019,264275258,275000,3-6,line,50,The Interconnector (Tandragee - Louth),NIE Networks-EirGrid,48078.0,,,,
56,142185552,39951424,275000,3-6,line,50,,NIE Networks,29053.0,,,,
57,339008021,39951424,275000,3,line,50,,NIE Networks,91.0,,,,
58,179121616,254158424,400000,3,line,50,,EirGrid,126528.0,,,,
59,179121616,201581579,400000,3,line,50,,EirGrid,102875.0,,,,
60,88144450,201581579,400000-220000,3-6,line,50,,EirGrid,65117.0,,,,
