n_id,longitude,latitude,type,voltage,frequency,name,operator
201298435,-7.41863805482,55.1127771974,substation,None,,Ballynahone,ESB Networks
66493784,-7.6974999413,54.9241863432,substation,110000,,Letterkenny 110kV Station,
439829351,-7.36489198791,55.1311009563,plant,None,,Sorne Hill Wind Farm,
185706501,-6.51442363705,52.5323549137,substation,110000,,Enniscorthy,EirGrid
185706609,-6.27255279862,52.6502638076,substation,110000,,Banoge,EirGrid
147525695,-6.14770472096,52.815153248,substation,220000,,Arklow 220kV Substation,EirGrid
232344721,-6.53949137214,52.3403528076,substation,110000,,Wexford,EirGrid
200447504,-9.18792745679,54.1232619353,substation,110000,,Moy 110kV Substation,EirGrid
205659794,-9.57887260051,54.1203916316,substation,110000,,Bellacorrick 110kV Substation,EirGrid
334101859,-9.2194345537,54.1929874992,substation,110000,,Tawnaghmore 110kV Subtation,EirGrid
181365675,-8.98932272837,54.1053503425,substation,110000,,Bunnyconnellan East,EirGrid
265890836,-6.40103880983,53.7247741431,substation,110000,,Drybridge 110kV Substation,EirGrid
264275258,-6.56575677004,53.9673375046,substation,275000,,Louth Substation,EirGrid
235562808,-6.38616683844,53.6808383907,substation,110000,,Platin Substation,EirGrid
264852019,-6.64421031737,53.7009308539,substation,220000,,Gorman Substation,EirGrid
266052564,-6.44007772821,53.5454170588,substation,110000,,Baltrasna,EirGrid
200365081,-8.59841599753,53.0917093652,substation,110000,,Derrybrien,EirGrid
200362903,-8.54991806111,53.0367349811,substation,110000,,Agannygal 110kV Substation,EirGrid
215062045,-7.98596624434,53.9144577471,substation,110000,,Gilra 110kV Substation,EirGrid
194575030,-8.12385457702,53.9116730406,substation,220000,,Flagford,EirGrid
202739744,-8.06723242382,52.4722168189,substation,110000,,Tipperary,EirGrid
374590823,-7.89837084629,52.376970747,substation,None,,Cahir 110kV,
236522320,-8.19395837893,52.537554076,substation,110000,,Cauteen 110 kV substation,EirGrid
219457456,-7.08483391729,53.2890871757,substation,110000,,Cushaling,EirGrid
324120209,-7.08534785804,53.2905237578,plant,None,,Edenderry Power Plant,Bord na Móna
265388725,-7.29856934932,53.0272974989,substation,110000,,Portlaoise,EirGrid
264972202,-6.83550457266,53.195587329,substation,110000,,Newbridge Substation,EirGrid
144584625,-6.09587458239,52.9909502155,substation,220000-110000,,Ballybeg,EirGrid
35150701,-6.19644586622,53.2561840945,substation,110000,,Carrickmines Substation,EirGrid
207339053,-9.42260628499,52.6105659381,substation,220000,,Moneypoint Switching Station,EirGrid
212731351,-9.24082983583,52.7755409588,substation,110000,,Booltiagh,EirGrid
218901878,-9.47911496938,52.6730717202,substation,110000,,Tullabrack 110kV Substation,EirGrid
183549487,-7.77220194477,54.863153872,substation,110000,,Drumkeen,EirGrid
183084855,-7.93513598067,54.6871250521,substation,110000,50,Cullionboy 110kV Substation,EirGrid
183549490,-7.84243872101,54.8676528947,substation,110000,,Meentycat,EirGrid
124120112,-8.46715078415,54.2412174706,substation,110000,,Sligo 110kV Substation,EirGrid
179714187,-8.64919862012,54.111152353,substation,110000,,Cunghill 110kV,EirGrid
183080497,-8.23053809218,53.2666214106,substation,None,,Somerset 110kV,
42998577,-8.85348151516,53.3081151322,substation,220000,50,Cashla,EirGrid
266249997,-6.73107166931,53.8911565713,substation,110000,,Meath Hill 110kV Substation,EirGrid
265890258,-6.70645970093,53.6997735066,substation,110000,,Navan,EirGrid
384987120,-6.17956211529,52.8130627395,substation,110000,,,EirGrid
150124101,-7.27988589657,52.2492656457,substation,220000,,Cullenagh 220 kV station,EirGrid
235590778,-7.17037289766,52.2286094659,substation,None,,Butterstown substation,
243503443,-7.65368801004,52.108283548,substation,110000,,Dungarvan,EirGrid
235590779,-7.15899435706,52.2518498127,substation,None,,Killoteran,
172572963,-7.52081081539,52.3613798469,substation,110000,,Ballydine,EirGrid
98820679,-6.45162880886,53.3291996698,substation,110000,,Grange Castle (Transition),EirGrid
257886373,-6.56444817524,53.343560887,substation,110000,,Griffinrath,EirGrid
88462768,-6.60198230957,53.3485753676,substation,220000,,Maynooth 220kV Substation,EirGrid
375066696,-5.86129872539,54.7841629259,substation,None,,Ballyvallagh,NIE Networks
142185552,-6.16746677567,54.8015205579,substation,None,,Kells (Antrim),NIE Networks
375457082,-5.78220362395,54.842393532,substation,None,,Ballylumford,NIE Networks
166764804,-5.85548159389,54.8477243985,substation,None,,Larne,NIE Networks
91799111,-9.6740343143,52.2890263285,substation,110000,,Tralee 110kV Substation,EirGrid
211049457,-8.96855380143,52.5437492219,substation,None,,,
208125589,-9.36919881024,52.5877706487,plant,None,,Tarbert Power Station,SSE Ireland
210599157,-9.54802593422,52.3787737743,substation,110000,,Pallas,EirGrid
98820685,-6.44529880909,53.3299782064,substation,110000,,Grange Castle (Main),EirGrid
89907084,-6.33860180082,53.3342110698,substation,110000,,Inchicore Substation,EirGrid
366946550,-6.28539629475,54.8511993026,substation,None,,Ballymena,NIE Networks
374863965,-6.68736933709,55.1093690024,substation,None,,Coleraine,NIE Networks
374858231,-6.91587102725,55.0242659933,substation,None,,Limavady,NIE Networks
377711903,-6.74961534491,54.5330825321,substation,None,,Dungannon,NIE Networks
259105170,-6.454593663,54.4017900409,substation,110000,,Portadown,NIE Networks
246804766,-6.22073986203,54.7277056784,substation,None,,Antrim,NIE Networks
265386067,-6.88134268215,53.2886493253,substation,110000,,Allenwood,EirGrid
267172950,-6.91022174172,54.2447202996,substation,110000,,Monaghan 110kV Substation,EirGrid
152444285,-7.29892346349,53.9987652776,substation,110000,,Shankill 110kV Substation,EirGrid
151556697,-7.85704205651,53.7431822426,substation,None,,Richmond,
342820729,-7.98782564707,53.6751069856,substation,110000,,Lanesborough 110kV Substation,EirGrid
