n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
105062401,7.7915483062,44.7768666761,substation,132000,,Sommariva,Enel Distribuzione,
104239496,7.68761904547,44.7652668588,substation,132000,,Racconigi,Enel Distribuzione,
351272965,10.5470290937,44.9517340022,substation,132000,,Viadana,Enel Distribuzione,
163920391,10.5800102009,45.0327735648,substation,132000,,Commessaggio,Enel Distribuzione,
188983826,10.5482166717,44.8905718007,substation,132000,,Boretto,Enel,
208398923,10.9014486516,44.8510411366,substation,380000,,Carpi Fossoli,Terna,
164456266,10.7561145236,44.7778631524,substation,132000,,Correggio,Enel,
343158892,10.6488026464,44.8905019215,substation,132000,,Guastalla,Enel,
342494329,10.7155614376,44.9457748291,substation,132000,,Luzzara,Enel,
45490188,11.1245717865,43.9592125692,substation,132000,,Vaiano,Enel,
227704877,11.0357125125,43.9112220946,substation,132000,,Montemurlo,Enel,
139904829,11.2331360379,43.9892054497,substation,132000,,Barberino,Enel,
25796707,11.1020119016,43.8905108806,substation,132000,,San Martino CP,Enel,
45490189,11.1299470837,43.9649217889,substation,132000,,Vaiano FS,RFI,
365104691,11.04019656,44.1370678621,substation,132000,,Suviana,Enel Produzione,
149396735,11.2489868305,44.4010546405,substation,132000,,Sasso Marconi,Enel Distribuzione,
204306978,11.1630729115,44.2059265458,substation,132000,,Le Piane,Enel Produzione,
40634284,11.1670038806,43.8489191385,substation,380000,,Calenzano,Terna,
203863864,11.1793602346,44.1318229085,substation,132000,,Ca Landino FS,RFI,
125759450,11.2266503565,43.8100494539,substation,132000,,Rifredi FS,RFI,
105062415,7.57114682678,45.0980691739,substation,220000,,Pianezza,Terna,
102541294,7.58447076538,45.1244054787,substation,132000,,Druento,Enel Distribuzione,
105062373,7.55454445719,45.0636033222,substation,132000,,Paracca,Enel Distribuzione,
203481108,11.8108286987,44.1672621343,substation,132000,,Modigliana,Enel,
207165070,11.9878259499,44.109971052,substation,132000,,Predappio,Enel,
203456077,11.8658029448,44.2978038913,substation,132000,,Faenza,Enel,
122232855,12.7235419215,42.9481464654,substation,132000,,Cappuccini,Enel Distribuzione,
157572779,12.5362031021,42.8978958065,substation,132000,,Bastardo,Enel Produzione,
157573708,12.7333114577,42.8536032023,substation,132000,,Trevi,Enel Distribuzione,
