l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,172590080,172178556,110000,3-6,line,,,,23228.0,,,,
2,172590080,172590100,110000,3-6,line,,,,21091.0,,,,
3,172590080,172590098,110000,3-6,line,,,,23096.0,,,,
4,172590080,135895688,110000,3-6,line,,,,32150.0,,,,
5,172590080,172590101,110000,3-6,line,,,,33986.0,,,,
6,172590080,172590105,110000,3-6,line,,,,32289.0,,,,
7,172590080,257169562,110000,3-6,line,,,,36224.0,,,,
8,172590080,173765447,110000,3-6,line,,,,33715.0,,,,
9,172590080,172590075,110000,3-6,line,,,,24529.0,,,,
10,172590080,172590076,110000,3-6,line,,,,15554.0,,,,
11,172590080,172590116,110000,3-6,line,,,,26068.0,,,,
12,172590080,172445101,110000,3-6,line,,,,48008.0,,,,
13,172590080,172590051,110000,3-6,line,,,,54289.0,,,,
14,172590080,172590088,110000,3-6,line,,,,43695.0,,,,
15,172590080,265807988,110000,3-6,line,,,,98544.0,,,,
16,172590080,215671382,110000,3-6,line,,,,101413.0,,,,
17,172590080,172445107,110000,3-6,line,,,,89667.0,,,,
18,172590080,172445089,110000,3-6,line,,,,110014.0,,,,
19,172590080,172445103,110000,3-6,line,,,,102901.0,,,,
20,172590080,172019127,110000,3-6,line,,,,65036.0,,,,
21,172590080,172394941,110000,3-6,line,,,,48928.0,,,,
22,172590080,214227031,110000,3-6,line,,,,69985.0,,,,
23,172590080,158244489,110000,3-6,line,,,,82981.0,,,,
24,172590080,172590115,110000,3-6,line,,,,69424.0,,,,
25,172590080,172394923,110000,3-6,line,,,,53200.0,,,,
26,172590080,172590081,110000,3-6,line,,,,12248.0,,,,
27,258321412,214649882,110000,3-6,line,,,,2858.0,,,,
28,258321412,172019090,110000,3,line,,,,17279.0,,,,
29,258321412,210995832,110000,3-6,line,,,,39884.0,,,,
30,258321412,194082693,110000,3,line,,,,74377.0,,,,
31,258321412,212007661,110000,3-6,line,,,,49896.0,,,,
32,258321412,214674623,110000,3,line,,,,25253.0,,,,
33,258321412,172019085,110000,3-6,line,,,,16123.0,,,,
34,258321412,174586802,110000,3-6,line,,,,57321.0,,,,
35,258321412,172019051,110000,3-6,line,,,,28529.0,,,,
36,258321412,214649879,110000,3-6,line,,,,26571.0,,,,
37,258321412,171809316,110000-35000,3-3-3-6,line,,,,42300.0,,,,
38,103275527,103275559,110000,3-6,line,,,,6986.0,,,,
39,103275527,103275551,110000,3-6,line,,,,11517.0,,,,
40,103275527,209204254,110000,3-6,line,,,,22442.0,,,,
41,103275527,103560163,110000,3-6,line,,,,39733.0,,,,
42,103275527,124462106,110000,3-6,line,,,,39120.0,,,,
43,103275527,171630121,110000,3-6,line,,,,30979.0,,,,
44,142782984,173582225,110000,3,line,,,,35039.0,,,,
45,142782984,153249112,110000,3-6,line,,,,19182.0,,,,
46,142782984,25698690,110000,3-6,line,,,,17275.0,,,,
47,172590095,172590108,110000,3-6,line,,,,23358.0,,,,
48,172590096,172590051,110000,3,line,,,,3913.0,,,,
49,172590096,172590108,110000,3,line,,,,17086.0,,,,
50,172590097,172590051,110000,3-3-3,line,,,,3827.0,,,,
51,172590100,173612890,110000,3-6,line,,,,5100.0,,,,
52,218214432,218216075,110000,3,line,,,,21791.0,,,,
53,218214432,260552752,110000,3,line,,,,23289.0,,,,
54,214455329,210619011,110000,3-6,line,,,,13322.0,,,,
55,214455329,171809316,110000,3-6,line,,,,20807.0,,,,
56,280078882,221105370,110000,3,line,,,,31095.0,,,,
57,151237667,134987741,110000,3-6,line,,,,13244.0,,,,
58,103275559,103275575,110000,3,line,,,,11267.0,,,,
59,150992936,151783148,110000,3-6,line,,,,15339.0,,,,
60,150992936,218216075,110000-35000,3-6,line,,,,28868.0,,,,
61,171630121,103554499,110000,3,line,,,,21192.0,,,,
62,171630121,207755730,110000,3-6,line,,,,36779.0,,,,
63,171630121,207755729,110000,3,line,,,,37425.0,,,,
64,260552752,218047622,110000,3,line,,,,66627.0,,,,
65,260552752,218223016,110000,3-6,line,,,,25064.0,,,,
66,260552752,151783156,110000,3,line,,,,3103.0,,,,
67,260552752,218216075,110000,3,line,,,,34184.0,,,,
68,260552752,172407405,110000,3-6,line,,,,19013.0,,,,
69,260552752,218223015,110000,3,line,,,,21781.0,,,,
70,171406899,175315244,110000,3,line,,,,11201.0,,,,
71,171406899,172978107,110000,3,line,,,,36385.0,,,,
72,210619008,257507721,110000,3-6,line,,,,37800.0,,,,
73,210619008,210612962,110000,3-6,line,,,,31229.0,,,,
74,210619008,210609525,110000,3,line,,,,55946.0,,,,
75,210619008,210619011,110000,3,line,,,,18126.0,,,,
76,103275575,104774544,110000,3,line,,,,12668.0,,,,
77,171987005,173944057,110000,3-6,line,,,,6495.0,,,,
78,171987005,173944061,110000,3-6,line,,,,23524.0,,,,
79,171630144,171630156,110000,3-6,line,,,,2047.0,,,,
80,171630144,171630149,110000,3-6,line,,,,11812.0,,,,
81,171630144,171630143,110000,3-6,line,,,,16622.0,,,,
