id,n1_id,n2_id,length,voltage
1,1,2,30913.3594774,110000
2,2,3,33954.2415107,110000
3,4,5,8769.19220939,110000
4,4,6,51580.4008157,110000
5,4,7,53207.4444295,110000
6,8,9,12278.2972818,110000
7,10,11,20125.4751901,110000
8,12,13,43374.7450595,110000
9,14,3,6346.5613185,110000
10,15,16,12303.6366233,110000
11,3,17,12311.1222503,110000
12,3,18,6443.61915531,110000
13,3,19,41455.1978085,110000
14,3,20,39743.5954406,110000
15,21,22,38520.9053844,110000
16,21,23,22327.5996205,110000
17,24,25,39373.3467223,110000
18,26,27,18263.8164715,110000
19,28,29,1362.30176648,110000
20,30,31,29007.2769327,110000
21,30,32,45141.9024301,110000
22,30,33,60045.3660212,110000
23,34,35,10593.5747284,110000
24,36,37,1070.222449,110000
25,38,39,4511.59367713,110000
26,40,41,21604.6631098,110000
27,42,43,27789.7788191,110000
28,42,44,35668.8633533,110000
29,45,46,14230.9909235,110000
30,29,47,1340.16397917,110000
31,48,49,4803.89022992,110000
32,15,50,130461.727413,330000
33,15,44,41378.9730695,330000
34,3,44,99638.3072055,330000
