n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
87852567,5.82687720486,53.2037598641,substation,0,,,,
168876867,5.81826880982,53.2011115729,substation,110000,,110kV Leeuwarden,,
87448633,5.87555718826,53.1897127227,substation,110000,,220kV Louwsmeer,TenneT,Yes
300791839,6.86719071305,52.2270798268,substation,110000,,110kV Heekstraat,,
167107735,6.90360160055,52.2366465743,substation,110000,,110kV Enschede Vechtstraat,,
88075001,6.83065587866,52.2138869036,substation,110000,,110kV Marssteden,,
167676457,6.9092798157,52.8075061732,substation,110000,,110kV Weerdingen,TenneT,
88074984,6.84184218858,52.7150734919,substation,110000,,110kV Veenoord,TenneT,
167670574,6.71052684357,52.6591482806,substation,110000,,110kV Coevorden,TenneT,
88075022,6.40830879161,52.5280292792,substation,110000,,110kV Ommen Dante,TenneT,
168762567,6.51863310622,52.8881763067,substation,110000,,110kV Beilen,TenneT,
167695557,6.92632487117,52.7619969305,substation,110000,,110kV Emmen Bargermeer,TenneT,
167695565,7.03095491532,52.9138367644,substation,110000,,110kV Musselkanaal Zandberg,,
259761247,6.9452895963,53.1253545613,substation,0,,110kV Meeden,Tennet,
167695566,6.96814370195,52.9756300302,substation,110000,,110kV Stadskanaal,TenneT,
167695558,7.04631820311,52.9219063636,substation,110000,,110kV Musselkanaal Dobbestroom,TenneT,
168037419,6.95071644225,53.1741065035,substation,110000,,Scheemda De Eeker,,
168037421,6.91543891795,53.1822132742,substation,110000,,Scheemda Scheemderzwaag,,
83423799,6.75917489923,52.248857921,substation,110000,,Hengelo,TenneT,Yes
83423800,6.76038639148,52.2480490479,substation,110000,50,110kV Hengelo-Oele,TenneT,
167107738,6.8903194524,52.1980120304,substation,110000,,110kV Wesselerbrink,,
167073705,6.78399953798,52.2409717845,substation,110000,,110kV Hengelo Boldershoek,Enexis,
87370992,6.77480776247,52.2738336103,substation,110000,,110kv Station Weideweg,TenneT,
167067408,6.71599605884,52.1502238658,substation,110000,,110kV Haaksbergen,TenneT,
168876861,5.77288373063,53.1828583316,substation,0,,,,
87448656,6.02940250001,53.2125829015,substation,110000,,220kV Bergum,TenneT,Yes
87439115,5.74387390297,53.1030141446,substation,110000,,110kV Rauwerd,TenneT,
87448636,6.06917934255,53.1074059042,substation,110000,,110kV Drachten,TenneT,
168871218,6.27145533147,52.9910737632,substation,110000,,110kV Oosterwolde,TenneT,
168871217,6.09616024489,52.9869186636,substation,110000,,110kV Gorredijk,TenneT,
87451505,5.98147167627,53.3274689003,substation,110000,,110kV Dokkum,TenneT,
167067407,6.6389484423,52.1173677061,substation,110000,,110kV Eibergen,TenneT,
87364702,6.27125299612,52.3776304626,substation,110000,,110kV Raalte,,
87365396,6.1226273261,52.5013740809,substation,110000,,110kV Weteringkade,,
87370995,6.13522644178,52.2775840356,substation,110000,,110kV Deventer Platvoet,,
87369452,6.12646331718,52.3576286177,substation,110000,,110kV Olst,,
87364049,6.11137966547,52.4693957256,substation,110000,,110kV Harculo,TenneT,
88074959,6.47015075582,52.3710352928,substation,110000,,110kV Nijverdal,,
168512799,6.88019065627,53.0908359097,substation,110000,,110kV Veendam,,
168512790,6.82239502054,52.9856760835,substation,110000,,110kV Gasselte Kraanlanden,,
168512792,6.84203149011,53.1744550496,substation,110000,,110kV Menterwolde Spitsbergen,,
87353777,6.72112180958,53.1599571981,substation,110000,,110kV Kropswolde,,
32042392,7.05969788154,53.1356991481,substation,110000,,110kV Winschoten,TenneT,
168037480,6.92244452888,53.2699895902,substation,110000,,110kV Delfzijl Schaapbulten,,
168037482,6.88201949569,53.2714168475,substation,110000,,110kV Slochteren Tjuchem,,
168506744,6.82726075548,53.2918614019,substation,110000,,110kV Slochteren Dellerweerden,,
168037481,6.95842492401,53.3077035096,substation,110000,,110kV Delfzijl Welwerd,TenneT,
168037417,6.95489300248,53.319009074,generator,0,,Delesto,,
168037483,6.95672050022,53.303342538,substation,110000,,Weiwerd,TenneT,Yes
165894267,6.06437235302,52.5224195461,substation,110000,,110kV Frankhuis,,
140909247,5.88010495307,52.5598790291,substation,110000,,110kV Kampen,,
88075030,6.76371663595,52.3939510573,substation,110000,,110kV Tubbergen,,
88075066,6.56664198272,52.4477694766,substation,110000,,110kV Vroomshoop,,
88074974,6.63045639822,52.356662002,substation,110000,,110kV Almelo Mosterdpot,TenneT,
167107736,6.91841243522,52.3049793493,substation,110000,,110kV Oldenzaal,,
