id,lon,lat,name,osm_id,voltage,type,poly
1,8.52381465001,62.6641607045,Aura,202200064,132000,substation,0103000020E610000001000000110000009D627478AD0B21403085337710554F406C27D994B30B2140023DF99A12554F40E4E41DE5BC0B21402E3E77B112554F402ADCAA44C70B214053CAD4E812554F40CE17FB86C70B214018E2C94014554F40AC77E8D2D80B214062FCFD8E14554F40A313DBBFF00B2140FF49D80F17554F40CC96C79F200C21404FBA547F18554F40748E8711730C2140AC4A15F619554F40D6F8942EA70C2140370C3019EF544F405675D03E010C214076B73DFCEB544F4031295F7BF40B21405222B9E5F4544F40DB1636C7E80B21402DE0D7D6F4544F40179AB161D00B21405D9607D407554F40B19349E7B80B21406CC5E8E207554F40D90625A7B40B214037DDDE3A09554F409D627478AD0B21403085337710554F40
2,8.55570872049,62.6756589361,None,202200068,132000,substation,0103000020E61000000100000005000000CEB79305071C2140A3318BDD8E564F40EC72A6E5451C21401DE53EAB92564F405EAE7DB0041D21400AC1A51D69564F4040F36AD0C51C2140857B985065564F40CEB79305071C2140A3318BDD8E564F40
3,8.49677871807,62.6887973768,Viklandet,202200066,420000;132000,substation,0103000020E610000001000000200000007C081D91ABFC2040874430C731584F40D856BC2B06FD204078A98AF43A584F4018907FFB69FD2040E08B8F0D48584F40538CB990C7FD2040A47049774D584F405C7AA91211FE2040EF435A004D584F40182E4E927AFE20400A190C1747584F404F6E18F885FE2040F7551F3244584F407B349C309FFE204092DB68CA3C584F40779D3C9DE7FE2040E89EDC783E584F40D5449F3C3CFF204008FE715D41584F4044E16DD246FF204034AA914F3F584F406417990D50FF2040D663D44A3C584F4097D615B0C1FF20407AFB48E433584F407879A7C2B5FF2040D14863B52B584F4098E74692A6FF2040C186C34829584F40E35906296EFF20404A8484B50F584F40AD157B97DAFE2040AB46874E07584F4018E5A81BAEFE20403EB6566E07584F40BCA73A6338FE204097FA4E4303584F40DF475A8520FE20407F8B7C4006584F4023561977F9FD204036C256FE15584F4004311F1ED5FD20404DEBE6C51D584F403467BF37A3FD20403C6A7C451E584F409D36EDBB76FD2040F46F85AC1E584F40138B6A554BFD20400AFC9A4121584F400F6A1BE538FD20407BF796C326584F40E8F151C90AFD20403B3F32CB26584F40FBE5AA6B09FD2040FA55C1C227584F407A82EEDFD8FC2040E9EAA8D227584F4035ACA382E7FC2040D07D72E52B584F407DA33D50EBFC2040C7E4EE3030584F407C081D91ABFC2040874430C731584F40
4,5.32064438228,60.2881423054,None,432917507,None,substation,0103000020E610000001000000060000007675C58E484815404B008DD1DF244E40DF177BF8494815400C9633E9E3244E40BB500BB6654815409A3ADDDFE3244E40CD44645864481540B1EBF27DE1244E4052AE554C64481540CE6777C7DF244E407675C58E484815404B008DD1DF244E40
5,5.34126681866,60.2872271485,Fana transformatorstasjon,333991713,None,substation,0103000020E610000001000000220000000D82DA24CF5A1540100E27C7B2244E4016B96F1DE55A1540BAD49371BF244E40999C3FCE0B5B154088F29978C2244E4002E52B4D555B15403B37F438C8244E407600EE45A55B1540529709A2D1244E40C308E03F7A5B15406B0F9C0EE6244E40700CFD13725B15400C40FAEEE9244E40F403AC7E4E5C15408C2030FBE5244E405FDB82A41E5D1540CEB761D3E4244E4022B1B0323E5D15406843244EE1244E40950F0A84775D1540111F6E6AE4244E40D5A7ABE4B15D15407ACCDB14E9244E4003159362BD5D1540B5A175C8EE244E4048549808EA5D1540B795910EF2244E40AFEB371CE35D1540BAE00F14F5244E4015DB5328395E1540409BA8A8F3244E40416963CC6A5E15401829726EF5244E4080D5ACD4835E15409AB6AFF8F7244E4003071058A95E15400B31EE5FF7244E40E0C4A196ED5E1540F587FD6FF7244E408EDEDDA8FC5E1540A0B39ED4F6244E405F448B7E185F154090937A1FF6244E40FD6AA88CCC5E1540F121CEABEB244E40DAA6A5FEF35D154024CA1484E0244E40474FDE61835F15401CF3DC6CDE244E40A528A777DC5F154033A23AE7C9244E40A333A3F1F15F15403AF80608C3244E40C38A03C11A60154080594F2CB6244E4065BB303F196015400F37971AB2244E40B4758F66EF5F1540211AD69DA4244E400A383C33245D1540055C1AE1A9244E40E2BF7217F65C154005001076A0244E40AC1E56E7E65B15408EE2DF1594244E400D82DA24CF5A1540100E27C7B2244E40
6,29.6949881891,69.3742129855,None,92630533,132000,substation,0103000020E61000000100000005000000119C4715BEB13D40BD3941D1F5575140952B696709B23D4027E751F4F65751409436724F18B23D400905FA6BF05751409A8D5BF5CAB13D40B1078248EF575140119C4715BEB13D40BD3941D1F5575140
7,29.6939024468,69.3728211707,None,92630638,None,generator,0103000020E6100000010000000F000000C0A893727DB13D40B9B0E34DD9575140F1F95A0288B13D40D1533380DC575140D9FDD8BC7FB13D400DD128D3DC575140086BC03A8BB13D409436091AE057514047A5B03A99B13D40689B0FBCDF57514036EEE0D2A0B13D407A6CF588DF575140220898A7A2B13D40A23B114EE05751406AB9938DCBB13D40C6F95D02DF5751400E35672BCAB13D4033A01167DE575140B249674DCEB13D409F832B33DE57514080F89FBDC3B13D40DE085649DB5751409737ACEDBBB13D4067E44E5EDB5751403A9D4671B0B13D40A663F9B9D7575140C27B42A297B13D40656E4A7ED8575140C0A893727DB13D40B9B0E34DD9575140
8,10.5735814158,59.6552808279,None,26938543,132000,substation,0103000020E610000001000000080000006BDFA11B44252540A8041044E9D34D40596A2F6E9125254073C65D96EDD34D403307723CC3252540F19FA55EF0D34D406341ED5D0C26254005F912CAD7D34D40DBA0804DE9252540B9620DA5D3D34D40FA0E201DDA252540766250EED2D34D40C6D48A1F9E252540F783A31DD0D34D406BDFA11B44252540A8041044E9D34D40
9,10.5638238206,59.5543072676,None,27030901,132000,substation,0103000020E6100000010000000E00000023FD29846420254014FFD0F0EDC64D40F2E8DEC066202540D0259FECF4C64D40A0DBD720732025408692120DFCC64D40FAC6BD227C202540A5707BE304C74D40933914A3DA20254029A19EE106C74D40422C0D03E72025405C54D05300C74D4014FC94E3EE202540A6BA53C6F7C64D40E5CB1CC4F62025400400A2A6F0C64D40E5CB1CC4F62025400C9F0960EBC64D40F777E343E0202540F7A3A7D3E2C64D404FCED0807F2025401476BF1CE2C64D404BD4C4C26F202540675E92D2E4C64D400A7384A265202540A6721687E8C64D4023FD29846420254014FFD0F0EDC64D40
10,10.3124334103,59.4713377248,None,355844785,None,substation,0103000020E6100000010000000A0000003C36E39F709F24404D5BF91D56BC4D404224B945C79F244006BB64815EBC4D40BABFB5ADF99F244086B1FBC961BC4D40C4C4F19D04A02440124276C45FBC4D4015E2FCEF32A024400647C24A64BC4D40AB391F8C5BA024402F7E9F905DBC4D404BFB69C748A02440CFF41AAA5BBC4D4035282CDD76A02440A46A843853BC4D40EAD90E8FDA9F2440A566522344BC4D403C36E39F709F24404D5BF91D56BC4D40
